OBJECTID,SYMBOL,ZONING_COD,ZONING_NAM,ZONING_TYP,SHAPE_Leng,Shape_Length,Shape_Area
1,0,R1,RES SINGLE FAMILY,RESIDENTIAL,6338.24868057,6338.24921613509,171510.679045714
2,0,OR1,OFFICE/RES,OFFICE,326.153148533,326.153440777281,6508.81334146182
3,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,859.750477967,859.75018763776,45828.7682215988
4,0,CN,NEIGHBORHOOD COMM,COMMERCIAL-INDUSTRIAL,557.304825954,557.304910387541,18510.5412089743
5,0,OR1,OFFICE/RES,OFFICE,1242.70404536,1242.70440707379,51483.9208177018
6,0,R1,RES SINGLE FAMILY,RESIDENTIAL,3950.93523141,3950.93533903616,929769.801324681
7,0,CN,NEIGHBORHOOD COMM,COMMERCIAL-INDUSTRIAL,483.725368887,483.725311094756,14614.2067335628
8,0,OR3,OFFICE/RES,OFFICE,1734.10069479,1734.10018491362,157758.757702212
9,0,R5,RES SINGLE FAMILY,RESIDENTIAL,2666.15937526,2666.15931778097,340314.347875208
10,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1109.03797148,1109.03783603857,73187.0686872989
11,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1068.77687948,1068.77706173354,58374.5598183291
12,0,R2,RES SINGLE FAMILY,RESIDENTIAL,2658.91287306,2658.91303287808,435987.669128851
13,0,CM,COMM MANUFACTURING,COMMERCIAL-INDUSTRIAL,1309.17967284,1309.17932704376,93561.9297372907
14,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,759.649845917,759.650077294462,35968.6085935476
15,0,C3,CENTRAL BUSINESS,COMMERCIAL-INDUSTRIAL,1035.45687913,1035.4570184291,63025.533005712
16,0,M2,INDUSTRIAL,INDUSTRIAL,568.3334012,568.332980718515,17729.287740612
17,0,M2,INDUSTRIAL,INDUSTRIAL,305.821521542,305.822073204036,5811.4149838874
18,0,M3,INDUSTRIAL,INDUSTRIAL,1272.130771,1272.13097555216,94879.34630237
19,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,485.865179435,485.865309554799,9548.93602870411
20,0,CM,COMM MANUFACTURING,COMMERCIAL-INDUSTRIAL,740.467952649,740.467603833174,34082.762834281
21,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,623.462442679,623.462524217359,22428.5310189846
22,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,436.442537442,436.442672701319,6504.45905919116
23,0,OR2,OFFICE/RES,OFFICE,573.177784018,573.177320980623,13930.4570451801
24,0,M2,INDUSTRIAL,INDUSTRIAL,1962.79452463,1962.79510366642,240622.881559851
25,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,481.197658843,481.197700820195,5316.84427851266
26,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,464.492636374,464.492912933379,10524.8822556167
27,0,R1,RES SINGLE FAMILY,RESIDENTIAL,2068.95460256,2068.95424404203,237884.963632801
28,0,OR3,OFFICE/RES,OFFICE,347.560552438,347.560525972024,5294.06858654399
29,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1224.86118274,1224.86117208938,93754.1320717784
30,0,OR2,OFFICE/RES,OFFICE,815.856563573,815.856338486105,40265.6228436775
31,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,828.955285389,828.955583001622,41940.2854210336
32,0,R7,RES MULTI-FAMILY,RESIDENTIAL,687.468139667,687.467763202001,25031.2391693368
33,0,R7,RES MULTI-FAMILY,RESIDENTIAL,2157.51236911,2157.51272469308,286658.603623605
34,0,CN,NEIGHBORHOOD COMM,COMMERCIAL-INDUSTRIAL,662.275374291,662.275290519114,27003.686165589
35,0,OR2,OFFICE/RES,OFFICE,1062.75983541,1062.76012501385,43902.3762774729
36,0,CN,NEIGHBORHOOD COMM,COMMERCIAL-INDUSTRIAL,927.115299379,927.114843960743,47894.8328110882
37,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1291.84410756,1291.8446942134,103840.486230587
38,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1484.85866821,1484.85831572147,79494.9837955235
39,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,753.959847523,753.959492320675,32631.0267124301
40,0,C3,CENTRAL BUSINESS,COMMERCIAL-INDUSTRIAL,296.706658352,296.706496026246,5151.34573938319
41,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,552.343408092,552.343715673944,16044.500157133
42,0,R5,RES SINGLE FAMILY,RESIDENTIAL,573.260354975,573.259855010337,14533.8809446232
43,0,R7,RES MULTI-FAMILY,RESIDENTIAL,4376.74339543,4376.74367923192,559587.758883157
44,0,M2,INDUSTRIAL,INDUSTRIAL,664.472970118,664.473169576178,25529.6885811814
45,0,OR2,OFFICE/RES,OFFICE,666.149714313,666.149688021927,25662.9653380361
46,0,R7,RES MULTI-FAMILY,RESIDENTIAL,556.312308462,556.312461059198,10480.6460172788
47,0,R7,RES MULTI-FAMILY,RESIDENTIAL,548.36207957,548.361830908885,9474.45312396032
