OBJECTID,Shape_Length,AREA,PERIMETER,ZONING_,ZONING_ID,SYMBOL,ZONING_COD,ZONING_NAM,ZONING_TYP,Shape_Leng,Shape_Area
1,6338.25002050809,171510.885355,6338.24973537,2,928,178,R1,RES SINGLE FAMILY,RESIDENTIAL,6338.25002051,171510.886322735
2,2244.65065674965,261724.444549,2244.65029126,3,929,100,R5A,RES MULTI-FAMILY,RESIDENTIAL,2244.65065675,261724.449179649
3,722.316844438954,33683.3575857,722.316966186,4,930,225,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,722.316844439,33683.3435168837
4,2099.37613482945,180833.003408,2099.37609946,5,931,77,R5,RES SINGLE FAMILY,RESIDENTIAL,2099.37613483,180832.915991404
5,2443.73678146992,386684.167387,2443.73683256,6,1920,225,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2443.73678147,386684.095680364
6,1513.4595885423,116074.754432,1513.45945541,7,932,100,R5A,RES MULTI-FAMILY,RESIDENTIAL,1513.45958854,116074.787209622
7,1284.83237676467,93645.0074035,1284.83245602,8,848,100,R5A,RES MULTI-FAMILY,RESIDENTIAL,1284.83237676,93645.0383262808
8,326.155808597464,6508.88236155,326.155532302,9,1239,334,OR1,OFFICE/RES,OFFICE,326.155808597,6508.89252549109
9,40783.6413204847,30624377.8084,40783.6416759,10,1750,178,R1,RES SINGLE FAMILY,RESIDENTIAL,40783.6413205,30624377.8708247
10,3182.3758315764,343756.092948,3182.37599054,11,841,100,R5A,RES MULTI-FAMILY,RESIDENTIAL,3182.37583158,343755.914382268
11,18882.2644949811,19072499.7006,18882.2654493,12,4138,6,PVD,PLANNED VILLAGE DEV,RESIDENTIAL,18882.264495,19072499.4937686
12,7235.46380705196,1719021.84564,7235.46407127,13,1751,178,R1,RES SINGLE FAMILY,RESIDENTIAL,7235.46380705,1719021.79923484
13,1348.03920035978,112932.495117,1348.03915582,14,939,4,R4,RES SINGLE FAMILY,RESIDENTIAL,1348.03920036,112932.443808284
14,547.586763898321,17704.1095992,547.586649897,15,940,4,R4,RES SINGLE FAMILY,RESIDENTIAL,547.586763898,17704.1068248963
15,1731.78953733666,158557.644617,1731.78945659,16,843,178,R1,RES SINGLE FAMILY,RESIDENTIAL,1731.78953734,158557.609993863
16,2386.35096071704,301205.2888,2386.35100159,17,943,4,R4,RES SINGLE FAMILY,RESIDENTIAL,2386.35096072,301205.23946248
17,3640.86392810764,615587.20912,3640.86371158,18,982,178,R1,RES SINGLE FAMILY,RESIDENTIAL,3640.86392811,615587.019874648
18,7102.18970078832,2579929.22553,7102.19044945,19,945,178,R1,RES SINGLE FAMILY,RESIDENTIAL,7102.18970079,2579929.05997312
19,6668.50859852145,964318.534305,6668.50882235,20,851,178,R1,RES SINGLE FAMILY,RESIDENTIAL,6668.50859852,964318.836838246
20,5301.04261601442,1535233.97449,5301.0425098,21,953,100,R5A,RES MULTI-FAMILY,RESIDENTIAL,5301.04261601,1535234.20323584
21,7650.30564544133,2647888.07843,7650.30538052,22,987,77,R5,RES SINGLE FAMILY,RESIDENTIAL,7650.30564544,2647887.90935655
22,3486.38465037102,513095.754204,3486.38466049,23,852,178,R1,RES SINGLE FAMILY,RESIDENTIAL,3486.38465037,513095.663219137
23,2132.57038630375,224837.584292,2132.57028905,24,4110,320,OTF,OFFICE/TOURIST FACILITY,OFFICE,2132.5703863,224837.652159604
24,6238.70982968825,1483669.59265,6238.71079467,25,1924,77,R5,RES SINGLE FAMILY,RESIDENTIAL,6238.70982969,1483669.53791931
25,750.080003417357,30272.988735,750.080149287,26,3921,4,R4,RES SINGLE FAMILY,RESIDENTIAL,750.080003417,30272.9756669817
26,2102.80839692482,244300.416141,2102.8084694,27,963,178,R1,RES SINGLE FAMILY,RESIDENTIAL,2102.80839692,244300.398227624
27,4080.60265103222,563090.715636,4080.60258471,28,972,100,R5A,RES MULTI-FAMILY,RESIDENTIAL,4080.60265103,563090.582009717
28,3839.86575746881,749204.46783,3839.8657428,29,973,113,R2,RES SINGLE FAMILY,RESIDENTIAL,3839.86575747,749204.453461668
29,3490.28064470024,641805.494742,3490.28057362,30,856,320,OTF,OFFICE/TOURIST FACILITY,OFFICE,3490.2806447,641805.457308472
30,3879.42484056066,928637.327944,3879.42525147,31,974,77,R5,RES SINGLE FAMILY,RESIDENTIAL,3879.42484056,928637.160088262
31,859.751219671531,45828.8556992,859.750954805,32,1929,225,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,859.751219672,45828.8836888108
