OBJECTID,ZONING_CODE,ZONING_NAME,ZONING_TYPE,GLOBALID,SHAPEAREA,SHAPELEN
67852,R1,RES SINGLE FAMILY,RESIDENTIAL,{B37DBEBA-E202-48B0-96CA-7A44D4F9CBB8},171510.517180469,6338.24868061036
67853,OR1,OFFICE/RES,OFFICE,{8913A06C-D702-403C-BE6F-005AABFAC371},6174.6275375,324.806375899952
67855,CN,NEIGHBORHOOD COMM,COMMERCIAL-INDUSTRIAL,{A8372103-6010-4F0D-A3FB-EF499A70EDC1},18510.5419625,557.304825939163
67857,R1,RES SINGLE FAMILY,RESIDENTIAL,{34253C1F-134D-4728-900B-728BCC32517C},929769.731132812,3950.93523139911
67858,CN,NEIGHBORHOOD COMM,COMMERCIAL-INDUSTRIAL,{8B939E49-09B2-4A63-BD2E-C8E82C99775C},14614.2046390625,483.725368898663
67860,R5,RES SINGLE FAMILY,RESIDENTIAL,{F3DA41B5-1559-4D53-B827-327A43CBCFED},340314.38808125,2666.15937526059
67861,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{3C955880-4A08-4A90-B91E-B03160A37801},73187.0853570313,1109.03797149545
67863,R2,RES SINGLE FAMILY,RESIDENTIAL,{63EC2732-56BD-42DD-AF0F-CEDC73F3540A},435987.620024219,2658.91287305075
67864,CM,COMM MANUFACTURING,COMMERCIAL-INDUSTRIAL,{672BF90B-49E7-4AC6-8193-26D107FFE822},93562.0317132813,1309.17967284485
67866,C3,CENTRAL BUSINESS,COMMERCIAL-INDUSTRIAL,{4DE55272-605E-44A7-BF0E-DBB7C6DCA8F3},63025.4822953125,1035.45687912038
67868,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{81ABBA5D-AA02-4100-B013-14E4CD0B4630},19907.3372164063,647.827501471231
67870,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{59801500-22A8-40ED-A9AC-288274666EC8},9548.91511875,485.86517943718
67871,CM,COMM MANUFACTURING,COMMERCIAL-INDUSTRIAL,{4B01907D-6508-438C-8A9E-1D2574315244},34082.795215625,740.467952663623
