OBJECTID,ZCTA5CE10,GlobalID,Zip,ERVisits_Age_0_to_4,ERVisits_Age_5_to_17,TotalChildERVisits,ERVisits_Diabetes_0_17,ERVisits_Asthma_0_17,TotalMedicaidPop0_17,ChildERVisitRate,ChildERVisitRateAsthma,ChildERVisitRateDiabetes
1,48371,9da4605a-112a-4e0c-ac28-b7861cc2439d,48371.0,51.0,16.0,67.0,,2.0,1032,64.922480620155,1.93798449612403,
2,48380,5584aab5-8dcc-437e-abfd-3b8bdcf068e6,48380.0,10.0,20.0,30.0,2.0,2.0,155,193.548387096774,12.9032258064516,12.9032258064516
3,48081,9678572d-48ee-4015-be1f-74456fd8a44a,48081.0,60.0,30.0,90.0,,7.0,1033,87.1248789932236,6.77637947725073,
4,48315,1e826664-a463-4a80-abb8-75a06ae288b7,48315.0,67.0,94.0,161.0,1.0,9.0,1336,120.508982035928,6.73652694610778,0.748502994011976
5,48317,12a5121d-962b-4bde-961a-57352fde0ada,48317.0,103.0,118.0,221.0,6.0,11.0,1708,129.391100702576,6.44028103044497,3.51288056206089
6,48088,70e7c302-6231-446f-bdc5-e23c8a47e178,48088.0,80.0,55.0,135.0,,2.0,1400,96.4285714285714,1.42857142857143,
7,48048,583057e2-5916-460d-a853-83fc83aff893,48048.0,38.0,37.0,75.0,2.0,3.0,800,93.75,3.75,2.5
8,48236,9831155f-0d4f-4099-be62-b2e2b476cace,48236.0,20.0,22.0,42.0,,4.0,842,49.8812351543943,4.75059382422803,
9,48383,7c8c60bd-0b73-47fb-97cf-1a553c03b359,48383.0,21.0,90.0,111.0,4.0,2.0,1015,109.35960591133,1.97044334975369,3.94088669950739
10,48335,4bf56545-93ef-4169-a36e-4825633c8fcd,48335.0,83.0,28.0,111.0,,2.0,530,209.433962264151,3.77358490566038,
11,48320,42e0e0b8-001b-4c89-9bda-8aa9c8df7baa,48320.0,,17.0,17.0,,1.0,269,63.1970260223048,3.71747211895911,
12,48165,e98cd34e-1f34-441e-8d2d-1e919d93b30c,48165.0,7.0,8.0,15.0,,,411,36.4963503649635,,
