OBJECTID_1,GEOID,NAME,B16003_001E,B16003_002E,B16003_003E,B16003_004E,B16003_005E,B16003_006E,B16003_007E,B16003_008E,B16003_009E,B16003_010E,B16003_011E,B16003_012E,ACS_VINTAGE,JURISDICTION,CRA_NO,CRA_GRP,GEN_ALIAS,DETL_NAMES,TRACT_LABEL
1,53033000101,"Census Tract 1.01, King County, Washington",472,50,50,0,0,0,0,422,0,0,167,255,5Y20,Seattle,8.3,8.0,Cedar Park/Meadowbrook,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",1.01
2,53033000102,"Census Tract 1.02, King County, Washington",284,0,0,0,0,0,0,284,82,0,202,0,5Y20,Seattle,8.3,8.0,Cedar Park/Meadowbrook,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",1.02
3,53033000201,"Census Tract 2.01, King County, Washington",451,105,0,75,0,0,30,346,94,41,135,76,5Y20,Seattle,8.2,8.0,Olympic Hills/Victory Heights,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",2.01
4,53033000202,"Census Tract 2.02, King County, Washington",22,0,0,0,0,0,0,22,0,15,7,0,5Y20,Seattle,8.2,8.0,Olympic Hills/Victory Heights,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",2.02
5,53033000300,"Census Tract 3, King County, Washington",87,8,8,0,0,0,0,79,0,0,79,0,5Y20,Seattle,9.5,9.0,Haller Lake,"Haller Lake, Pinehurst",3.0
6,53033000402,"Census Tract 4.02, King County, Washington",33,12,12,0,0,0,0,21,0,0,21,0,5Y20,Seattle,9.1,9.0,Broadview/Bitter Lake,"Broadview, Bitter Lake",4.02
7,53033000403,"Census Tract 4.03, King County, Washington",134,0,0,0,0,0,0,134,21,72,41,0,5Y20,Seattle,9.1,9.0,Broadview/Bitter Lake,"Broadview, Bitter Lake",4.03
8,53033000404,"Census Tract 4.04, King County, Washington",653,137,0,0,0,0,137,516,0,0,59,457,5Y20,Seattle,9.1,9.0,Broadview/Bitter Lake,"Broadview, Bitter Lake",4.04
9,53033000500,"Census Tract 5, King County, Washington",0,0,0,0,0,0,0,0,0,0,0,0,5Y20,Seattle,9.1,9.0,Broadview/Bitter Lake,"Broadview, Bitter Lake",5.0
10,53033000601,"Census Tract 6.01, King County, Washington",597,58,0,0,0,58,0,539,70,0,242,227,5Y20,Seattle,9.5,9.0,Haller Lake,"Haller Lake, Pinehurst",6.01
11,53033000602,"Census Tract 6.02, King County, Washington",201,0,0,0,0,0,0,201,90,0,58,53,5Y20,Seattle,9.5,9.0,Haller Lake,"Haller Lake, Pinehurst",6.02
12,53033000700,"Census Tract 7, King County, Washington",401,56,0,0,0,0,56,345,0,0,238,107,5Y20,Seattle,8.2,8.0,Olympic Hills/Victory Heights,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",7.0
13,53033000800,"Census Tract 8, King County, Washington",86,0,0,0,0,0,0,86,1,0,85,0,5Y20,Seattle,8.3,8.0,Cedar Park/Meadowbrook,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",8.0
14,53033000900,"Census Tract 9, King County, Washington",61,6,0,0,0,6,0,55,0,0,55,0,5Y20,Seattle,8.3,8.0,Cedar Park/Meadowbrook,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",9.0
15,53033001000,"Census Tract 10, King County, Washington",46,0,0,0,0,0,0,46,0,0,26,20,5Y20,Seattle,8.3,8.0,Cedar Park/Meadowbrook,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",10.0
16,53033001100,"Census Tract 11, King County, Washington",222,0,0,0,0,0,0,222,47,0,175,0,5Y20,Seattle,8.2,8.0,Olympic Hills/Victory Heights,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",11.0
17,53033001201,"Census Tract 12.01, King County, Washington",247,39,10,0,0,29,0,208,0,77,131,0,5Y20,Seattle,8.1,8.0,Northgate/Maple Leaf,"Maple Leaf, Northgate, Pinehurst",12.01
18,53033001202,"Census Tract 12.02, King County, Washington",224,0,0,0,0,0,0,224,0,0,115,109,5Y20,Seattle,8.1,8.0,Northgate/Maple Leaf,"Maple Leaf, Northgate, Pinehurst",12.02
19,53033001300,"Census Tract 13, King County, Washington",335,0,0,0,0,0,0,335,141,0,160,34,5Y20,Seattle,9.2,9.0,Licton Springs,Licton Springs,13.0
20,53033001400,"Census Tract 14, King County, Washington",116,0,0,0,0,0,0,116,0,0,116,0,5Y20,Seattle,10.1,10.0,North Beach/Blue Ridge,"Crown Hill, North Beach, Blue Ridge",14.0
21,53033001500,"Census Tract 15, King County, Washington",0,0,0,0,0,0,0,0,0,0,0,0,5Y20,Seattle,10.1,10.0,North Beach/Blue Ridge,"Crown Hill, North Beach, Blue Ridge",15.0
22,53033001600,"Census Tract 16, King County, Washington",36,0,0,0,0,0,0,36,0,36,0,0,5Y20,Seattle,10.1,10.0,North Beach/Blue Ridge,"Crown Hill, North Beach, Blue Ridge",16.0
23,53033001701,"Census Tract 17.01, King County, Washington",151,0,0,0,0,0,0,151,41,83,27,0,5Y20,Seattle,9.3,9.0,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",17.01
24,53033001702,"Census Tract 17.02, King County, Washington",156,0,0,0,0,0,0,156,0,0,115,41,5Y20,Seattle,9.3,9.0,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",17.02
25,53033001800,"Census Tract 18, King County, Washington",123,24,0,24,0,0,0,99,21,46,32,0,5Y20,Seattle,9.2,9.0,Licton Springs,Licton Springs,18.0
26,53033001900,"Census Tract 19, King County, Washington",172,62,47,0,0,0,15,110,0,0,76,34,5Y20,Seattle,8.1,8.0,Northgate/Maple Leaf,"Maple Leaf, Northgate, Pinehurst",19.0
27,53033002000,"Census Tract 20, King County, Washington",49,9,0,0,0,9,0,40,0,0,40,0,5Y20,Seattle,8.1,8.0,Northgate/Maple Leaf,"Maple Leaf, Northgate, Pinehurst",20.0
28,53033002100,"Census Tract 21, King County, Washington",36,0,0,0,0,0,0,36,0,0,36,0,5Y20,Seattle,7.4,7.0,Wedgwood/View Ridge,"Wedgwood, View Ridge, Bryant, Matthews Beach",21.0
29,53033002200,"Census Tract 22, King County, Washington",182,18,0,0,0,18,0,164,0,30,134,0,5Y20,Seattle,7.4,7.0,Wedgwood/View Ridge,"Wedgwood, View Ridge, Bryant, Matthews Beach",22.0
30,53033002400,"Census Tract 24, King County, Washington",0,0,0,0,0,0,0,0,0,0,0,0,5Y20,Seattle,7.4,7.0,Wedgwood/View Ridge,"Wedgwood, View Ridge, Bryant, Matthews Beach",24.0
31,53033002500,"Census Tract 25, King County, Washington",82,0,0,0,0,0,0,82,14,33,35,0,5Y20,Seattle,7.3,7.0,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",25.0
