OBJECTID,ParcelId,CreateUser,CreateDate,EditUser,EditDate,UsageClass,PlanYear,Shape__Area,Shape__Length
1,MIXED USE_3110,,,LANDUSE,2020/07/25 00:51:57+00,2.0,0.0,721684.383789063,4843.81930182738
2,RES_1415,,,LANDUSE,2020/07/25 00:51:57+00,0.0,0.0,242944.894348145,4147.17558029514
3,IND_293,,,LANDUSE,2020/07/25 00:51:57+00,3.0,0.0,988169.031005859,4919.27257249004
4,RES_1909,,,LANDUSE,2020/07/25 00:51:57+00,0.0,0.0,59969.2258911133,1400.35694718058
5,COMM_141,,,LANDUSE,2020/07/25 00:51:57+00,1.0,0.0,39790.9491577148,878.073722547675
6,RES_432,,,LANDUSE,2020/07/25 00:51:57+00,0.0,0.0,44355.208190918,1031.14971881153
7,RES_1454,,,LANDUSE,2020/07/25 00:51:57+00,0.0,0.0,61234.4127807617,1441.05410879448
8,RES_1127,,,LANDUSE,2020/07/25 00:51:57+00,0.0,0.0,89302.3662719727,1830.76400015309
9,RES_1541,,,LANDUSE,2020/07/25 00:51:57+00,0.0,0.0,68552.2020874023,1678.77907937146
10,RES_1616,,,LANDUSE,2020/07/25 00:51:57+00,0.0,0.0,57884.7392578125,1084.03816237424
11,RES_1373,,,LANDUSE,2020/07/25 00:51:57+00,0.0,0.0,77764.9820556641,1693.54824727613
12,REC_492,,,LANDUSE,2020/07/25 00:51:57+00,7.0,0.0,97.958740234375,419.710945777714
13,RES_1613,,,LANDUSE,2020/07/25 00:51:57+00,0.0,0.0,38103.739440918,1014.13602577627
14,COMM_155,,,LANDUSE,2020/07/25 00:51:57+00,1.0,0.0,18762.073425293,582.470454597142
15,RES_1351,,,LANDUSE,2020/07/25 00:51:57+00,0.0,0.0,102970.436706543,1349.96161948901
16,RES_1191,,,LANDUSE,2020/07/25 00:51:57+00,0.0,0.0,62069.7974243164,1328.08054792065
17,RES_808,,,LANDUSE,2020/07/25 00:51:57+00,0.0,0.0,74674.591796875,1518.84394972655
18,RES_1922,,,LANDUSE,2020/07/25 00:51:57+00,0.0,0.0,62595.335144043,1384.72335090705
19,IND_232,,,LANDUSE,2020/07/25 00:51:57+00,3.0,0.0,1946.443359375,583.173491529418
20,IND_291,,,LANDUSE,2020/07/25 00:51:57+00,3.0,0.0,101813.743041992,1370.65101453221
21,COMM_103,,,LANDUSE,2020/07/25 00:51:57+00,1.0,0.0,356140.541870117,2360.90325042238
22,RES_548,,,LANDUSE,2020/07/25 00:51:57+00,0.0,0.0,247399.320739746,3587.95173951253
23,RES_2103,,,LANDUSE,2020/07/25 00:51:57+00,0.0,0.0,113483.846862793,2715.01895701791
24,RES_3011,,,LANDUSE,2020/07/25 00:51:57+00,0.0,0.0,3153.94464111328,312.846219082108
25,RES_2034,,,LANDUSE,2020/07/25 00:51:57+00,0.0,0.0,64635.759765625,1409.98778583865
26,RES_707,,,LANDUSE,2020/07/25 00:51:57+00,0.0,0.0,1150.72485351563,177.028872196125
27,RES_3311,,,LANDUSE,2020/07/25 00:51:57+00,0.0,0.0,54821.2145996094,1256.39189949046
28,COMM_3432,,,LANDUSE,2020/07/25 00:51:57+00,1.0,0.0,934950.043029785,4953.97729927485
29,COMM_18,,,LANDUSE,2020/07/25 00:51:57+00,1.0,0.0,571332.960449219,3011.46956793186
30,COMM_51,,,LANDUSE,2020/07/25 00:51:57+00,1.0,0.0,371976.632324219,2373.91478673697
31,RES_1406,,,LANDUSE,2020/07/25 00:51:57+00,0.0,0.0,89032.9979248047,1292.79518785428
32,COMM_3459,,,LANDUSE,2020/07/25 00:51:57+00,1.0,0.0,898439.885437012,6180.63720729048
33,RES_670,,,LANDUSE,2020/07/25 00:51:57+00,0.0,0.0,1543287.25823975,6281.99091474422
34,RES_1336,,,LANDUSE,2020/07/25 00:51:57+00,0.0,0.0,87853.9512329102,1290.44747029734
35,RES_3155,,,LANDUSE,2020/07/25 00:51:57+00,0.0,0.0,53509.9400024414,1066.99526121655
36,RES_470,,,LANDUSE,2020/07/25 00:51:57+00,0.0,0.0,50806.4997558594,1101.51195033778
37,RES_2757,,,LANDUSE,2020/07/25 00:51:57+00,0.0,0.0,156803.192626953,2880.06834428314
38,RES_482,,,LANDUSE,2020/07/25 00:51:57+00,0.0,0.0,45062.4307250977,1140.17100940669
39,RES_1798,,,LANDUSE,2020/07/25 00:51:57+00,0.0,0.0,101084.666381836,2215.94216185326
40,RES_2071,,,LANDUSE,2020/07/25 00:51:57+00,0.0,0.0,65087.0189819336,1416.95078273674
41,WATER_2282,,,JACOBPA,2022/11/07 20:41:27+00,6.0,0.0,46955.5542602539,5231.14983162016
42,RES_924,,,LANDUSE,2020/07/25 00:51:57+00,0.0,0.0,122132.905517578,2245.2246953155
43,RES_1327,,,LANDUSE,2020/07/25 00:51:57+00,0.0,0.0,88339.2940063477,1788.6614803588
44,RES_2821,,,LANDUSE,2020/07/25 00:51:57+00,0.0,0.0,66835.3953857422,1386.8035193786
45,RES_1714,,,LANDUSE,2020/07/25 00:51:57+00,0.0,0.0,75023.1387939453,1649.7184222831
46,COMM_2362,,,LANDUSE,2020/07/25 00:51:57+00,1.0,0.0,106216.301818848,1896.36388180157
47,RES_1757,,,LANDUSE,2020/07/25 00:51:57+00,0.0,0.0,171884.054931641,3499.6309434552
48,RES_637,,,LANDUSE,2020/07/25 00:51:57+00,0.0,0.0,230366.866760254,2597.07660905497
49,RES_3340,,,LANDUSE,2020/07/25 00:51:57+00,0.0,0.0,70908.8161621094,1404.38066436858
50,IND_303,,,LANDUSE,2020/07/25 00:51:57+00,3.0,0.0,402449.284729004,2845.3093250727
51,RES_2190,,,LANDUSE,2020/07/25 00:51:57+00,0.0,0.0,20647.5421142578,637.331003587978
52,EDUC_181,,,LANDUSE,2020/07/25 00:51:57+00,5.0,0.0,583506.155517578,3241.98351707778
53,MIXED USE_374,,,LANDUSE,2020/07/25 00:51:57+00,2.0,0.0,70530.9714355469,1208.28533114206
54,RES_1969,,,LANDUSE,2020/07/25 00:51:57+00,0.0,0.0,133105.738098145,2844.68526887049
55,RES_717,,,LANDUSE,2020/07/25 00:51:57+00,0.0,0.0,148753.310058594,1585.00148616908
56,RES_1901,,,LANDUSE,2020/07/25 00:51:57+00,0.0,0.0,56416.760925293,1270.47767566502
57,RES_834,,,LANDUSE,2020/07/25 00:51:57+00,0.0,0.0,59462.9288330078,1191.39955248823
58,RES_3203,,,LANDUSE,2020/07/25 00:51:57+00,0.0,0.0,690023.77722168,4625.71595966767
59,IND_284,,,LANDUSE,2020/07/25 00:51:57+00,9.0,0.0,859331.386535645,5682.474753442
60,EDUC_190,,,LANDUSE,2020/07/25 00:51:57+00,5.0,0.0,169078.120727539,1746.82950773895
61,RES_1910,,,LANDUSE,2020/07/25 00:51:57+00,0.0,0.0,59185.0600585938,1372.90395635117
62,COMM_2367,,,LANDUSE,2020/07/25 00:51:57+00,1.0,0.0,26890.2742919922,675.258164856391
63,RES_2737,,,LANDUSE,2020/07/25 00:51:57+00,0.0,0.0,67561.7366943359,1437.024672422
64,IND_2292,,,LANDUSE,2020/07/25 00:51:57+00,3.0,0.0,3558.38940429688,319.626007619366
65,RES_1881,,,LANDUSE,2020/07/25 00:51:57+00,0.0,0.0,101442.723754883,2053.2197517424
66,MIXED USE_327,,,LANDUSE,2020/07/25 00:51:57+00,2.0,0.0,275734.5,2564.22923529681
