OBJECTID,Group_ID,PROJ_NO,Title,GRANTEE,Parcel_Cou,Grantee_Co,Superlevel,Project_Ty,Program_Na,Award_Amou,Status,OC_Status,App_No,App_Status,App_Year,Parcel_Sou,ACRES,Par_ID,Update_Dat,Shape__Area,Shape__Length
1,784,26-00622,Belle Isle Park Fishing Sites,City of Detroit,Wayne,Wayne,Local,Development,Land and Water Conservation Fund,302212.52,Closed,Closed, , , ,Unspecified,2.31973646, ,2015/05/13 00:00:00+00,9387.65585327148,383.519729550417
2,786,26-00011,Belle Isle Park Bicycle Trail,City of Detroit,Wayne,Wayne,Local,Development,Land and Water Conservation Fund,20000.0,Closed,Closed, , , , ,4.09406191, ,2015/05/13 00:00:00+00,16568.0912322998,3622.58064862379
3,1029,26-00188,Davenport-Myrtle Park,City of Detroit,Wayne,Wayne,Local,Development,Land and Water Conservation Fund,16589.0,Closed,Closed, , , , ,0.42735472, ,1970/01/01 00:00:00+00,1729.44964599609,238.280707888394
4,901,26-01749,Belle Isle LWCF competitive grant parcel,DNR,Wayne,Ingham, , , ,0.0, , , , , ,Paper Map,52.40628069, ,2015/07/31 00:00:00+00,212080.999664307,2353.09364721481
5,321,26-00827,Jayne/Lasky Playfield,City of Detroit,Wayne,Wayne,Local,Development,Land and Water Conservation Fund,704461.99,Closed,Closed, , , , ,47.39058652, ,1970/01/01 00:00:00+00,191783.213302612,1949.00622717016
6,784,26-00622,Belle Isle Park Fishing Sites,City of Detroit,Wayne,Wayne,Local,Development,Land and Water Conservation Fund,302212.52,Closed,Closed, , , , ,1.17412344, ,2015/05/13 00:00:00+00,4751.51824951172,707.346454325895
7,760,26-00461,Smith-Beaubien Playground,City of Detroit,Wayne,Wayne,Local,Acquisition,Land and Water Conservation Fund,73426.43,Closed,Closed, , , , ,1.73618217, ,2015/03/06 00:00:00+00,7026.08958435059,336.966507536426
8,784,26-00622,Belle Isle Park Fishing Sites,City of Detroit,Wayne,Wayne,Local,Development,Land and Water Conservation Fund,302212.52,Closed,Closed, , , , ,4.5096703, ,2015/05/13 00:00:00+00,18250.0318145752,648.926903153885
9,26,26-01024,Detroit Linked Riverfront Parks: Phase I,City of Detroit,Wayne,Wayne,Local,Acquisition,Land and Water Conservation Fund,2295000.0,Post-Comp Issue,Closed, , , ,Legal Description,9.01163769, ,2014/12/23 00:00:00+00,36468.8675994873,1075.57991163143
10,788,26-01060 G4,Palmer Park Facilities Expansion,City of Detroit,Wayne,Wayne,Local,Development,Land and Water Conservation Fund,188888.0,Closed,Closed, , , , ,259.81629852, ,1970/01/01 00:00:00+00,1051440.88955688,4941.54370874144
11,785,26-00761,Belle Isle Handball Court,City of Detroit,Wayne,Wayne,Local,Development,Land and Water Conservation Fund,140761.63,Closed,Closed, , , , ,1.45256453, ,2015/05/13 00:00:00+00,5878.32855224609,297.555141940235
