X,Y,OBJECTID,DESCRIPTION,JURISDICTION,WEB_ADDRESS,STREET_NUMBER,STREET_NAME,CITY,ZIP,GlobalID,CreationDate,Creator,EditDate,Editor
11857059.254,7028020.162,1,DOLLEY MADISON LIBRARY,COUNTY OF FAIRFAX,https://www.fairfaxcounty.gov/library/branches/dolley-madison,1244,OAK RIDGE AVE,MCLEAN,22101,15519779-dd79-4b79-84dd-3abf37653838,2023/11/19 06:02:50.936+00,FairfaxCounty,2023/11/19 06:02:50.936+00,FairfaxCounty
11851064.546,7015915.406,2,TYSONS-PIMMIT REGIONAL LIBRARY,COUNTY OF FAIRFAX,https://www.fairfaxcounty.gov/library/branches/tysons-pimmit-regional,7584,LEESBURG PIKE,FALLS CHURCH,22043,45c353ae-d340-4439-ac7b-cdab6e9e1a8c,2023/11/19 06:02:50.936+00,FairfaxCounty,2023/11/19 06:02:50.936+00,FairfaxCounty
11808468.057,6996127.139,3,LIBRARY ADMINISTRATION,COUNTY OF FAIRFAX,https://www.fairfaxcounty.gov/library/branches,12000,GOVERNMENT CENTER PKWY  SUITE 324,FAIRFAX,22035,2aa0a4fd-29ca-4a3a-873c-179a8222e65d,2023/11/19 06:02:50.936+00,FairfaxCounty,2023/11/19 06:02:50.936+00,FairfaxCounty
11823632.8685,6993742.23275,4,CITY OF FAIRFAX REGIONAL LIBRARY,CITY OF FAIRFAX,https://www.fairfaxcounty.gov/library/branches/city-of-fairfax-regional,10360,NORTH ST,FAIRFAX,22030,210ca6a3-08fa-4ee9-ba5a-b550a0c76137,2023/11/19 06:02:50.936+00,FairfaxCounty,2023/11/19 06:02:50.936+00,FairfaxCounty
11852554.266,7000834.338,5,THOMAS JEFFERSON LIBRARY,COUNTY OF FAIRFAX,https://www.fairfaxcounty.gov/library/branches/thomas-jefferson,7415,ARLINGTON BLVD,FALLS CHURCH,22042,afd5e865-2f8f-4f34-b6a5-8e15fae7c118,2023/11/19 06:02:50.936+00,FairfaxCounty,2023/11/19 06:02:50.936+00,FairfaxCounty
11850009.607,6940012.697,6,LORTON LIBRARY,COUNTY OF FAIRFAX,https://www.fairfaxcounty.gov/library/branches/lorton,9520,RICHMOND HWY,LORTON,22079,170f7734-79a9-4241-b780-e1d8c2c57414,2023/11/19 06:02:50.936+00,FairfaxCounty,2023/11/19 06:02:50.936+00,FairfaxCounty
11837237.737,6979505.741,7,KINGS PARK LIBRARY,COUNTY OF FAIRFAX,https://www.fairfaxcounty.gov/library/branches/kings-park,9000,BURKE LAKE RD,BURKE,22015,d9002094-3b8f-4b3d-9125-b635c6b2d875,2023/11/19 06:02:50.936+00,FairfaxCounty,2023/11/19 06:02:50.936+00,FairfaxCounty
11857178.94,6987054.229,9,GEORGE MASON REGIONAL LIBRARY,COUNTY OF FAIRFAX,https://www.fairfaxcounty.gov/library/branches/george-mason-regional,7001,LITTLE RIVER TPKE,ANNANDALE,22003,9579bb55-96f5-4e24-ba27-3414b8d5546f,2023/11/19 06:02:50.936+00,FairfaxCounty,2023/11/19 06:02:50.936+00,FairfaxCounty
11855767.735,6969625.536,10,RICHARD BYRD LIBRARY,COUNTY OF FAIRFAX,https://www.fairfaxcounty.gov/library/branches/richard-byrd,7250,COMMERCE ST,SPRINGFIELD,22150,d976f06c-6da5-4003-8fe4-36f42d27ab1b,2023/11/19 06:02:50.936+00,FairfaxCounty,2023/11/19 06:02:50.936+00,FairfaxCounty
11889362.636,6956965.617,11,SHERWOOD REGIONAL LIBRARY,COUNTY OF FAIRFAX,https://www.fairfaxcounty.gov/library/branches/sherwood-regional,2501,SHERWOOD HALL LN,ALEXANDRIA,22306,92885307-3c36-4d62-85bd-370ee83c8357,2023/11/19 06:02:50.936+00,FairfaxCounty,2023/11/19 06:02:50.936+00,FairfaxCounty
11876631.572,6971103.642,12,JOHN MARSHALL LIBRARY,COUNTY OF FAIRFAX,https://www.fairfaxcounty.gov/library/branches/john-marshall,6209,ROSE HILL DR,ALEXANDRIA,22310,18bacb77-75a2-43a6-80db-5766330af0e9,2023/11/19 06:02:50.936+00,FairfaxCounty,2023/11/19 06:02:50.936+00,FairfaxCounty
11892565.888,6967784.442,13,MARTHA WASHINGTON LIBRARY,COUNTY OF FAIRFAX,https://www.fairfaxcounty.gov/library/branches/martha-washington,6614,FORT HUNT RD,ALEXANDRIA,22307,224cd7fc-42a2-4961-a1e1-b50f9aebcc5d,2023/11/19 06:02:50.936+00,FairfaxCounty,2023/11/19 06:02:50.936+00,FairfaxCounty
11807496.182,7035207.406,14,RESTON REGIONAL LIBRARY,COUNTY OF FAIRFAX,https://www.fairfaxcounty.gov/library/branches/reston-regional,11925,BOWMAN TOWNE DR,RESTON,20190,aa57f2fd-0cc1-443a-bcb5-217fd48fbe08,2023/11/19 06:02:50.936+00,FairfaxCounty,2023/11/19 06:02:50.936+00,FairfaxCounty
11799336.299,7038905.60600001,15,HERNDON FORTNIGHTLY LIBRARY,TOWN OF HERNDON,https://www.fairfaxcounty.gov/library/branches/herndon-fortnightly,768,CENTER ST,HERNDON,20170,929a18e2-8bc6-49c2-b468-a28f796786da,2023/11/19 06:02:50.936+00,FairfaxCounty,2023/11/19 06:02:50.936+00,FairfaxCounty
11784583.518,6989765.314,16,CENTREVILLE REGIONAL LIBRARY,COUNTY OF FAIRFAX,https://www.fairfaxcounty.gov/library/branches/centreville-regional,14200,SAINT GERMAIN DR,CENTREVILLE,20121,a33f5ca1-028c-4917-ae72-a6284c41090d,2023/11/19 06:02:50.936+00,FairfaxCounty,2023/11/19 06:02:50.936+00,FairfaxCounty
11869363.225,6995921.255,17,WOODROW WILSON LIBRARY,COUNTY OF FAIRFAX,https://www.fairfaxcounty.gov/library/branches/woodrow-wilson,6101,KNOLLWOOD DR,FALLS CHURCH,22041,c54f25dd-90f8-4105-a142-40252318475d,2023/11/19 06:02:50.936+00,FairfaxCounty,2023/11/19 06:02:50.936+00,FairfaxCounty
11834485.882,7013735.83,18,PATRICK HENRY LIBRARY,TOWN OF VIENNA,https://www.fairfaxcounty.gov/library/branches/patrick-henry,101,MAPLE AVE E,VIENNA,22180,bf1b5bb2-bdb2-4e45-8ba0-151d089298f5,2023/11/19 06:02:50.936+00,FairfaxCounty,2023/11/19 06:02:50.936+00,FairfaxCounty
11834106.471,6967618.829,19,POHICK REGIONAL LIBRARY,COUNTY OF FAIRFAX,https://www.fairfaxcounty.gov/library/branches/pohick-regional,6450,SYDENSTRICKER RD,BURKE,22015,44567701-36f8-4a74-ae02-da080dd6810d,2023/11/19 06:02:50.936+00,FairfaxCounty,2023/11/19 06:02:50.936+00,FairfaxCounty
11793713.193,7006337.108,20,CHANTILLY REGIONAL LIBRARY,COUNTY OF FAIRFAX,https://www.fairfaxcounty.gov/library/branches/chantilly-regional,4000,STRINGFELLOW RD,CHANTILLY,20151,56460436-3bf3-4ba3-9ac7-e6940be64de1,2023/11/19 06:02:50.936+00,FairfaxCounty,2023/11/19 06:02:50.936+00,FairfaxCounty
11827665.603,7048902.911,21,GREAT FALLS LIBRARY,COUNTY OF FAIRFAX,https://www.fairfaxcounty.gov/library/branches/great-falls,9830,GEORGETOWN PIKE,GREAT FALLS,22066,2709b6f1-86f2-46e8-a3d0-a2abef1de298,2023/11/19 06:02:50.936+00,FairfaxCounty,2023/11/19 06:02:50.936+00,FairfaxCounty
11863795.6295,6955324.221,22,KINGSTOWNE LIBRARY,COUNTY OF FAIRFAX,https://www.fairfaxcounty.gov/library/branches/kingstowne,6500,LANDSDOWNE CTR,ALEXANDRIA,22315,f6e69ffd-0524-415c-a4b9-8bc4ef6f4359,2023/11/19 06:02:50.936+00,FairfaxCounty,2023/11/19 06:02:50.936+00,FairfaxCounty
11808571.095,6996385.99875,23,ACCESS SERVICES,COUNTY OF FAIRFAX,https://www.fairfaxcounty.gov/library/branches/access-services,12000,GOVERNMENT CENTER PKWY  SUITE 123,FAIRFAX,22035,bf1775ef-52f4-4cd2-b5c7-96edddb99441,2023/11/19 06:02:50.936+00,FairfaxCounty,2023/11/19 06:02:50.936+00,FairfaxCounty
11823793.937,7007186.55525,321,OAKTON LIBRARY,COUNTY OF FAIRFAX,https://www.fairfaxcounty.gov/library/branches/oakton,10304,LYNNHAVEN PL,OAKTON,22124,046eb829-453b-48fa-9867-e28eb232f051,2023/11/19 06:02:50.936+00,FairfaxCounty,2023/11/19 06:02:50.936+00,FairfaxCounty
11820072.0635,6971992.13950001,642,BURKE CENTRE LIBRARY,COUNTY OF FAIRFAX,https://www.fairfaxcounty.gov/library/branches/burke-centre,5935,FREDS OAK RD,BURKE,22015,d42e4d93-5b53-4eb2-b503-3312a72a700d,2023/11/19 06:02:50.936+00,FairfaxCounty,2023/11/19 06:02:50.936+00,FairfaxCounty
11823666.725,6993764.2395,961,VIRGINIA ROOM,CITY OF FAIRFAX,https://www.fairfaxcounty.gov/library/branches/virginia-room,10360,NORTH ST,FAIRFAX,22030,93aa6837-6514-413d-a2dd-927492f42b5c,2023/11/19 06:02:50.936+00,FairfaxCounty,2023/11/19 06:02:50.936+00,FairfaxCounty
