OBJECTID,SLDLST,GEOID,Centers,Capacity,GrpHmeCnt,FamHmeCnt,LicCenCnt,EarlyHSCnt,CapEarlyHS,GSRPCnt,CapGSRP,HSCnt,CapHS,Shape__Area,Shape__Length
1,1,26001,56,2253,8.0,12.0,36,2.0,12.0,10,642,5.0,186.0,892233978.150391,175764.488503012
2,2,26002,52,2904,5.0,5.0,42,11.0,966.0,7,571,6.0,650.0,883173602.717529,186108.280534993
3,3,26003,48,1728,4.0,17.0,27,5.0,227.0,13,784,5.0,225.0,479265786.59375,121618.539187807
4,4,26004,46,3268,,6.0,40,6.0,394.0,13,798,8.0,700.0,562839349.79834,110943.413095135
5,5,26005,29,1721,4.0,,25,7.0,391.0,11,810,8.0,642.0,436904592.240723,151521.267709113
6,6,26006,47,2341,5.0,3.0,39,4.0,318.0,15,1133,7.0,499.0,803073037.008545,238125.80870857
7,7,26007,66,3054,8.0,17.0,41,9.0,571.0,19,1552,5.0,379.0,401070940.367432,124643.404135912
8,8,26008,65,2389,9.0,22.0,34,8.0,369.0,17,1246,2.0,185.0,442179447.36377,120976.493340956
9,9,26009,70,2647,12.0,17.0,41,11.0,464.0,14,1032,10.0,473.0,456907799.301514,132879.357472886
10,10,26010,88,3367,13.0,29.0,46,6.0,257.0,15,1111,5.0,469.0,485049438.325928,163940.526611887
11,11,26011,55,3095,7.0,14.0,34,1.0,315.0,13,1367,3.0,379.0,578028102.519043,177503.802401776
12,12,26012,37,1772,5.0,9.0,23,4.0,216.0,4,438,3.0,259.0,1833688423.91187,201123.848428462
13,13,26013,54,3233,3.0,7.0,44,1.0,174.0,8,703,2.0,265.0,562044102.719482,235124.136588049
14,14,26014,28,1788,,3.0,25,,,4,584,1.0,182.0,559785170.021484,161584.684200069
15,15,26015,56,3795,2.0,3.0,51,,,16,1306,2.0,135.0,662928028.866943,149424.411086987
16,16,26016,56,2157,3.0,19.0,34,,,4,693,1.0,323.0,677722934.25708,143143.016413369
