OBJECTID,SLDUST,GEOID,Centers,Capacity,GrpHmeCnt,FamHmeCnt,LicCenCnt,EarlyHSCnt,CapEarlyHS,GSRPCnt,CapGSRP,HSCnt,CapHS,Shape__Area,Shape__Length
1,1,26001,131,6997,13,12,106,15.0,1281.0,30,2313,15,1334,2748686329.16626,445203.014930012
2,2,26002,140,6559,12,24,104,11.0,410.0,26,1419,16,866,2163910843.4707,403364.837020516
3,3,26003,167,8826,18,28,121,14.0,685.0,47,3779,16,943,1539116276.48755,280786.127807074
4,4,26004,133,7114,12,29,92,15.0,1060.0,33,2724,13,1222,1320497085.31421,385333.503238458
5,5,26005,203,8846,27,59,117,16.0,1022.0,42,3514,10,1016,1431744703.34766,345655.395008608
6,6,26006,140,6248,17,39,84,6.0,300.0,13,1427,5,654,6374857597.15552,581304.136210054
7,7,26007,202,13941,16,40,146,1.0,84.0,8,920,3,166,3174869730.48657,296196.75482912
8,8,26008,168,9347,21,46,101,2.0,309.0,19,1985,8,181,7248563777.49561,681614.975242388
9,9,26009,171,6501,25,55,91,10.0,296.0,19,1555,13,655,1787497068.22363,205820.828125032
10,10,26010,152,8142,20,52,80,2.0,12.0,14,1448,3,169,2583147481.29492,308466.480380231
11,11,26011,251,12944,56,66,129,3.0,332.0,19,2463,6,1020,2376656768.73828,312244.99060194
12,12,26012,193,12376,27,41,125,5.0,885.0,27,3314,5,830,7075318947.11768,591131.259947858
13,13,26013,194,12751,19,36,139,,,6,842,3,202,2698532983.86133,326793.839422334
14,14,26014,165,9058,29,33,103,5.0,89.0,18,2261,7,681,11300339360.1211,775202.509931467
15,15,26015,177,11072,24,37,116,,,12,1062,2,196,6052954566.13623,395897.339927922
16,16,26016,249,6146,64,97,88,2.0,88.0,43,2706,22,1022,51582997894.0106,1162807.78832161
17,17,26017,218,7436,53,57,108,,,27,1702,11,445,40186415124.0697,900674.50267277
18,18,26018,273,13134,55,70,148,1.0,6.0,21,2488,5,735,7143796852.82568,428639.022261019
19,19,26019,253,7920,58,97,98,3.0,238.0,38,2369,10,653,52276892922.9377,1336999.62356683
20,20,26020,289,11328,55,95,139,1.0,6.0,45,3338,11,488,16176829467.7434,508357.36125945
21,21,26021,235,6066,74,78,83,10.0,395.0,27,1499,15,836,72790631778.98,1364137.52463077
22,22,26022,190,9520,22,56,112,1.0,44.0,13,1047,4,256,29312500761.428,820744.934653669
23,23,26023,261,10653,64,65,132,12.0,728.0,38,2755,16,1076,11970005851.301,500614.302635341
24,24,26024,305,9538,67,133,105,6.0,398.0,38,2845,18,1219,50903341388.8569,1259840.10868827
25,25,26025,205,6536,41,50,114,1.0,8.0,36,2180,18,572,129560433336.954,1877441.3063487
26,26,26026,316,9917,64,126,126,1.0,41.0,27,1444,20,909,83064852814.5239,1486530.46171135
27,27,26027,192,10358,39,33,120,11.0,818.0,41,4807,26,2003,8126190052.82178,430507.509759898
28,28,26028,348,12635,35,184,129,2.0,12.0,28,2466,9,1158,15911590198.1274,797056.621346465
29,29,26029,288,13602,31,121,136,4.0,275.0,44,4932,3,504,6811379473.69287,521762.535934138
30,30,26030,321,9840,26,181,114,2.0,129.0,23,2258,6,305,45472864079.0791,1015824.90872571
31,31,26031,208,6396,57,51,100,1.0,8.0,36,2150,15,576,61536477148.1221,1392564.81029337
32,32,26032,273,8092,56,107,110,8.0,498.0,46,2669,24,1194,28509462067.6768,1046507.43471983
33,33,26033,259,6527,98,73,88,2.0,52.0,34,1645,18,641,84098075763.0664,1394729.00825846
34,34,26034,283,9349,79,101,103,4.0,349.0,31,2752,18,2017,101127031924.339,1330439.14849841
35,35,26035,254,6057,75,77,102,1.0,38.0,44,2002,28,1049,292934774868.033,3247844.07449247
36,36,26036,290,7138,86,98,106,,,36,1950,26,770,316271354973.603,3260584.46655165
37,37,26037,305,8021,58,119,128,7.0,408.0,47,2406,34,1279,309552303645.526,3212902.25261906
38,38,26038,224,6593,41,76,107,12.0,761.0,34,1932,27,1783,824274657113.278,4343508.60398719
