OBJECTID,ROUTE_ID,BEGIN_POINT,END_POINT,LIMA_LIM_ACC_CODE,LIM_ACC_CODE_DESC,TOWN_TOWN,TOWN_DESC,YEAR,GlobalID,Shape__Length
1169,156-E,9.02,10.82,6,Partial Control-Undivided Highways,104,OLD LYME,2022,1e53a2ff-b4e9-4605-b944-3ac3d595ccb9,9526.70286287301
1170,189-S,8.47,8.62,4,Full Control-Undivided Highways,11,BLOOMFIELD,2022,6d25cec2-737f-4570-973a-1f1d0da86873,747.584802656559
1171,190-E,2.83,3.23,4,Full Control-Undivided Highways,48,ENFIELD,2022,c1c9d7e3-8511-4ff4-9bc6-ccf374847270,2107.06933395005
1172,2-E,45.64,46.15,6,Partial Control-Undivided Highways,113,PRESTON,2022,52faacc7-47c9-4ff2-b1d4-95e636fdd072,2652.82522093852
1173,2-E,46.66,47.96,4,Full Control-Undivided Highways,71,LEDYARD,2022,9ff1dc98-9996-483f-b47a-a2a0df144fa5,6760.3676448758
1174,2-W,12.67,19.21,2,Full Control-Other Divided Hwys 4 or more lanes,78,MARLBOROUGH,2022,382361b0-9b32-406c-9358-a0e3acd5b0a9,34952.2049301916
1175,20-W,31.22,31.3,2,Full Control-Other Divided Hwys 4 or more lanes,164,WINDSOR,2022,13a4fc2d-336f-4cc4-a467-a104699ae552,358.550721991423
1176,202-S,55.54,55.66,6,Partial Control-Undivided Highways,23,CANTON,2022,fe0a3377-e023-43f6-983c-7b32dd0cb6c1,1030.73485798837
1177,218-W,4.62,4.97,5,"Partial Control-Divided, 4 or more lanes",11,BLOOMFIELD,2022,9bf3372c-1537-48ce-a471-b37dba905910,1773.83470670454
1178,291-E,4.59,6.4,2,Full Control-Other Divided Hwys 4 or more lanes,76,MANCHESTER,2022,ca2bb229-bbd6-4659-95e1-8da4d98bcc30,9559.05152497934
1179,291-W,4.59,6.02,2,Full Control-Other Divided Hwys 4 or more lanes,76,MANCHESTER,2022,a7da04a7-f86c-4c48-a5c3-c14ae3151c55,7530.55831378998
1180,1-N,81.98,82.86,2,Full Control-Other Divided Hwys 4 or more lanes,105,OLD SAYBROOK,2022,46bcf0bf-aa42-4085-8d6f-6fb9a3b9a8c0,4794.64660180611
1181,12-N,36.16,36.17,4,Full Control-Undivided Highways,68,KILLINGLY,2022,0d4a0b68-ae26-4e08-ad3b-6556db8b22e0,36.9740499307855
1182,15-N,7.7,12.03,1,Full Control Parkways,135,STAMFORD,2022,584043fe-dc19-4e32-9029-5546b59ec691,22885.2824890027
1183,15-N,47.2,47.43,1,Full Control Parkways,92,NEW HAVEN,2022,53d9faab-5dbe-4fc7-81f6-311c313303bb,1224.77914293023
1184,15-N,52.11,56.54,1,Full Control Parkways,100,NORTH HAVEN,2022,b862dbdb-1cbb-44f1-8627-fc3ece8a982e,23430.1786203848
