OBJECTID,LBAS_NO,SBAS_NO,SUBREGION,RBAS_NO,REGIONAL,MBAS_NO,MAJOR,ACREAGE,AREA_SQMI,SHAPE_Length,SHAPE_Area
1,6000-00,6000,Housatonic River,60,Housatonic Main Stem,6,Housatonic,335383.0,524.03601074,2211020.16208393,-14609276299.4617
2,4300-00,4300,Farmington River,43,Farmington,4,Connecticut,99534.296875,155.52200317,1232304.1594354,-4335712956.61956
3,3300-00,3300,French River,33,French,3,Thames,55224.69921875,86.28849792,394153.806188797,-2405586354.50023
4,6004-00,6004,Konkapot River,60,Housatonic Main Stem,6,Housatonic,37962.8984375,59.31700134,281207.205314629,-1653661911.92243
5,3700-00,3700,Quinebaug River,37,Quinebaug,3,Thames,90597.203125,141.55799865,1100260.93558926,-3946414177.5793
6,4307-00,4307,Hubbard Brook,43,Farmington,4,Connecticut,10130.59960937,15.82909965,138952.133819893,-441289493.092847
7,4200-11,4200,Scantic River,42,Scantic,4,Connecticut,1879.89001464,2.93733,52768.5834194474,-81887964.6492349
8,6002-00,6002,Schenob Brook,60,Housatonic Main Stem,6,Housatonic,13402.59960937,20.94160079,162946.889797544,-583818208.178378
9,4200-10,4200,Scantic River,42,Scantic,4,Connecticut,1238.35998535,1.93492996,47878.9763418446,-53942854.6452294
10,4304-00,4304,Sandy Brook,43,Farmington,4,Connecticut,10630.20019531,16.60969924,259174.562345164,-463050838.25118
11,4306-00,4306,Valley Brook,43,Farmington,4,Connecticut,4763.22998046,7.44255018,82073.7808878065,-207486375.405716
12,6101-00,6101,Whiting River,61,Blackberry,6,Housatonic,7119.52978515,11.1243,161052.290102449,-310126610.46091
13,4307-01,4307,Hubbard Brook,43,Farmington,4,Connecticut,3145.45996093,4.91478013,62925.1341493275,-137016090.265762
14,4001-00,4001,Great Brook,40,Connecticut Main Stem,4,Connecticut,14881.29980468,23.25209999,141618.952787945,-648229977.057954
15,3701-00,3701,Hamilton Reservoir Brook,37,Quinebaug,3,Thames,4668.35009765,7.29430007,108027.267803352,-203353451.172775
16,3301-01,3301,Mill Brook,33,French,3,Thames,1652.69995117,2.58235001,41513.4660002585,-71991835.1989298
17,4200-09,4200,Scantic River,42,Scantic,4,Connecticut,1043.60998535,1.63064002,32078.5225084797,-45459630.7783349
18,4301-03,4301,Slocum Brook,43,Farmington,4,Connecticut,1731.02001953,2.70473003,51027.6640925613,-75403426.6498237
19,4200-13,4200,Scantic River,42,Scantic,4,Connecticut,579.17199707,0.90495598,26521.2586132659,-25228726.2734221
20,4200-07,4200,Scantic River,42,Scantic,4,Connecticut,564.36499023,0.88182097,23943.1534031788,-24583747.4046793
21,4002-00,4002,Threemile Brook,40,Connecticut Main Stem,4,Connecticut,4150.22021484,6.48471021,59866.0061632479,-180783439.342988
22,4200-05,4200,Scantic River,42,Scantic,4,Connecticut,1674.68005371,2.6166799,56250.3569708543,-72948980.5956347
23,4201-02,4201,Watchaug Brook,42,Scantic,4,Connecticut,1425.7199707,2.22768998,47673.889555999,-62104504.3398633
24,4101-05,4101,Muddy Brook,41,Stony Brook,4,Connecticut,787.38897705,1.23029994,31463.6901629826,-34298685.2064027
25,3701-01,3701,Hamilton Reservoir Brook,37,Quinebaug,3,Thames,1906.94995117,2.97959995,54835.49750111,-83066552.7504071
26,4301-01,4301,Slocum Brook,43,Farmington,4,Connecticut,1089.75,1.70272994,38367.813535375,-47469332.8502731
27,3301-00,3301,Mill Brook,33,French,3,Thames,5421.29003906,8.47076988,73592.1189091221,-236151648.262931
28,4201-00,4201,Watchaug Brook,42,Scantic,4,Connecticut,2910.30004882,4.54733991,83432.3152742019,-126772644.037049
29,3702-00,3702,Breakneck Brook,37,Quinebaug,3,Thames,2796.80004882,4.36998987,72345.865229855,-121828358.757237
30,4101-07,4101,Muddy Brook,41,Stony Brook,4,Connecticut,2306.87988281,3.60450005,79199.4379359001,-100487750.19803
31,4200-08,4200,Scantic River,42,Scantic,4,Connecticut,539.96600341,0.84369701,25130.4749042069,-23520917.2113495
32,3704-00,3704,Cohasse Brook,37,Quinebaug,3,Thames,2251.82006835,3.51847004,79650.8125211999,-98089256.4018176
33,6101-03,6101,Whiting River,61,Blackberry,6,Housatonic,525.55401611,0.82117897,22112.138680564,-22893147.1734881
34,4101-04,4101,Muddy Brook,41,Stony Brook,4,Connecticut,302.45599365,0.472588,24594.275256538,-13174988.8814023
35,4201-01,4201,Watchaug Brook,42,Scantic,4,Connecticut,371.80700683,0.580949,17331.5876312721,-16195925.2345934
36,3700-03,3700,Quinebaug River,37,Quinebaug,3,Thames,1944.57995605,3.03840994,60639.7222294802,-84705948.2887348
37,6001-00,6001,Sages Ravine Brook,60,Housatonic Main Stem,6,Housatonic,2265.4399414,3.53975009,53666.7253406197,-98682466.5537743
38,6003-00,6003,Andrus Brook,60,Housatonic Main Stem,6,Housatonic,1373.02001953,2.14533996,41915.8968406292,-59808616.9963368
39,3703-00,3703,Hatchet Brook,37,Quinebaug,3,Thames,1999.1899414,3.12373995,55844.5580189813,-87084867.9977435
40,4101-06,4101,Muddy Brook,41,Stony Brook,4,Connecticut,328.34298706,0.51303499,20588.9288275894,-14302596.3121473
41,4200-06,4200,Scantic River,42,Scantic,4,Connecticut,477.87200927,0.746674,21631.9385856758,-20816089.081518
42,4200-00,4200,Scantic River,42,Scantic,4,Connecticut,15003.79980468,23.44339942,421290.47001645,-653565087.197771
43,3701-06,3701,Hamilton Reservoir Brook,37,Quinebaug,3,Thames,2867.55004882,4.48054981,69530.7613134476,-124910466.044367
44,4301-00,4301,Slocum Brook,43,Farmington,4,Connecticut,2173.05004882,3.39538002,64969.6982976882,-94657864.241534
45,3705-00,3705,Lebanon Brook,37,Quinebaug,3,Thames,4835.60009765,7.5556302,135775.157960729,-210638886.352639
46,4304-05,4304,Sandy Brook,43,Farmington,4,Connecticut,2027.79003906,3.16842007,63051.8953229297,-88330598.2601807
47,3102-01,3102,Middle River,31,Willimantic,3,Thames,1135.5,1.77420997,38627.1244422495,-49462177.4623998
48,4101-03,4101,Muddy Brook,41,Stony Brook,4,Connecticut,2442.04003906,3.81569004,82172.6581017272,-106375332.113269
49,6101-07,6101,Whiting River,61,Blackberry,6,Housatonic,991.26202392,1.54885005,33726.8104255651,-43179365.6101348
50,3703-01,3703,Hatchet Brook,37,Quinebaug,3,Thames,521.40802001,0.8147,32757.3270392525,-22712523.4612098
51,4003-00,4003,Freshwater Brook,40,Connecticut Main Stem,4,Connecticut,4162.6899414,6.50419998,112833.666780983,-181326664.184133
52,6101-02,6101,Whiting River,61,Blackberry,6,Housatonic,850.86297607,1.32947003,31851.6330358588,-37063601.4582572
53,4200-12,4200,Scantic River,42,Scantic,4,Connecticut,620.37097167,0.96932899,24171.0591444045,-27023348.4480753
54,4304-06,4304,Sandy Brook,43,Farmington,4,Connecticut,344.95401,0.53899002,20727.8898432265,-15026182.7667354
55,4003-02,4003,Freshwater Brook,40,Connecticut Main Stem,4,Connecticut,1353.43005371,2.11472988,55776.1347167884,-58955206.7637043
56,4320-09,4320,Salmon Brook,43,Farmington,4,Connecticut,2055.0,3.2109301,65457.2647186636,-89515625.7015238
57,4200-01,4200,Scantic River,42,Scantic,4,Connecticut,797.99597167,1.24687004,27411.6344166802,-34760701.0651339
