X,Y,OBJECTID,DIRECTION_ANGLE,DIRECTION_TYPE,IN_CT,LBAS_NO,SBAS_NO,SUBREGION,RBAS_NO,REGIONAL,MBAS_NO,MAJOR
956701.796938717,724206.238902643,1,142,Outlet Direction,Yes,5301-00,5301,Willow Brook,53,South Central Western Complex,5,South Central Coast
937312.908223137,698796.516428232,2,135,Outlet Direction,Yes,5303-00,5303,Sargent River,53,South Central Western Complex,5,South Central Coast
915424.019258216,641081.239142478,3,160,Outlet Direction,Yes,5307-00,5307,Wepawaug River,53,South Central Western Complex,5,South Central Coast
922590.686027214,643282.628112391,4,220,Outlet Direction,Yes,5306-00,5306,Indian River,53,South Central Western Complex,5,South Central Coast
946951.797409892,664831.238886476,5,150,Outlet Direction,Yes,5305-00,5305,West River,53,South Central Western Complex,5,South Central Coast
945496.936146393,681647.211159974,6,225,Outlet Direction,Yes,5304-05,5304,Wintergreen Brook,53,South Central Western Complex,5,South Central Coast
956421.371646553,673922.08290948,7,165,Outlet Direction,Yes,5302-00,5302,Mill River,53,South Central Western Complex,5,South Central Coast
971343.06325981,657922.578163147,8,170,Outlet Direction,Yes,5112-00,5112,Farm River,51,South Central Eastern Complex,5,South Central Coast
985759.729964465,661526.744839311,9,215,Outlet Direction,Yes,5111-00,5111,Branford River,51,South Central Eastern Complex,5,South Central Coast
1020405.56323172,659387.856072471,10,170,Outlet Direction,Yes,5110-00,5110,West River,51,South Central Eastern Complex,5,South Central Coast
1022662.5078648,660512.856447145,11,150,Outlet Direction,Yes,5109-00,5109,Sluice Creek,51,South Central Eastern Complex,5,South Central Coast
1027940.28536697,664172.578130305,12,160,Outlet Direction,Yes,5108-00,5108,East River,51,South Central Eastern Complex,5,South Central Coast
1035021.18131013,663541.73555997,13,220,Outlet Direction,Yes,5107-00,5107,Neck River,51,South Central Eastern Complex,5,South Central Coast
1055162.5078253,662436.467101231,14,150,Outlet Direction,Yes,5106-00,5106,Hammonasset River,51,South Central Eastern Complex,5,South Central Coast
1042106.95224355,681464.244990483,15,180,Outlet Direction,Yes,5105-00,5105,Chatfield Hollow Brook,51,South Central Eastern Complex,5,South Central Coast
1061961.11857189,664242.022873312,16,180,Outlet Direction,Yes,5104-00,5104,Indian River,51,South Central Eastern Complex,5,South Central Coast
749465.927946717,559625.789848983,17,185,Outlet Direction,Yes,7411-00,7411,Byram River,74,Southwest Western Complex,7,Southwest Coast
745371.520125061,583888.278397396,18,202,Outlet Direction,Yes,7410-00,7410,East Branch Byram River,74,Southwest Western Complex,7,Southwest Coast
757374.630305141,569540.591213554,19,170,Outlet Direction,Yes,7409-00,7409,Horseneck Brook,74,Southwest Western Complex,7,Southwest Coast
761543.333581895,573260.636594981,20,185,Outlet Direction,Yes,7408-00,7408,Greenwich Creek,74,Southwest Western Complex,7,Southwest Coast
