OBJECTID,CDP_NAME,CDP_POP2020,CDP_HHPOP2020,CDP_GQPOP2020,CDP_HUNITS2020,CDP_HHLDS2020,CDP_UPD_DATE,Shape_Length,Shape_Area
1,Aldie,70,70,0,32,31,,13733.509258565,6885361.68318684
2,Arcola,2412,2412,0,910,878,,40630.7818067338,64322147.9225183
3,Ashburn,46349,46260,89,17906,17210,,128381.781492676,433473971.787815
4,Belmont,10268,10268,0,3296,3201,,45474.9033454811,76246610.3043362
5,Brambleton,23486,23471,15,7435,7249,,76344.7512952296,161853371.994785
6,Broadlands,14021,14021,0,4298,4228,,42954.1322281145,90578309.6379245
7,Cascades,12366,12292,74,4582,4459,,65217.4804722618,104488533.170734
8,Countryside,10418,10338,80,3711,3594,,43894.221566866,71974615.5655997
9,Dulles Town Center,5909,5909,0,2402,2251,,37451.2466275205,67584187.7521846
10,Goose Creek Village,2298,2298,0,889,810,,13162.4770513857,10532132.3808621
11,Lansdowne,12427,12380,47,4892,4709,,51446.4740340844,114981763.442988
12,Loudoun Valley Estates,11436,11436,0,3510,3448,,51514.0233181209,78795409.7694428
13,Lowes Island,11023,11023,0,3701,3648,,55843.4225567111,88129384.0053663
14,Moorefield,4421,4421,0,1681,1622,,29211.6385979087,31685786.306635
15,Oak Grove,2452,2452,0,759,750,,22741.4514925985,32686215.4080754
16,South Riding,33877,33877,0,10187,10102,,59275.2002336909,192830498.275427
17,Sterling,30337,30266,71,9609,9339,,60470.5651558575,152779601.897594
18,Stone Ridge,15039,15033,6,4680,4622,,39317.3105077321,72604376.843986
19,Sugarland Run,12345,12322,23,3723,3653,,34845.3878679314,56628845.3653261
20,University Center,3969,3969,0,1814,1715,,27392.2825665306,26470471.5370878
21,Waterford,181,181,0,101,90,,14869.0215094152,10123301.4514283
22,Kincora,367,367,0,285,160,,22827.2057767734,14951523.9071906
23,One Loudoun,2285,2244,41,925,813,,21130.004081717,17725161.5209989
