X,Y,OBJECTID,PK_CTY_ST,PK_ADDR,PK_FACNAM2,PK_MCPI,PK_FACNAM1,PK_STATUS,PK_UPD_DATE,PK_SPCS,PK_PCL_OWN,PK_TYPE,PK_URL_INFO
11807380.93718,7064144.05931811,1,"Sterling, VA 20165",20789 Great Falls Plaza, ,6173028000,Lowes Island,OPEN,2014/07/25 04:00:00+00,65,ROCKS CENTER LC,BUS,https://www.loudoun.gov/Facilities/Facility/Details/Lowes-Island-Park-and-Ride-116
11760793.1786309,7038151.66175663,2,"Ashburn, VA 20148",42790 Creighton Road, ,160387913000,Brambleton,OPEN,2014/07/25 04:00:00+00,100,BRAMBLETON GROUP LLC,BUS,https://www.loudoun.gov/Facilities/Facility/Details/Brambleton-Park-and-Ride-100
11767244.1855067,7061353.88908724,3,"Ashburn, VA 20147",43465 Crossroads Drive, ,117291659000,Crossroads United Methodist Church,OPEN,2017/06/27 04:00:00+00,90,CROSSROADS UNITED METHODIST CHURCH,NO,https://www.loudoun.gov/Facilities/Facility/Details/Crossroads-United-Methodist-Church-Park--105
11800382.4301902,7067463.32305479,4,"Sterling, VA 20165",46639 Algonkian Parkway, ,11465960000,Our Lady of Hope Catholic Church,OPEN,2014/07/25 04:00:00+00,150,LOVERDE  PAUL S MOST REV BISHOP,BUS,https://www.loudoun.gov/Facilities/Facility/Details/Our-Lady-of-Hope-Park-and-Ride-117
11772193.2119115,7065564.12789869,5,"Ashburn, VA 20147",43895 Grottoes Drive, ,85281366000,Ashburn Village,OPEN,2013/03/05 05:00:00+00,40,ASHBURN VILLAGE COMMUNITY ASSOC INC,NO,https://www.loudoun.gov/Facilities/Facility/Details/Ashburn-Village-Park-and-Ride-99
11786808.4554167,7061361.84979168,6,"Sterling, VA 20166",21020 Atlantic Blvd, ,29376224000,Dulles Town Center,OPEN,2015/06/29 04:00:00+00,100,D T C PARTNERS LLC,BUS,https://www.loudoun.gov/Facilities/Facility/Details/Dulles-Town-Center-Park-and-Ride-110
11769883.7308681,7016628.1518413,7,"Chantilly, VA 20152",43664 Tall Cedars Pkwy,,97159769000,East Gate,OPEN,2017/06/27 04:00:00+00,218,LOUDOUN COUNTY BOARD OF SUPERVISORS,BUS,https://www.loudoun.gov/Facilities/Facility/Details/East-Gate-Park-and-Ride-111
11797344.1887287,7061742.80439329,8,"Sterling, VA 20165",21014 Whitfield Place, ,19292099000,Cascades - Community Lutheran Church,OPEN,2017/09/06 04:00:00+00,55,COMMUNITY LUTHERAN CHURCH,BUS,https://www.loudoun.gov/Facilities/Facility/Details/Cascades-Park-and-Ride-104
11728224.4890062,7098039.83580686,9,"Hamilton, VA 20158",39464 E Colonial Hwy,,346353765000,Harmony,OPEN,2014/07/25 04:00:00+00,250,LOUDOUN COUNTY BOARD OF SUPERVISORS,BUS,https://www.loudoun.gov/Facilities/Facility/Details/Harmony-Park-and-Ride-113
11763061.8920833,7082889.40000001,10,"Leesburg, VA 20176",18910 Potomac Station Drive,Harper Park,112451715000,Potomac Station,OPEN,2010/11/01 04:00:00+00,50,LOUDOUN COUNTY BOARD OF SUPERVISORS,NO,https://www.loudoun.gov/Facilities/Facility/Details/Potomac-Station-Park-and-Ride-118
11752496.6266667,7074562.36000001,11,"Leesburg,  VA  20175",41951 Gourley Transit Dr, ,191169866000,Leesburg,OPEN,2022/10/31 04:00:00+00,691,LOUDOUN COUNTY OF,BUS,https://www.loudoun.gov/Facilities/Facility/Details/Leesburg-Park-and-Ride-114
11760200.7334019,7063889.83994219,12,"Ashburn, VA 20147",20785 Century Corner Dr,,153277697000,Goose Creek Village,OPEN,2014/07/25 04:00:00+00,83,GOOSE CREEK COMMERCIAL LLC ,BUS,https://www.loudoun.gov/Facilities/Facility/Details/Goose-Creek-Village-Park-and-Ride-112
11751436.5760417,7025979.59270835,14,"Aldie, VA 20105",24281 Millstream Dr, ,204354604000,Dulles South (Stone Ridge II),OPEN,2017/07/25 04:00:00+00,300,LOUDOUN COUNTY BOARD OF SUPERVISORS,BUS,https://www.loudoun.gov/Facilities/Facility/Details/Dulles-South-Stone-Ridge-II-Park-and-Rid-109
11778434.0666667,7068357.41104166,15,"Ashburn, VA 20147",20360 Savin Hill Dr,,57183144000,One Loudoun,OPEN,2019/06/11 04:00:00+00,500,LOUDOUN COUNTY BOARD OF SUPERVISORS,NO,https://www.loudoun.gov/Facilities/Facility/Details/One-Loudoun-Park-and-Ride-160
11753572.135625,7073651.565,16,"Leesburg, VA 20175",42075 Loudoun United Dr,,191169866000,Leesburg II,OPEN,2020/06/09 04:00:00+00,300,"LOUDOUN, COUNTY OF",BUS,https://www.loudoun.gov/Facilities/Facility/Details/Leesburg-II-Park-and-Ride-159
11753373.99,7026505.16500001,17,"Aldie, VA 20105",42015 Village Center Plz,,204372198000,Dulles South,OPEN,2020/06/09 04:00:00+00,250,STONE RIDGE VILLAGE CENTER LLC,BUS,https://www.loudoun.gov/Facilities/Facility/Details/Dulles-South-Park-and-Ride-107
11762795.7928048,7055039.32637696,18,"Ashburn, VA 20148",43043 Waxpool Road, ,156309758000,Broadlands,OPEN,2020/06/09 04:00:00+00,30,BROADLANDS ASSOCIATION INC,NO,https://www.loudoun.gov/Facilities/Facility/Details/Broadlands-Park-and-Ride-101
11753125.1347917,7026248.53416666,19,"Aldie, VA 20105",24499 Millstream Drive, ,204374812000,Dulles South (Village Center),OPEN,2020/06/10 04:00:00+00,100,LOUDOUN COUNTY BOARD OF SUPERVISORS,BUS,https://www.loudoun.gov/Facilities/Facility/Details/Dulles-South-Village-Center-Park-and-Rid-108
11786766.0783334,7039861.000625,20,"Sterling, VA 20166",23114 Pacific Blvd, ,67379924000,Dulles Transit Center,OPEN,2023/03/03 05:00:00+00,1167,DULLES INTERNATIONAL AIRPORT,BUS,https://www.loudoun.gov/Facilities/Facility/Details/Dulles-Transit-Center-187
