OBJECTID,COUNDIST,COUN_NAME,COUN_ADD,COUN_LOC,COUN_YR_ELECTED,COUN_TERM,COUN_PARTY,COUN_PHONENO,COUN_FAX,COUN_EMAIL,COMMENTS,COUN_WEB,SHAPEAREA,SHAPELEN
1,14,ROBERT HENDERSON,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2008,4,D,502-574-1114, ,bob.henderson@louisvilleky.gov, ,http://www.louisvilleky.gov/metrocouncil/members/14,623891918.6201,172550.554798291
2,25,DAVID YATES,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2010,4,D,502-574-1125, ,david.yates@louisvilleky.gov, ,http://www.louisvilleky.gov/metrocouncil/members/25,358051059.1049,107739.578030738
3,13,VICKI WELCH,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2010,4,D,502-574-1113, ,vicki.welch@louisvilleky.gov, ,http://www.louisvilleky.gov/metrocouncil/members/13,932177711.60105,163626.081141235
4,23,JAMES PEDEN,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2010,4,R,502-574-1123, ,james.peden@louisvilleky.gov, ,http://www.louisvilleky.gov/metrocouncil/members/23,408509545.99125,144831.211007913
5,24,MADONNA FLOOD,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2008,4,D,502-574-1124, ,madonna.flood@louisvilleky.gov, ,http://www.louisvilleky.gov/metrocouncil/members/24,419167653.72765,138789.317298952
6,2,BARBARA SHANKLIN,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2008,4,D,502-574-1102, ,barbara.shanklin@louisvilleky.gov, ,http://www.louisvilleky.gov/metrocouncil/members/02,245733684.03075,96070.1774391394
7,22,ROBIN ENGEL,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2008,4,R,502-574-1122, ,robin.engel@louisvilleky.gov, ,http://www.louisvilleky.gov/metrocouncil/members/22,546037078.41825,168629.694013163
8,12,RICK BLACKWELL,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2008,4,D,502-574-1112, ,rick.blackwell@louisvilleky.gov, ,http://www.louisvilleky.gov/metrocouncil/members/12,340367233.7781,125924.137315069
9,21,DAN JOHNSON,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2010,4,D,502-574-1121, ,dan.johnson@louisvilleky.gov, ,http://www.louisvilleky.gov/metrocouncil/members/21,294304624.1137,108978.008364724
10,15,MARIANNE BUTLER,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2010,4,D,502-574-1115, ,marianne.butler@louisvilleky.gov, ,http://www.louisvilleky.gov/metrocouncil/members/15,160365116.4907,82182.4816602768
11,11,KEVIN KRAMER,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2010,4,R,502-574-1111, ,kevin.kramer@louisvilleky.gov, ,http://www.louisvilleky.gov/metrocouncil/members/11,177453395.4835,89990.5183331916
12,20,STUART BENSON,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2008,4,R,502-574-1120, ,stuart.benson@louisvilleky.gov, ,http://www.louisvilleky.gov/metrocouncil/members/20,1858398202.2594,244886.110064004
13,10,JIM KING,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2008,4,D,502-574-1110, ,jim.king@louisvilleky.gov, ,http://www.louisvilleky.gov/metrocouncil/members/10,261286275.5901,107550.371135793
14,3,MARY WOOLRIDGE,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2010,4,D,502-574-1103, ,mary.woolridge@louisvilleky.gov, ,http://www.louisvilleky.gov/metrocouncil/members/03,191631764.2389,89335.3184070878
15,8,TOM OWEN,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2008,4,D,502-574-1108, ,tom.owen@louisvilleky.gov, ,http://www.louisvilleky.gov/metrocouncil/members/08,143130746.2132,82277.5522463942
16,26,BRENT T. ACKERSON,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2008,4,R,502-574-1126, ,brent.ackerson@louisvilleky.gov, ,http://www.louisvilleky.gov/metrocouncil/members/26,191468092.76135,103320.376882906
17,6,DAVID JAMES,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2010,4,D,502-574-1106, ,david.james@louisvilleky.gov, ,http://www.louisvilleky.gov/metrocouncil/members/06,130126949.5552,78663.129653906
18,1,ATTICA SCOTT,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2011,1,D,502-574-1101, ,attica.scott@louisvilleky.gov, ,http://www.louisvilleky.gov/metrocouncil/members/01,369112500.69205,123901.285081754
19,18,JON ACKERSON,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2008,4,R,502-574-1118, ,jon.ackerson@louisvilleky.gov, ,http://www.louisvilleky.gov/metrocouncil/members/18,303133002.5899,99639.2396698291
20,4,DAVID TANDY,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2008,4,D,502-574-1104, ,david.tandy@louisvilleky.gov, ,http://www.louisvilleky.gov/metrocouncil/members/04,174106636.42235,93301.4825786864
21,9,TINA WARD-PUGH,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2010,4,D,502-574-1109, ,tina.ward-pugh@louisvilleky.gov, ,http://www.louisvilleky.gov/metrocouncil/members/09,286396282.5516,103894.148720396
22,5,CHERI HAMILTON,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2010,4,D,502-574-1105, ,cheri.hamilton@louisvilleky.gov, ,http://www.louisvilleky.gov/metrocouncil/members/05,208327141.4134,70363.4803104733
23,7,KEN FLEMING,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2010,4,R,502-574-1107, ,ken.fleming@louisvilleky.gov, ,http://www.louisvilleky.gov/metrocouncil/members/07,286424677.3091,111819.717682301
