X,Y,OBJECTID,STOPID,STOPABBR,STOPNAME,LON,LAT
1223112.88249999,277625.885000005,1,846,6095,Frankfort @ Jane,-85.703267,38.25333
1223432.005,277665.286249995,2,847,6100,Frankfort @ Keats,-85.702158,38.253452
1224057.5275,277903.09375,3,848,6105,Ewing @ Lexington Avenue,-85.699993,38.254132
1223830.53375,278625.254999995,4,851,6120,Ewing @ Calvin,-85.700823,38.256105
1223613.005,279291.182500005,5,852,6125,Ewing @ Brownsboro,-85.701617,38.257924
1222808.5325,279631.299999997,6,853,6130,Brownsboro @ N. Clifton,-85.704437,38.258823
1222459.50624999,279769.751249999,7,854,6135,Brownsboro @ Vernon,-85.70566,38.259188
1222075.85375001,280133.473749995,8,855,6140,Lindsay @ Brownsboro,-85.707016,38.26017
1222518.06375,280422.221249998,9,856,6145,Lindsay @ Lindsay Court,-85.705492,38.260982
1222830.54000001,280552.042500004,10,857,6150,Lindsay @ Mount Holly,-85.704411,38.261352
1223392.16875,280930.334999993,11,858,6155,Lindsay @ 2638,-85.702476,38.262415
1223701.07625,281034.728750005,12,859,6160,Hite @ Lindsay,-85.701406,38.262715
1223941.36375,280702.424999997,13,860,6165,Hite @ Cleveland,-85.700551,38.261813
1224523.64125,281025.421250001,14,861,6170,Cleveland @ Pryor,-85.698541,38.262725
1225222.31375,281465.333749995,15,862,6175,Cleveland @ North Birchwood,-85.696132,38.263963
1225683.9175,281767.668750003,16,863,6180,Cleveland @ Country Club,-85.694541,38.264813
1225236.62875,282047.846249998,17,864,6185,Country Club @ Lindsay,-85.696114,38.265563
1224901.4975,282246.871250004,18,865,6190,Country Club @ Eastern,-85.697292,38.266095
1224816.08,282841.148750007,19,866,6195,Country Club @ 655,-85.697622,38.267723
1224593.90125,283119.256249994,20,867,6205,Country Club @ Parkway,-85.698411,38.268477
1225832.35375001,283872.299999997,21,870,6210,Country Club @ Zorn,-85.694139,38.270598
1226306.33125,283152.840000004,22,871,6215,Zorn @ 730,-85.692449,38.268643
1226711.0325,282463.609999999,23,872,6220,Zorn @ Cleveland,-85.691002,38.266768
1227419.7175,281324.936250001,24,873,6225,Zorn @ Saint Leonard Church,-85.688472,38.263672
1209694.98125,254948.441249996,25,115,623,Phillips @ Southern Heights,-85.748702,38.190475
1227627.16125,281019.766249999,26,875,6235,Zorn @ Riedling,-85.687733,38.262843
1227942.47624999,280505.316249996,27,876,6240,Hillcrest @ Rebel,-85.686607,38.261444
1228610.99375001,280339.378749996,28,877,6245,Brownsboro @ Zorn,-85.68427,38.261017
1229457.1875,280666.751249999,29,886,6255,Brownsboro @ Winton,-85.681341,38.261952
1229958.20375,280865.111249998,30,887,6260,Brownsboro @ Jarvis,-85.679607,38.262518
1231051.57125001,281134.795000002,31,888,6265,Brownsboro @ Mockingbird Valley,-85.675814,38.263305
1232245.8575,281451.405000001,32,889,6270,Brownsboro @ Mockingbird Garden,-85.671672,38.264225
