ObjectId,CodesAndRegsLicenseDataID,LicenseID,Description,LicenseName,Location,StreetNumber,Prefix,StreetName,Suffix,Longitude,Latitude,ExpirationDate,SubType,SubDescription,IssueDate,Zip,DISTRICT,NEIGHBORHOOD,ZONING,EndorsementType,EndorsementTypeDescription,EndorsementStatusDescription,EndorsementIssuedDate,AGENCY,GPSX,GPSY
1,101,5848,Alcoholic Beverage Annual,BEVERAGE WORLD,2332 BROWNSBORO RD ,2332, ,BROWNSBORO,RD,-85.701999994,38.2580918413,2019/09/30 03:59:59+00,LIQ,Liquor Store,2004-08-24 09:00:00,40206,9,CLIFTON,C1,MBP,NQ Retail Malt Beverage Package,ACTIVE,,Codes and Regulations,1223504.0,279354.0
2,102,5912,Alcoholic Beverage Annual,TWIN DIXIE LANES,10526 DIXIE HWY ,10526, ,DIXIE,HWY,-85.8712473152,38.1024238533,2019/09/30 03:59:59+00,AMU,Amusement,2004-08-25 14:27:00,40272,14,,C2,MBRD4,NQ4 Retail Malt Beverage Drink (12 am till 4 am),ACTIVE,,Codes and Regulations,1173915.0,223485.0
3,103,28081,Alcoholic Beverage Annual,DEAL MASTER,6115 BLEVINS GAP RD ,6115, ,BLEVINS GAP,RD,-85.8792323963,38.0705056158,2019/09/30 03:59:59+00,GRO,Grocery / Food Mart,2010-07-12 11:49:00,40272,14,,C2,MBP,NQ Retail Malt Beverage Package,ACTIVE,,Codes and Regulations,1171412.0,211904.0
4,104,18856,Alcoholic Beverage Annual,WAL-MART SUPERCENTER # 3610,7100 RAGGARD RD ,7100, ,RAGGARD,RD,-85.8703415958,38.1714851501,2019/08/31 03:59:59+00,GRO,Grocery / Food Mart,2008-03-04 13:29:07,40216,1,,C2,MBP,NQ Retail Malt Beverage Package,ACTIVE,,Codes and Regulations,1174618.0,248626.0
5,105,18856,Alcoholic Beverage Annual,WAL-MART SUPERCENTER # 3610,7100 RAGGARD RD ,7100, ,RAGGARD,RD,-85.8703415958,38.1714851501,2019/08/31 03:59:59+00,GRO,Grocery / Food Mart,2008-03-04 13:29:07,40216,1,,C2,MBP2,NQ Retail Malt Beverage Package (12 am till 2 am),ACTIVE,,Codes and Regulations,1174618.0,248626.0
6,106,14ABC1160,Alcoholic Beverage Annual,MI PREFERIDA 3,8104 NATIONAL TPKE 107,8104, ,NATIONAL,TPKE,-85.7520963285,38.1321215496,2019/02/28 05:00:00+00,GRO,Grocery / Food Mart,2014-10-27 10:50:13,40214,13,,C2,MBP,NQ Retail Malt Beverage Package,ACTIVE,2014-10-27 10:50:13,Codes and Regulations,1208373.0,233717.0
7,107,19852,Alcoholic Beverage Annual,WAL-MART NBRHD MARKET #4524,5360 DIXIE HWY ,5360, ,DIXIE,HWY,-85.836042142,38.157282305,2019/08/31 03:59:59+00,GRO,Grocery / Food Mart,2008-02-26 16:06:00,40216,12,,C2,MBP,NQ Retail Malt Beverage Package,ACTIVE,,Codes and Regulations,1184388.0,243283.0
8,108,19852,Alcoholic Beverage Annual,WAL-MART NBRHD MARKET #4524,5360 DIXIE HWY ,5360, ,DIXIE,HWY,-85.836042142,38.157282305,2019/08/31 03:59:59+00,GRO,Grocery / Food Mart,2008-02-26 16:06:00,40216,12,,C2,MBP2,NQ Retail Malt Beverage Package (12 am till 2 am),ACTIVE,,Codes and Regulations,1184388.0,243283.0
9,109,26761,Alcoholic Beverage Annual,SMYRNA INN,8201 SMYRNA PKY ,8201, ,SMYRNA,PKY,-85.6423552651,38.1303033721,2020/01/31 05:00:00+00,BAR,Bar,2010-02-10 14:38:09,40228,23,,R4,MBRD2,NQ4 Retail Malt Beverage Drink (12 am till 2 am),ACTIVE,,Codes and Regulations,1239925.0,232559.0
10,110,24235,Alcoholic Beverage Annual,LIQUOR BARN,4301 TOWNE CENTER DR ,4301, ,TOWNE CENTER,DR,-85.5585730139,38.2992122367,2019/08/31 03:59:59+00,LIQ,Liquor Store,2009-09-16 12:09:44,40241,17,,C2,MBCO,NQ Retail Malt Beverage Combo (Package and Drink),ACTIVE,,Codes and Regulations,1264896.0,293710.0
