ObjectId,Permit_Number,Application_Type,Effective_Date,Expiration_Date,Application_Status,Project_Name,Permit_Type,Applicant,Street_Address,City,Zip,ID
1,C-1216-1002,APCDCONS,,,Void,Hoffman Blast Booth,TITLE V,BAE SYSTEMS,163 ROCHESTER DR,LOUISVILLE,40214-0000,1
2,C-0072-1000,APCDCONS,2011-03-03 00:00:00,2020-07-30 00:00:00,Open,PAL construction of equipment at entire plant,TITLE V,FORD MOTOR COMPANY,2000 FERN VALLEY RD,LOUISVILLE,40213-0000,2
3,C-1216-1003,APCDCONS,,,Void,JBI Blasting Booth & Cabinet,TITLE V,BAE SYSTEMS,163 ROCHESTER DR,LOUISVILLE,40214-0000,3
4,C-0073-1000,APCDCONS,2012-04-17 00:00:00,2022-05-31 00:00:00,Open,PAL,TITLE V,FORD MOTOR COMPANY KY TRUCK,3001 CHAMBERLAIN LN,LOUISVILLE,40241-0000,4
5,C-0227-1000,APCDCONS,2013-04-24 00:00:00,2014-05-31 00:00:00,Open,Abrasive Blasting Machine,FEDOOPSE,SYPRIS TECHNOLOGIES,2820 W BROADWAY,LOUISVILLE,40211-0000,5
6,C-0227-1001,APCDCONS,2012-05-15 00:00:00,2013-05-31 00:00:00,Open,One (1) Met Fin Series V Model 2002 Abrasive Blast,FEDOOPSE,SYPRIS TECHNOLOGIES,2820 W BROADWAY,LOUISVILLE,40211-0000,6
7,C-0500-1002,APCDCONS,2001-07-31 00:00:00,2004-07-30 00:00:00,Void,2 vents and 2 filters,MINOR,SUN OPTA FOOD INGREDIENTS,1401 LOCUST ST,LOUISVILLE,40206-0000,7
8,C-0500-1003,APCDCONS,,,Void,"New ball mill, exist equip",MINOR,SUN OPTA FOOD INGREDIENTS,1401 LOCUST ST,LOUISVILLE,40206-0000,8
9,C-0887-1000,APCDCONS,2006-06-30 00:00:00,2007-06-30 00:00:00,Open,Two (2) parts washers with secondary reservoirs.,MINOR,A-C BRAKE CO INC,308 E COLLEGE ST,LOUISVILLE,40203-0000,9
10,C-0887-1001,APCDCONS,2006-06-30 00:00:00,2007-06-30 00:00:00,Open,One (1) small paint booth and one (1) pyrolysis ov,MINOR,A-C BRAKE CO INC,308 E COLLEGE ST,LOUISVILLE,40203-0000,10
