ObjectId,YEAR,MONTH,Number_of_Tags_Issued,animal_type,zip_code
1,2012,2,1,DOG,40218.0
2,2012,2,1,DOG,40219.0
3,2012,2,3,DOG,40222.0
4,2012,2,1,DOG,40228.0
5,2012,2,3,DOG,40229.0
6,2012,2,2,DOG,40245.0
7,2012,2,2,DOG,40258.0
8,2012,2,1,DOG,40272.0
9,2012,2,2,DOG,40291.0
10,2012,3,2,CAT,40216.0
11,2012,3,1,CAT,40272.0
12,2012,3,1,DOG,40118.0
13,2012,3,1,DOG,40215.0
14,2012,3,1,DOG,40216.0
15,2012,3,1,DOG,40218.0
16,2012,3,1,DOG,40219.0
17,2012,3,1,DOG,40272.0
18,2012,4,1,CAT,40041.0
19,2012,4,1,CAT,40207.0
20,2012,4,1,CAT,40213.0
21,2012,4,1,CAT,40219.0
22,2012,4,1,CAT,40223.0
23,2012,4,1,CAT,40241.0
24,2012,4,1,CAT,40299.0
25,2012,4,1,DOG,40204.0
26,2012,4,3,DOG,40205.0
27,2012,4,1,DOG,40206.0
28,2012,4,2,DOG,40208.0
29,2012,4,3,DOG,40213.0
30,2012,4,1,DOG,40214.0
31,2012,4,2,DOG,40215.0
32,2012,4,1,DOG,40216.0
33,2012,4,1,DOG,40217.0
34,2012,4,3,DOG,40219.0
35,2012,4,3,DOG,40220.0
36,2012,4,1,DOG,40228.0
37,2012,4,1,DOG,40229.0
38,2012,4,1,DOG,40241.0
39,2012,4,3,DOG,40258.0
40,2012,4,1,DOG,40272.0
41,2012,4,2,DOG,40299.0
42,2012,5,2,CAT,40245.0
43,2012,5,2,CAT,40272.0
44,2012,5,1,CAT,40291.0
45,2012,5,1,DOG,40118.0
46,2012,5,3,DOG,40207.0
47,2012,5,1,DOG,40213.0
48,2012,5,2,DOG,40214.0
49,2012,5,1,DOG,40216.0
50,2012,5,3,DOG,40217.0
51,2012,8,1,DOG,40219.0
52,2012,8,1,DOG,40220.0
53,2012,8,2,DOG,40223.0
54,2012,8,2,DOG,40228.0
55,2012,8,2,DOG,40229.0
56,2012,8,1,DOG,40245.0
57,2012,8,5,DOG,40291.0
58,2012,8,6,DOG,40299.0
59,2012,9,1,CAT,40041.0
60,2012,9,1,CAT,40218.0
61,2012,9,1,CAT,40223.0
62,2012,9,1,CAT,40242.0
63,2012,9,1,DOG,40041.0
64,2012,9,1,DOG,40207.0
65,2012,9,1,DOG,40214.0
66,2012,9,1,DOG,40216.0
67,2012,9,1,DOG,40219.0
68,2012,9,1,DOG,40291.0
69,2012,9,1,DOG,40299.0
70,2012,10,2,CAT,40207.0
71,2012,10,1,CAT,40228.0
72,2012,10,1,CAT,40258.0
73,2012,10,1,DOG,40205.0
74,2012,10,1,DOG,40211.0
75,2012,10,2,DOG,40216.0
76,2012,10,1,DOG,40219.0
77,2012,10,1,DOG,40220.0
