ObjectId,ID,CASENUMBER,CASETYPEID,CASETYPE,STREETADDRESS,ZIP,CITY,STATE,STATUS,DATEOPENED
1,94799,18ABC1145,1000,ABC Case,1100 ALGONQUIN PKY,40208-0000,LOUISVILLE,KY,Closed,2018/07/16 14:24:18+00
2,94800,18ABC1146,1000,ABC Case,800 E KENTUCKY ST,40204-0000,LOUISVILLE,KY,Closed,2018/07/16 14:29:00+00
3,94801,16ABC1122,1000,ABC Case,1601 S PRESTON ST,40217-0000,LOUISVILLE,KY,Closed,2016/09/12 14:09:49+00
4,94802,16ABC1123,1000,ABC Case,1601 S PRESTON ST,40217-0000,LOUISVILLE,KY,Closed,2016/09/12 14:21:28+00
5,94803,16ABC1159,1000,ABC Case, DUTCHMANS LN,40207-0000, ,KY,Closed,2016/12/15 17:47:14+00
6,94804,17ABC1050,1000,ABC Case,1512 PORTLAND AVE,40203-0000,LOUISVILLE,KY,Closed,2017/03/20 14:43:23+00
7,94805,18ABC1188,1000,ABC Case,5014 POPLAR LEVEL RD,40219-0000,LOUISVILLE,KY,Closed,2018/08/30 19:21:50+00
8,94806,17ABC1243,1000,ABC Case,1885 PRINCETON DR,40205-0000,LOUISVILLE,KY,Closed,2017/11/13 01:09:24+00
9,94807,17ABC1248,1000,ABC Case,1134 E BRECKINRIDGE ST,40204-0000,LOUISVILLE,KY,Closed,2017/11/14 20:01:31+00
10,94808,17ABC1206,1000,ABC Case,3039 TAYLOR BLVD,40208-0000,LOUISVILLE,KY,Closed,2017/09/27 18:48:40+00
11,94809,17ABC1023,1000,ABC Case,1939 LOWER HUNTERS TRCE,40216-0000,LOUISVILLE,KY,Closed,2017/02/16 15:29:49+00
12,94810,17ABC1003,1000,ABC Case,10641 DIXIE HWY,40272-0000,LOUISVILLE,KY,Closed,2017/01/07 22:46:25+00
13,94811,17ABC1014,1000,ABC Case,2620 PORTLAND AVE,40212-0000,LOUISVILLE,KY,Closed,2017/01/25 22:18:51+00
14,94812,16ABC1140,1000,ABC Case,3947 S 5TH ST,40214-0000,LOUISVILLE,KY,Closed,2016/10/19 12:29:20+00
15,94813,16ABC1142,1000,ABC Case,3947 S 5TH ST,40214-0000,LOUISVILLE,KY,Closed,2016/10/20 18:18:22+00
16,94814,16ABC1139,1000,ABC Case,3310 W BROADWAY ,40211-0000,LOUISVILLE,KY,Closed,2016/10/18 01:11:19+00
17,94815,16ABC1137,1000,ABC Case, 4th , , , ,Closed,2016/10/17 12:47:34+00
18,94816,16ABC1141,1000,ABC Case,  , , , ,Closed,2016/10/20 15:49:26+00
19,94817,16ABC1145,1000,ABC Case,9102 CROWNE SPRINGS CIR,40241-0000,LOUISVILLE,KY,Closed,2016/10/31 18:54:07+00
20,94818,17ABC1235,1000,ABC Case,2715 ROCKFORD LN,40216-0000,LOUISVILLE,KY,Closed,2017/11/07 21:14:54+00
21,94819,17ABC1203,1000,ABC Case,2000 PLANTSIDE DR,40299-0000,JEFFERSONTOWN,KY,Closed,2017/09/26 19:18:35+00
22,94820,16ABC1146,1000,ABC Case, DUTCHMANS LN,40207-0000, ,KY,Closed,2016/11/07 21:55:40+00
23,94821,17ABC1113,1000,ABC Case,4220 SOUTH PARK RD,40219-0000,LOUISVILLE,KY,Closed,2017/06/12 14:38:46+00
24,94822,18ABC1098,1000,ABC Case,1398 S 2ND ST,40208-0000,LOUISVILLE,KY,Closed,2018/05/14 12:01:56+00
25,94823,17ABC1015,1000,ABC Case,359 N 26TH ST,40212-0000,LOUISVILLE,KY,Closed,2017/01/27 23:25:25+00
26,94824,17ABC1028,1000,ABC Case,3503 FRANKLIN AVE,40213-0000,LOUISVILLE,KY,Closed,2017/03/07 16:06:24+00
27,94825,17ABC1033,1000,ABC Case,416 S 26TH ST,40212-0000,LOUISVILLE,KY,Closed,2017/03/08 19:34:03+00
28,94826,17ABC1016,1000,ABC Case,359 N 26TH ST,40212-0000,LOUISVILLE,KY,Closed,2017/02/02 16:48:49+00
29,94827,17ABC1039,1000,ABC Case,2523 W BROADWAY ,40211-0000,LOUISVILLE,KY,Closed,2017/03/13 20:25:02+00
30,94828,16ABC1147,1000,ABC Case,133 W LIBERTY ST,40202-0000,LOUISVILLE,KY,Closed,2016/11/22 14:41:59+00
31,94829,17ABC1172,1000,ABC Case,1609 BARDSTOWN RD,40205-0000,LOUISVILLE,KY,Closed,2017/08/23 15:26:57+00
32,94830,16ABC1138,1000,ABC Case,116 E MAIN ST,40202-0000,LOUISVILLE,KY,Closed,2016/10/17 18:48:14+00
33,94831,17ABC1026,1000,ABC Case,3952 BARDSTOWN RD,40218-0000,LOUISVILLE,KY,Closed,2017/03/06 21:34:53+00
34,94832,17ABC1029,1000,ABC Case, S 5TH ST,40202-0000,LOUISVILLE,KY,Closed,2017/03/07 20:55:50+00
35,94833,17ABC1032,1000,ABC Case,7844 DIXIE HWY,40258-0000,LOUISVILLE,KY,Closed,2017/03/08 16:04:25+00
36,94834,17ABC1009,1000,ABC Case,282 EVANGELINE AVE,40214-0000,LOUISVILLE,KY,Closed,2017/01/18 19:50:41+00
37,94835,17ABC1035,1000,ABC Case,4320 SUMMIT PLAZA DR,40241-0000,LOUISVILLE,KY,Closed,2017/03/10 19:05:54+00
38,94836,17ABC1048,1000,ABC Case,2523 W BROADWAY ,40211-0000,LOUISVILLE,KY,Closed,2017/03/17 16:11:33+00
39,94838,17ABC1059,1000,ABC Case,4122 PINECROFT DR,40219-0000,LOUISVILLE,KY,Closed,2017/04/03 19:33:08+00
40,94839,17ABC1042,1000,ABC Case,4744 POPLAR LEVEL RD,40213-0000,LOUISVILLE,KY,Closed,2017/03/14 20:34:22+00
41,94840,17ABC1043,1000,ABC Case,1565 BARDSTOWN RD,40205-0000,LOUISVILLE,KY,Closed,2017/03/14 21:31:28+00
42,94841,17ABC1044,1000,ABC Case, I 264 RAMP ,40215-0000,LOUISVILLE,KY,Closed,2017/03/15 13:51:25+00
43,94842,17ABC1063,1000,ABC Case,3296 TAYLOR BLVD,40215-0000,LOUISVILLE,KY,Closed,2017/04/04 20:20:48+00
44,94843,17ABC1047,1000,ABC Case, DIXIE HWY,40272-0000,LOUISVILLE,KY,Closed,2017/03/17 15:19:03+00
45,94844,17ABC1021,1000,ABC Case,5301 VALLEY STATION RD,40272-0000,LOUISVILLE,KY,Closed,2017/02/14 18:58:14+00
46,94845,17ABC1070,1000,ABC Case,1401 LEXINGTON RD,40206-0000,LOUISVILLE,KY,Closed,2017/04/14 20:52:51+00
47,94846,17ABC1071,1000,ABC Case,1944 MEADOWCREEK DR,40218-0000,LOUISVILLE,KY,Closed,2017/04/17 14:51:06+00
48,94847,17ABC1037,1000,ABC Case, POPLAR LEVEL RD,40213-0000,LOUISVILLE,KY,Closed,2017/03/10 19:38:51+00
49,94848,17ABC1064,1000,ABC Case,3802 SHEPHERDSVILLE RD,40218-0000,WEST BUECHEL,KY,Closed,2017/04/06 12:44:04+00
50,94849,17ABC1072,1000,ABC Case,3814 FRANKFORT AVE,40207-0000,LOUISVILLE,KY,Closed,2017/04/17 15:18:02+00
51,94901,17ABC1139,1000,ABC Case,1058 BARDSTOWN RD,40204-0000,LOUISVILLE,KY,Closed,2017/07/13 16:19:45+00
52,94902,17ABC1145,1000,ABC Case,8510 NATIONAL TPKE,40118-0000,LOUISVILLE,KY,Closed,2017/07/20 01:20:09+00
53,94903,17ABC1227,1000,ABC Case,1250 BARDSTOWN RD,40204-0000,LOUISVILLE,KY,Closed,2017/11/01 22:51:59+00
54,94904,18ABC1114,1000,ABC Case,3900 SHELBYVILLE RD,40207-0000,LOUISVILLE,KY,Closed,2018/05/31 18:22:50+00
55,94905,17ABC1092,1000,ABC Case,3741 S HURSTBOURNE PKY,40299-0000,LOUISVILLE,KY,Closed,2017/05/11 17:36:14+00
56,94906,17ABC1087,1000,ABC Case,942 BAXTER AVE,40204-0000,LOUISVILLE,KY,Closed,2017/05/04 20:16:24+00
57,94907,17ABC1210,1000,ABC Case,7400 3RD STREET RD,40214-0000,LOUISVILLE,KY,Closed,2017/10/02 16:46:16+00
58,94908,17ABC1084,1000,ABC Case,101 S 5TH ST,40202-0000,LOUISVILLE,KY,Closed,2017/05/03 13:53:46+00
59,94909,17ABC1109,1000,ABC Case, S 5TH ST,40202-0000,LOUISVILLE,KY,Closed,2017/06/05 18:56:00+00
60,94910,17ABC1106,1000,ABC Case,7900 SHELBYVILLE RD,40222-0000,LOUISVILLE,KY,Closed,2017/05/31 18:50:07+00
61,94911,17ABC1122,1000,ABC Case,2235 S PRESTON ST,40217-0000,LOUISVILLE,KY,Closed,2017/06/20 20:04:17+00
62,94912,17ABC1110,1000,ABC Case,120 N CLAY ST,40202-0000,LOUISVILLE,KY,Closed,2017/06/07 15:07:49+00
63,94913,17ABC1118,1000,ABC Case,536 BAXTER AVE,40204-0000,LOUISVILLE,KY,Closed,2017/06/14 20:50:57+00
64,94914,17ABC1095,1000,ABC Case,7320 SOUTHSIDE DR,40214-0000,LOUISVILLE,KY,Closed,2017/05/16 19:33:29+00
65,94915,17ABC1116,1000,ABC Case, S 18TH ST,40203-0000,LOUISVILLE,KY,Closed,2017/06/13 19:54:21+00
66,94916,17ABC1099,1000,ABC Case,700 LANDIS RIDGE DR,40245-0000,LOUISVILLE,KY,Closed,2017/05/18 21:24:43+00
67,94917,17ABC1160,1000,ABC Case,1036 E BURNETT AVE,40217-0000,LOUISVILLE,KY,Closed,2017/08/04 19:53:23+00
68,94918,17ABC1098,1000,ABC Case,120 W BROADWAY ,40202-0000,LOUISVILLE,KY,Closed,2017/05/18 21:21:29+00
69,94919,16ABC1028,1000,ABC Case,  , , , ,Closed,2016/01/29 16:38:55+00
70,94920,17ABC1012,1000,ABC Case,3412 GRANDVIEW AVE,40207-0000,ST MATTHEWS,KY,Closed,2017/01/23 15:56:17+00
71,94921,16ABC1049,1000,ABC Case, BARDSTOWN RD,40205-0000,LOUISVILLE,KY,Closed,2016/03/09 20:34:17+00
72,94922,16ABC1056,1000,ABC Case,2800 W MARKET ST,40212-0000,LOUISVILLE,KY,Closed,2016/03/22 19:37:45+00
73,94923,16ABC1036,1000,ABC Case,2523 W BROADWAY ,40211-0000,LOUISVILLE,KY,Closed,2016/02/23 18:52:13+00
74,94924,16ABC1037,1000,ABC Case,1111 SWAN ST,40204-0000,LOUISVILLE,KY,Closed,2016/02/23 18:53:01+00
75,94925,16ABC1033,1000,ABC Case,4240 SHELBYVILLE RD,40207-0000,ST MATTHEWS,KY,Closed,2016/02/10 15:09:43+00
76,94926,16ABC1074,1000,ABC Case,2141 SYCAMORE AVE,40206-0000,LOUISVILLE,KY,Closed,2016/05/19 20:28:46+00
77,94927,16ABC1041,1000,ABC Case,  , , , ,Closed,2016/03/02 19:38:29+00
78,94928,16ABC1001,1000,ABC Case,8118 PRESTON HWY,40219-0000,LOUISVILLE,KY,Closed,2016/01/04 15:23:03+00
79,94929,16ABC1067,1000,ABC Case,2523 W BROADWAY ,40211-0000,LOUISVILLE,KY,Closed,2016/04/06 20:01:34+00
80,94930,16ABC1070,1000,ABC Case,4642 DIXIE HWY,40216-0000,SHIVELY,KY,Closed,2016/05/11 18:01:54+00
81,94931,16ABC1007,1000,ABC Case,4822 POPLAR LEVEL RD,40213-0000,LOUISVILLE,KY,Closed,2016/01/08 19:33:09+00
82,94932,16ABC1066,1000,ABC Case,600 TERMINAL DR,40209-0000,LOUISVILLE,KY,Closed,2016/04/06 19:49:15+00
83,94933,16ABC1024,1000,ABC Case,1031 S 6TH ST,40203-0000,LOUISVILLE,KY,Closed,2016/01/25 20:28:09+00
84,94934,16ABC1075,1000,ABC Case,101 E JEFFERSON ST,40202-0000,LOUISVILLE,KY,Closed,2016/05/20 22:16:06+00
85,94935,16ABC1021,1000,ABC Case,3700 BARDSTOWN RD,40218-0000,LOUISVILLE,KY,Closed,2016/01/21 21:20:18+00
86,94936,17ABC1100,1000,ABC Case,3425 TAYLOR BLVD,40215-0000,LOUISVILLE,KY,Closed,2017/05/21 06:44:39+00
87,94937,16ABC1069,1000,ABC Case,2286 BARDSTOWN RD,40205-0000,LOUISVILLE,KY,Closed,2016/05/09 18:28:38+00
88,94938,16ABC1078,1000,ABC Case,4347 S 3RD ST,40214-0000,LOUISVILLE,KY,Closed,2016/05/25 19:30:41+00
89,94939,16ABC1157,1000,ABC Case,1064 BARDSTOWN RD,40204-0000,LOUISVILLE,KY,Closed,2016/12/13 21:29:08+00
90,94940,17ABC1247,1000,ABC Case,1250 BARDSTOWN RD,40204-0000,LOUISVILLE,KY,Closed,2017/11/13 22:38:28+00
91,94941,18ABC1180,1000,ABC Case, BARDSTOWN RD,40205-0000,LOUISVILLE,KY,Closed,2018/08/24 15:09:15+00
92,94942,18ABC1248,1000,ABC Case,212 ALVINA WAY,40214-0000,LOUISVILLE,KY,Closed,2018/11/14 16:54:59+00
93,94943,16ABC1107,1000,ABC Case,2200 W MARKET ST,40212-0000,LOUISVILLE,KY,Closed,2016/08/04 21:02:23+00
94,94944,17ABC1143,1000,ABC Case,4105 TAYLOR BLVD,40215-0000,LOUISVILLE,KY,Closed,2017/07/17 20:11:11+00
95,94945,17ABC1265,1000,ABC Case,1715 BERRY BLVD,40215-0000,LOUISVILLE,KY,Closed,2017/12/11 14:23:04+00
96,94946,16ABC1111,1000,ABC Case,2200 W MARKET ST,40212-0000,LOUISVILLE,KY,Closed,2016/08/05 19:00:39+00
97,94947,18ABC1201,1000,ABC Case,4111 MURPHY LN,40241-0000,LOUISVILLE,KY,Closed,2018/09/25 15:29:44+00
98,94948,17ABC1142,1000,ABC Case,5011 POPLAR LEVEL RD,40219-0000,LOUISVILLE,KY,Closed,2017/07/17 14:08:01+00
99,94949,16ABC1081,1000,ABC Case,1138 S 7TH ST,40203-0000,LOUISVILLE,KY,Closed,2016/05/27 19:07:07+00
100,94950,17ABC1101,1000,ABC Case,4406 TAYLOR BLVD,40215-0000,LOUISVILLE,KY,Closed,2017/05/22 03:05:15+00
101,95002,17ABC1105,1000,ABC Case,700 LANDIS RIDGE DR,40245-0000,LOUISVILLE,KY,Closed,2017/05/31 16:22:29+00
102,95003,15ABC1173,1000,ABC Case,2529 W BROADWAY ,40211-0000,LOUISVILLE,KY,Closed,2015/08/11 21:31:15+00
103,95004,15ABC1167,1000,ABC Case,5001 MUD LN,40229-0000,LOUISVILLE,KY,Closed,2015/08/04 14:56:28+00
104,95005,17ABC1093,1000,ABC Case, S 3RD ST,40214-0000,LOUISVILLE,KY,Closed,2017/05/15 15:56:10+00
105,95006,15ABC1190,1000,ABC Case,4106 MURPHY LN,40241-0000,LOUISVILLE,KY,Closed,2015/08/30 23:41:17+00
106,95007,15ABC1179,1000,ABC Case,6301 APEX DR,40219-0000,LOUISVILLE,KY,Closed,2015/08/13 14:34:47+00
107,95008,15ABC1181,1000,ABC Case, BLANKENBAKER PKY,40299-0000, ,KY,Closed,2015/08/14 20:37:50+00
108,95009,15ABC1191,1000,ABC Case, S 28TH ST,40211-0000,LOUISVILLE,KY,Closed,2015/09/03 16:52:44+00
