id,bite_date,SpeciesIDDesc,BreedIDDesc,breed,GenderIDDesc,color,vaccination_yrs,vaccination_date,victim_zip,AdvIssuedYNDesc,WhereBittenIDDesc,quarantine_date,DispositionIDDesc,head_sent_date,release_date,ResultsIDDesc,FollowupYNDesc,ObjectId
666299,2018/11/22 00:00:00,DOG,PIT BULL,,,,0,,40203,,BODY,,,,,,NO,1
667232,,BAT,,,,,0,,40207,,,,,2018/12/18 00:00:00,,,NO,2
667590,2019/01/06 00:00:00,DOG,,,,,0,,40241,,BODY,,,,,,NO,3
518378,2012/06/30 00:00:00,SKUNK,,SKUNK,MALE,,0,,40245,,BODY,,,,,,NO,4
666652,2018/12/10 00:00:00,DOG,,,MALE,BLK BRN,3,2018/02/13 00:00:00,40214,,HEAD,,,,2018/12/20 00:00:00,,NO,5
656891,2018/07/15 00:00:00,DOG,,,MALE,BROWN,0,,40208,,HEAD,,,,,,NO,6
518378,2012/06/30 00:00:00,SKUNK,,SKUNK,MALE,,0,,40245,,BODY,,,,,,YES,7
667056,,BAT,,,,,0,,40204,,,,,2018/12/17 00:00:00,,NEGATIVE,NO,8
667232,,BAT,,,,,0,,40207,,,,,2018/12/18 00:00:00,,,YES,9
667590,2019/01/06 00:00:00,DOG,,,,,0,,40241,,BODY,,,,,,YES,10
666652,2018/12/10 00:00:00,DOG,,,MALE,BLK BRN,3,2018/02/13 00:00:00,40214,,HEAD,,,,2018/12/20 00:00:00,,YES,11
666299,2018/11/22 00:00:00,DOG,PIT BULL,,,,0,,40203,,BODY,,,,,,YES,12
656891,2018/07/15 00:00:00,DOG,,,MALE,BROWN,0,,40208,,HEAD,,,,,,YES,13
527953,2012/12/11 00:00:00,DOG,,STAFFORSDHIRE,MALE,BRINGLE,0,,0,,BODY,,,,,,NO,14
667056,,BAT,,,,,0,,40204,,,,,2018/12/17 00:00:00,,NEGATIVE,YES,15
667234,2018/12/25 00:00:00,DOG,AMER. BULL DOG,,FEMALE,WHITE,0,,40211,,BODY,,,,,,NO,16
667591,2019/01/07 00:00:00,DOG,BLACK LAB,,,BLACK,3,2018/01/04 00:00:00,40217,,UNKNOWN,,,,2019/01/17 00:00:00,,NO,17
666656,2018/12/09 00:00:00,DOG,,WEST HIGHLAND,MALE,WHITE,0,,40216,,BODY,,,,2019/01/03 00:00:00,,NO,18
666300,2018/11/29 00:00:00,DOG,PIT BULL,,MALE,BRINDLE,0,2018/07/10 00:00:00,40228,,BODY,,,,,,NO,19
657127,2018/07/17 00:00:00,DOG,,,,WHITE,0,,40223,,BODY,,,,,,NO,20
527953,2012/12/11 00:00:00,DOG,,STAFFORSDHIRE,MALE,BRINGLE,0,,0,,BODY,,,,,,YES,21
667080,2018/12/19 00:00:00,DOG,BEAGLE,,MALE,WHT BROWN,1,2018/03/31 00:00:00,40258,,HEAD,,,,2018/12/31 00:00:00,,NO,22
667234,2018/12/25 00:00:00,DOG,AMER. BULL DOG,,FEMALE,WHITE,0,,40211,,BODY,,,,,,YES,23
667591,2019/01/07 00:00:00,DOG,BLACK LAB,,,BLACK,3,2018/01/04 00:00:00,40217,,UNKNOWN,,,,2019/01/17 00:00:00,,YES,24
666656,2018/12/09 00:00:00,DOG,,WEST HIGHLAND,MALE,WHITE,0,,40216,,BODY,,,,2019/01/03 00:00:00,,YES,25
666300,2018/11/29 00:00:00,DOG,PIT BULL,,MALE,BRINDLE,0,2018/07/10 00:00:00,40228,,BODY,,,,,,YES,26
657127,2018/07/17 00:00:00,DOG,,,,WHITE,0,,40223,,BODY,,,,,,YES,27
667080,2018/12/19 00:00:00,DOG,BEAGLE,,MALE,WHT BROWN,1,2018/03/31 00:00:00,40258,,HEAD,,,,2018/12/31 00:00:00,,YES,28
577969,2015/03/14 00:00:00,DOG,,,,WHITE,0,,0,,BODY,,,,,,NO,29
667592,2019/01/07 00:00:00,CAT,,,,,0,,40204,,UNKNOWN,,,,,,NO,30
667293,2018/12/26 00:00:00,DOG,CHICHAUHUA,,MALE,,0,,40207,,HEAD,,,,,,NO,31
666657,2018/12/08 00:00:00,DOG,ROTTWEILER,,MALE,BLK TAN,1,2018/07/27 00:00:00,40160,,BODY,,,,2018/12/21 00:00:00,,NO,32
658424,2018/08/06 00:00:00,DOG,BLUE HEELER,,,,0,,40291,,HEAD,,,,,,NO,33
666302,2018/11/25 00:00:00,DOG,CHICHAUHUA,,MALE,BLK BRN,0,2018/11/19 00:00:00,40219,,BODY,,,,,,NO,34
667081,2018/12/18 00:00:00,CAT,,MIXED,FEMALE,BRN BLK WT,0,,40214,,UNKNOWN,,,,,,NO,35
667592,2019/01/07 00:00:00,CAT,,,,,0,,40204,,UNKNOWN,,,,,,YES,36
577969,2015/03/14 00:00:00,DOG,,,,WHITE,0,,0,,BODY,,,,,,YES,37
665127,2018/11/01 00:00:00,DOG,PIT BULL,,MALE,WHT BRN,0,,40211,,BODY,,,,2018/12/11 00:00:00,,NO,38
667293,2018/12/26 00:00:00,DOG,CHICHAUHUA,,MALE,,0,,40207,,HEAD,,,,,,YES,39
658424,2018/08/06 00:00:00,DOG,BLUE HEELER,,,,0,,40291,,HEAD,,,,,,YES,40
666657,2018/12/08 00:00:00,DOG,ROTTWEILER,,MALE,BLK TAN,1,2018/07/27 00:00:00,40160,,BODY,,,,2018/12/21 00:00:00,,YES,41
666302,2018/11/25 00:00:00,DOG,CHICHAUHUA,,MALE,BLK BRN,0,2018/11/19 00:00:00,40219,,BODY,,,,,,YES,42
667081,2018/12/18 00:00:00,CAT,,MIXED,FEMALE,BRN BLK WT,0,,40214,,UNKNOWN,,,,,,YES,43
613464,2016/08/30 00:00:00,BAT,,BAT,,BRN,0,,40217,,UNKNOWN,,,,,,NO,44
667680,2019/01/08 00:00:00,DOG,PIT BULL,,MALE,BLK WHT,1,2018/05/14 00:00:00,40229,,BODY,,,,2019/01/18 00:00:00,,NO,45
665127,2018/11/01 00:00:00,DOG,PIT BULL,,MALE,WHT BRN,0,,40211,,BODY,,,,2018/12/11 00:00:00,,YES,46
667295,2018/12/24 00:00:00,DOG,,,MALE,BLK WHT,1,2017/06/10 00:00:00,40214,,HEAD,,,,2019/01/03 00:00:00,,NO,47
658531,2018/08/07 00:00:00,DOG,LHASA APSO,,MALE,WHT GRY,0,,40272,,BODY,,,,,,NO,48
666312,2018/11/28 00:00:00,CAT,,,FEMALE,GREY,1,2018/10/11 00:00:00,40214,,UNKNOWN,,,,2018/12/10 00:00:00,,NO,49
666658,2018/12/07 00:00:00,DOG,PIT BULL,,FEMALE,BRINDLE,0,,30286,,BODY,,,,,,NO,50
667122,2018/12/18 00:00:00,DOG,GERM SHEPHERD,,,BLACK,1,2019/01/25 00:00:00,40204,,UNKNOWN,,,,2019/01/22 00:00:00,,NO,51
613464,2016/08/30 00:00:00,BAT,,BAT,,BRN,0,,40217,,UNKNOWN,,,,,,YES,52
667680,2019/01/08 00:00:00,DOG,PIT BULL,,MALE,BLK WHT,1,2018/05/14 00:00:00,40229,,BODY,,,,2019/01/18 00:00:00,,YES,53
667295,2018/12/24 00:00:00,DOG,,,MALE,BLK WHT,1,2017/06/10 00:00:00,40214,,HEAD,,,,2019/01/03 00:00:00,,YES,54
667296,2018/12/21 00:00:00,DOG,PIT BULL,,,BROWN,0,,40065,,BODY,,,,,,NO,55
667296,2018/12/21 00:00:00,DOG,PIT BULL,,,BROWN,0,,40065,,BODY,,,,,,YES,56
667344,2018/12/24 00:00:00,DOG,SIBERAN HUSKY,,MALE,BLK/WHT,1,2017/06/10 00:00:00,40214,,HEAD,,,,2018/12/27 00:00:00,,NO,57
667344,2018/12/24 00:00:00,DOG,SIBERAN HUSKY,,MALE,BLK/WHT,1,2017/06/10 00:00:00,40214,,HEAD,,,,2018/12/27 00:00:00,,YES,58
667361,2019/01/01 00:00:00,DOG,GERM SHEPHERD,,MALE,BLK,1,2018/02/01 00:00:00,0,,BODY,,,,2019/01/17 00:00:00,,NO,59
