_Vehicle_Number,Fuel_Type,Gallons_Pumped,Mileage,Prior_Mileage,Date,Station_ID,OBJECTID
3401,Unleaded,4.011,0,0,00:00:00,2,0
3401,Unleaded,3.155,0,0,00:00:00,2,1
1025,Unleaded,7.401,0,51773,00:00:00,6,2
1025,Unleaded,1.703,0,51773,00:00:00,6,3
1025,Unleaded,2.002,0,51773,00:00:00,6,4
1025,Unleaded,1.812,0,51773,00:00:00,6,5
1025,Unleaded,5.008,0,51773,00:00:00,6,6
1025,Unleaded,1.0,0,51773,00:00:00,6,7
1025,Unleaded,1.001,0,51773,00:00:00,6,8
1025,Unleaded,2.107,0,51773,00:00:00,6,9
1025,Unleaded,8.044,0,51773,00:00:00,6,10
1025,Unleaded,6.791,0,51773,00:00:00,6,11
1025,Unleaded,1.0,0,51773,00:00:00,6,12
1025,Unleaded,1.003,0,51773,00:00:00,6,13
1025,Unleaded,3.005,0,51773,00:00:00,6,14
1025,Unleaded,3.632,0,51773,00:00:00,6,15
1025,Unleaded,1.719,0,51773,00:00:00,6,16
1025,Unleaded,3.279,0,51773,00:00:00,6,17
1025,Unleaded,3.225,0,51773,00:00:00,6,18
1025,Unleaded,2.839,0,51773,00:00:00,6,19
1025,Unleaded,1.006,0,51773,00:00:00,6,20
1025,Unleaded,2.186,0,51773,00:00:00,6,21
1025,Unleaded,1.05,0,51773,00:00:00,6,22
1025,Unleaded,2.111,0,51773,00:00:00,6,23
1025,Unleaded,1.008,0,51773,00:00:00,6,24
1025,Unleaded,4.799,0,51773,00:00:00,6,25
1025,Unleaded,2.581,0,51773,00:00:00,6,26
1025,Unleaded,8.32,0,51773,00:00:00,6,27
1025,Unleaded,3.51,0,51773,00:00:00,6,28
1025,Unleaded,2.066,0,51773,00:00:00,6,29
1025,Unleaded,1.002,0,51773,00:00:00,6,30
1025,Unleaded,2.33,0,51773,00:00:00,6,31
1025,Unleaded,5.264,0,51773,00:00:00,6,32
1025,Unleaded,5.372,0,51773,00:00:00,6,33
1025,Unleaded,2.003,0,51773,00:00:00,6,34
1025,Unleaded,6.193,0,51773,00:00:00,6,35
1025,Unleaded,3.179,0,51773,00:00:00,6,36
1025,Unleaded,0.55,0,51773,00:00:00,6,37
1025,Unleaded,1.337,0,51773,00:00:00,6,38
1025,Unleaded,4.973,0,51773,00:00:00,6,39
1025,Unleaded,1.001,0,51773,00:00:00,6,40
1025,Unleaded,0.798,0,51773,00:00:00,6,41
1025,Unleaded,1.165,0,51773,00:00:00,6,42
1025,Unleaded,0.15,0,51773,00:00:00,6,43
1025,Unleaded,4.606,0,51773,00:00:00,6,44
1025,Unleaded,5.517,0,51773,00:00:00,6,45
1025,Unleaded,2.038,0,51773,00:00:00,6,46
1025,Unleaded,2.008,0,51773,00:00:00,6,47
1025,Unleaded,1.476,0,51773,00:00:00,6,48
1025,Unleaded,1.006,0,51773,00:00:00,6,49
1025,Unleaded,1.003,0,51773,00:00:00,6,50
1025,Unleaded,8.008,0,51773,00:00:00,6,51
1025,Unleaded,9.572,0,51773,00:00:00,6,52
1025,Unleaded,1.001,0,51773,00:00:00,6,53
1025,Unleaded,7.621,0,51773,00:00:00,6,54
1025,Unleaded,3.311,0,51773,00:00:00,6,55
1025,Unleaded,3.958,0,51773,00:00:00,6,56
1025,Unleaded,3.814,0,51773,00:00:00,6,57
1100,Unleaded,7.879,0,90386,00:00:00,9,58
1100,Unleaded,10.0,0,90386,00:00:00,4,59
1100,Unleaded,3.994,0,90386,00:00:00,4,60
1100,Unleaded,9.726,0,90386,00:00:00,9,61
1100,Unleaded,4.772,0,90386,00:00:00,9,62
1100,Unleaded,9.792,0,90386,00:00:00,3,63
1100,Unleaded,10.0,0,90386,00:00:00,4,64
1100,Unleaded,1.046,0,90386,00:00:00,4,65
1100,Unleaded,0.001,0,90386,00:00:00,9,66
1100,Unleaded,2.73,0,90386,00:00:00,9,67
1100,Unleaded,9.929,0,90386,00:00:00,4,68
1100,Unleaded,10.0,0,90386,00:00:00,4,69
1100,Unleaded,7.178,0,90386,00:00:00,4,70
1100,Unleaded,5.264,0,90386,00:00:00,4,71
1100,Unleaded,7.383,0,90386,00:00:00,4,72
1100,Unleaded,10.0,0,90386,00:00:00,3,73
1100,Unleaded,3.529,0,90386,00:00:00,3,74
1135,Unleaded,5.924,0,53857,00:00:00,1,75
1135,Unleaded,3.873,0,53857,00:00:00,1,76
