ObjectId,ID,Occupancy_ID_Number,Street,Zip_Code,Census_Tract
1,1,39715,CHARLES ST,40204     ,69.0
2,2,39717,CHARLES ST,40204     ,69.0
3,3,39725,OTTAWA AVE,40214     ,56.0
4,4,39727,DECATUR DR,40218     ,112.0
5,5,39730,MCKAY AVE,40213     ,94.0
6,6,39736,TYLER PKY,40204     ,83.0
7,7,39740,EDENSIDE AVE,40204     ,83.0
8,8,39746,BLUEGRASS AVE,40215     ,44.0
9,9,39747,BLUEGRASS AVE,40215     ,44.0
10,10,39749,BLUEGRASS AVE,40215     ,44.0
11,11,39750,BLUEGRASS AVE,40215     ,44.0
12,12,39752,ALTA AVE,40205     ,85.0
13,13,39757,ALTA AVE,40205     ,85.0
14,14,39759,ALTA AVE,40205     ,85.0
15,15,39760,MAIN ST,40212     ,21.0
16,16,39762,MAIN ST,40212     ,21.0
17,17,39765,MAIN ST,40212     ,21.0
18,18,39767,MAIN ST,40212     ,21.0
19,19,39769,S ARBOR PARK,40214     ,56.0
20,20,39774,E ESPLANADE AVE,40214     ,56.0
21,21,39776,E ESPLANADE AVE,40214     ,56.0
22,22,39782,E ESPLANADE AVE,40214     ,56.0
23,23,39784,E ESPLANADE AVE,402       ,56.0
24,24,39792,E ESPLANADE AVE,40214     ,56.0
25,25,39794,E ESPLANADE AVE,40214     ,56.0
26,26,39800,FRANKLIN ST,40206     ,59.0
27,27,34265,FRANKLIN ST,40206     ,74.0
28,28,39805,W WHITNEY AVE,40214     ,38.0
29,29,39807,FERNWOOD AVE,40205     ,89.0
30,30,39810,CRAIG AVE,40214     ,39.0
31,31,39817,OTTAWA AVE,40214     ,56.0
32,32,39828,ST LOUIS AVE,402       ,16.0
33,33,39831,HUNTINGTON RD,40205     ,87.0
34,34,39838,HUNTINGTON RD,40205     ,87.0
35,35,39842,HUNTINGTON RD,40205     ,87.0
36,36,39847,CHARLES ST,40204     ,69.0
37,37,39849,HUNTINGTON RD,40205     ,87.0
38,38,37504,CHARLES ST,40204     ,69.0
39,39,39852,CHARLES ST,40204     ,69.0
40,40,39853,S 40TH ST,40211     ,9.0
41,41,39859,S 40TH ST,40211     ,9.0
42,42,39860,S 40TH ST,40211     ,9.0
43,43,39862,S 40TH ST,40211     ,9.0
44,44,39864,S 40TH ST,40211     ,9.0
45,45,39654,SCHUFF LN,40205     ,94.0
46,46,39646,SCHUFF LN,40205     ,94.0
47,47,39874,CUNNINGHAM CT,40211     ,12.0
48,48,39879,ST LOUIS AVE,40210     ,27.0
49,49,39881,CUNNINGHAM CT,40211     ,12.0
50,50,39882,CUNNINGHAM CT,40211     ,12.0
51,101,42327,NANZ AVE,40207     ,78.0
52,102,42335,ROANOKE AVE,40205     ,89.0
53,103,42337,EASTERN PKY,40204     ,83.0
54,104,4440,E BRECKINRIDGE ST,40204     ,64.0
55,105,42341,E BRECKINRIDGE ST,40204     ,64.0
56,106,42358,SHADY LN,40205     ,84.0
