inci_no,Alm_Date,Address,Inci_type,Content_Loss,Property_Loss,Total_Loss,Pre_Inci_Value,Saved,ObjectId
17-0000034,2017/01/01 05:00:00+00,1551 W ORMSBY Louisville KY 40210,"100 - Fire, other",100.0,0.0,100,67320,67220,1
17-0000088,2017/01/01 05:00:00+00,1442 W SOUTHERN HEIGHTS Louisville KY 40215,"441 - Heat from short circuit (wiring), defective/worn",100.0,,100,65000,64900,2
17-0000222,2017/01/02 05:00:00+00,3012 S 5th Louisville KY 40208,111 - Building fire,8000.0,56040.0,64040,56040,-8000,3
17-0000192,2017/01/02 05:00:00+00,3320 Bank Louisville KY 40212,131 - Passenger vehicle fire,,4500.0,4500,5000,500,4
17-0000222,2017/01/02 05:00:00+00,3012 S 5th Louisville KY 40208,111 - Building fire,0.0,61000.0,61000,61000,0,5
17-0000427,2017/01/04 05:00:00+00,749 CAMP EDWARDS Louisville KY 40203,111 - Building fire,300.0,1000.0,1300,59050,57750,6
17-0000455,2017/01/04 05:00:00+00,3620 MANSLICK Louisville KY 40215,111 - Building fire,5000.0,20000.0,25000,390000,365000,7
17-0000457,2017/01/05 05:00:00+00,3616 MANSLICK Louisville KY 40215,111 - Building fire,0.0,5000.0,5000,390000,385000,8
17-0000473,2017/01/05 05:00:00+00,2711 VIRGINIA Louisville KY 40211,131 - Passenger vehicle fire,200.0,2500.0,2700,2500,-200,9
17-0000567,2017/01/06 05:00:00+00,2726 ALFORD Louisville KY 40212,131 - Passenger vehicle fire,,3600.0,3600,3600,0,10
17-0000591,2017/01/06 05:00:00+00,125 STEVENSON Louisville KY 40206,"445 - Arcing, shorted electrical equipment",200.0,,200,50000,49800,11
17-0000641,2017/01/07 05:00:00+00,2910 CLEVELAND Louisville KY 40206,111 - Building fire,25000.0,80000.0,105000,123000,18000,12
17-0000726,2017/01/07 05:00:00+00,3207 MILDRED SHV KY 40216,111 - Building fire,1000.0,5000.0,6000,65000,59000,13
17-0000735,2017/01/08 05:00:00+00,1292 CHEROKEE Louisville KY 40204,111 - Building fire,0.0,200.0,200,500000,499800,14
17-0000870,2017/01/09 05:00:00+00,5503 S 3RD Louisville KY 40214,111 - Building fire,5000.0,10000.0,15000,80000,65000,15
17-0000900,2017/01/09 05:00:00+00,537 N 20TH Louisville KY 40203,111 - Building fire,500.0,5000.0,5500,31440,25940,16
17-0000899,2017/01/09 05:00:00+00,S 25TH Louisville KY 40211,131 - Passenger vehicle fire,,2000.0,2000,2000,0,17
17-0001076,2017/01/10 05:00:00+00,S 40TH Louisville KY 40212,"113 - Cooking fire, confined to container",500.0,2000.0,2500,80000,77500,18
17-0001081,2017/01/10 05:00:00+00,2731 GREENWOOD Louisville KY 40211,111 - Building fire,100.0,5000.0,5100,22070,16970,19
17-0001183,2017/01/11 05:00:00+00,945 S 5TH 219 Louisville KY 40203,"113 - Cooking fire, confined to container",,1000.0,1000,1500000,1499000,20
17-0001157,2017/01/11 05:00:00+00,724 DENMARK Louisville KY 40215,131 - Passenger vehicle fire,0.0,200.0,200,500,300,21
17-0001208,2017/01/11 05:00:00+00,1929 S 28TH Louisville KY 40210,"113 - Cooking fire, confined to container",400.0,,400,55000,54600,22
17-0001211,2017/01/11 05:00:00+00,1770 WILSON Louisville KY 40210,111 - Building fire,1000.0,3000.0,4000,30000,26000,23
17-0001228,2017/01/12 05:00:00+00,1214 CEDAR Louisville KY 40203,"113 - Cooking fire, confined to container",500.0,500.0,1000,5550,4550,24
17-0001357,2017/01/13 05:00:00+00,3809 WEWOKA Louisville KY 40212,"118 - Trash or rubbish fire, contained",500.0,,500,50000,49500,25
17-0001442,2017/01/14 05:00:00+00,1374 S 2ND Louisville KY 40208,111 - Building fire,10000.0,50000.0,60000,250000,190000,26
17-0001443,2017/01/14 05:00:00+00,1206 PLACE D'OR Louisville KY 40203,131 - Passenger vehicle fire,,2000.0,2000,2000,0,27
17-0001500,2017/01/14 05:00:00+00,4301 W MARKET Louisville KY 40212,111 - Building fire,10000.0,30000.0,40000,132310,92310,28
17-0001669,2017/01/16 05:00:00+00,804 RIVER CREST 804 Louisville KY 40206,"113 - Cooking fire, confined to container",1500.0,2500.0,4000,100000,96000,29
17-0001672,2017/01/16 05:00:00+00,222 S 24TH Louisville KY 40212,111 - Building fire,,2000.0,2000,2000,0,30
17-0001788,2017/01/17 05:00:00+00,124 E OAK 2 Louisville KY 40203,111 - Building fire,1000.0,1000.0,2000,100000,98000,31
17-0001880,2017/01/18 05:00:00+00,1103 S. Shelby City of Louisville KY 40204,111 - Building fire,,5000.0,5000,56350,51350,32
17-0001800,2017/01/18 05:00:00+00,625 S SHELBY Louisville KY 40202,"130 - Mobile property (vehicle) fire, other",100.0,3000.0,3100,3000,-100,33
