ObjectId,Permit_Number,Effective_Date,Expiration_Date,Permit_Type,Applicant,Street_Address,City,State,ZIP_Code,Permit_Subtype,Permit_Description,Permit_Type_Code,Subtype_Code,ID
1,24440,2010-07-01 00:00:00,2015-07-01 00:00:00,APCD Gasoline Dispense Permit,F W OWENS INC,331 BOXLEY AVE,LOUISVILLE,KY,40209,Gas Dispen Facility Stage I,F W OWENS CO INC,GAS,STG1,824
2,24441,2013-11-01 00:00:00,2018-11-01 00:00:00,APCD Gasoline Dispense Permit,BOB RAY CO INC,723 LYNDON LN,LYNDON,KY,40222,Gas Dispen Facility Stage I,"BOB RAY CO., INC.",GAS,STG1,825
3,24444,2016-01-01 00:00:00,2018-01-01 00:00:00,APCD Gasoline Dispense Permit,"KEYSTOPS, LLC",13702 LA GRANGE RD,LOUISVILLE,KY,40245,Gas Dispen Facility Stage II,SAV-A-STEP #36,GAS,STG2,826
4,24447,2010-05-02 00:00:00,2015-05-02 00:00:00,APCD Gasoline Dispense Permit,FIRST STOP FOOD MART 2,3700 MANSLICK RD,LOUISVILLE,KY,40215,Gas Dispen Facility Stage II,MANSLICK FOOD MART,GAS,STG2,827
5,24448,2014-03-30 00:00:00,2019-03-30 00:00:00,APCD Gasoline Dispense Permit,METRO PARKS,4301 E PAGES LN,LOUISVILLE,KY,40272,Gas Dispen Facility Stage I,METRO PARKS-BOBBY NICHOLS GOLF,GAS,STG1,828
6,24449,2012-01-04 00:00:00,2017-01-04 00:00:00,APCD Gasoline Dispense Permit,DONGAR #528,5600 NATIONAL TPKE,LOUISVILLE,KY,40214,Gas Dispen Facility Stage II,DONGAR #528,GAS,STG2,829
7,24450,2015-07-01 00:00:00,2020-07-01 00:00:00,APCD Gasoline Dispense Permit,GREENWELL LLC,2300 PEE WEE REESE RD,LOUISVILLE,KY,40205,Gas Dispen Facility Stage I,Seneca Golf Course,GAS,STG1,830
8,24451,2011-08-31 00:00:00,2016-08-31 00:00:00,APCD Gasoline Dispense Permit,BOLAND MALONEY LUMBER,4010 COLLINS LN,LOUISVILLE,KY,40245,Gas Dispen Facility Stage I,BOLAND-MALONEY LUMBER,GAS,STG1,831
9,24452,2014-09-15 00:00:00,2016-09-15 00:00:00,APCD Gasoline Dispense Permit,MARK   KADER,521 N 22ND ST,LOUISVILLE,KY,40203,Gas Dispen Facility Stage II,BOONE'S MARATHON,GAS,STG2,832
10,24452,2014-09-15 00:00:00,2016-09-15 00:00:00,APCD Gasoline Dispense Permit,SHAFIKA,521 N 22ND ST,LOUISVILLE,KY,40203,Gas Dispen Facility Stage II,BOONE'S MARATHON,GAS,STG2,833
11,24452,2014-09-15 00:00:00,2016-09-15 00:00:00,APCD Gasoline Dispense Permit,BOONE CHEVRON FOOD MART,521 N 22ND ST,LOUISVILLE,KY,40203,Gas Dispen Facility Stage II,BOONE'S MARATHON,GAS,STG2,834
12,24453,2015-08-31 00:00:00,2017-08-31 00:00:00,APCD Gasoline Dispense Permit,"NEWCOMB OIL COMPANY,LLC",3901 TAYLOR BLVD,LOUISVILLE,KY,40215,Gas Dispen Facility Stage II,FIVE STAR #5863,GAS,STG2,835
13,24454,2014-04-01 00:00:00,2019-04-01 00:00:00,APCD Gasoline Dispense Permit,SHAWNEE GOLF COURSE,460 NORTHWESTERN PKY,LOUISVILLE,KY,40212,Gas Dispen Facility Stage I,SHAWNEE GOLF PRO,GAS,STG1,836
14,24455,2015-11-16 00:00:00,2017-11-16 00:00:00,APCD Gasoline Dispense Permit,"NEWCOMB OIL COMPANY,LLC",4548 TAYLORSVILLE RD,JEFFERSONTOWN,KY,40220,Gas Dispen Facility Stage II,Five Points Food Mart,GAS,STG2,837
15,24455,2015-11-16 00:00:00,2017-11-16 00:00:00,APCD Gasoline Dispense Permit,Jay Brahmani 2 Inc.,4548 TAYLORSVILLE RD,JEFFERSONTOWN,KY,40220,Gas Dispen Facility Stage II,Five Points Food Mart,GAS,STG2,838
