ScoreRecent,GradeRecent,DateRecent,Score2,Grade2,Date2,Score3,Grade3,Date3,permit_number,facility_type,facility_type_description,subtype,subtype_description,premise_name,premise_address,premise_city,premise_state,premise_zip,opening_date,ObjectId
100,,2023/06/30 00:00:00,100,,2022/07/06 00:00:00,100,,2021/07/23 00:00:00,29956,610,RETAIL FOOD STORES,62,PRE-PACKAGED RETAIL,CVS #6211,3721 LEXINGTON RD,LOUISVILLE,KY,40207,1988/06/27 00:00:00,1
100,,2023/07/05 00:00:00,100,,2022/07/11 00:00:00,100,,2021/07/08 00:00:00,30425,610,RETAIL FOOD STORES,61,SUPERMARKET WITH PROCESSING,BIG LOTS #226,4121 SHELBYVILLE RD,LOUISVILLE,KY,40207,1988/06/28 00:00:00,2
100,A,2023/09/26 00:00:00,100,A,2023/03/09 00:00:00,100,A,2022/09/14 00:00:00,30972,605,FOOD SERVICE ESTABLISHMENT,31,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,KINDER CARE LEARNING CTR #420,730 ZORN AVE,LOUISVILLE,KY,40206,1988/07/13 00:00:00,3
100,A,2023/03/28 00:00:00,99,A,2022/08/09 00:00:00,99,A,2022/01/27 00:00:00,31145,605,FOOD SERVICE ESTABLISHMENT,31,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,ST. JOSEPH CHILD DEV. CTR,2823 FRANKFORT AVE,LOUISVILLE,KY,40206,1988/07/13 00:00:00,4
100,A,2023/10/12 00:00:00,100,A,2023/04/10 00:00:00,100,A,2022/10/03 00:00:00,31336,605,FOOD SERVICE ESTABLISHMENT,32,FOOD SERVICE (HOSPITAL / NURSING HOME,MASONIC HOMES MAIN KITCHEN,240 MASONIC HOME DR,MASONIC HOME,KY,40041,1988/07/14 00:00:00,5
100,A,2023/05/15 00:00:00,98,A,2022/09/28 00:00:00,96,A,2022/01/20 00:00:00,31372,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,TRINITY HIGH SCHOOL,4011 SHELBYVILLE RD,LOUISVILLE,KY,40207,2009/10/20 00:00:00,6
100,A,2023/05/08 00:00:00,100,A,2022/11/10 00:00:00,100,A,2022/01/26 00:00:00,31512,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,EMMET FIELD SCHOOL,120 SACRED HEART LN,LOUISVILLE,KY,40206,2009/10/20 00:00:00,7
100,A,2023/05/08 00:00:00,100,A,2022/11/09 00:00:00,100,A,2022/04/18 00:00:00,31802,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,WALDEN SCHOOL,4238 WESTPORT RD,LOUISVILLE,KY,40207,2009/10/20 00:00:00,8
100,A,2023/05/11 00:00:00,98,A,2022/09/29 00:00:00,100,A,2022/01/26 00:00:00,31819,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,SACRED HEART MODEL SCHOOL,3107 LEXINGTON RD,LOUISVILLE,KY,40206,2009/10/20 00:00:00,9
100,A,2023/10/20 00:00:00,99,A,2023/05/11 00:00:00,96,A,2022/10/05 00:00:00,31820,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,SACRED HEART ACADEMY,3175 LEXINGTON RD,LOUISVILLE,KY,40206,2009/10/20 00:00:00,10
