Facilty_Number,Facility_Name,Address,Zip,Area_Number,Program_Code,Establishment_Type,Status,Score_Recent,DateRecent,Score2,Date2,Score3,Date3,ObjectId
28955,ARMORED ACRES,15811 DIXIE HWY,40177,21,625,MOBILE HOME / REC. VEHICLE PARK,ACTIVE,84,2022/10/20 00:00:00,84,2021/10/19 00:00:00,86,2020/10/12 00:00:00,1
28966,CEDAR HEIGHTS MOBILE HOME PARK,9500 BARN RD,40291,25,625,MOBILE HOME / REC. VEHICLE PARK,ACTIVE,76,2022/10/14 00:00:00,86,2021/11/08 00:00:00,82,2020/10/14 00:00:00,2
35302,MEDORA ELEMENTARY SCHOOL,11801 DEERING RD,40272,23,635,SCHOOLS,ACTIVE,100,2023/03/22 00:00:00,100,2022/11/18 00:00:00,100,2022/03/08 00:00:00,3
28967,CLARK MOBILE HOME PARK,5209 CANE RUN RD,40216,27,625,MOBILE HOME / REC. VEHICLE PARK,ACTIVE,80,2022/11/14 00:00:00,88,2021/10/21 00:00:00,88,2020/11/03 00:00:00,4
28972,BARRINGTON POINTE,1321 GLENGARRY DR,40118,23,625,MOBILE HOME / REC. VEHICLE PARK,ACTIVE,74,2022/10/21 00:00:00,82,2021/10/18 00:00:00,86,2020/11/05 00:00:00,5
35304,A.E. MEYZEEK SCHOOL,828 S. JACKSON ST,40203,26,635,SCHOOLS,ACTIVE,92,2023/02/24 00:00:00,94,2022/09/21 00:00:00,100,2022/02/16 00:00:00,6
92260,WESTERN MOBILE HOME PARK,2634 1/2 ROCKFORD LANE,40216,24,625,MOBILE HOME / REC. VEHICLE PARK,ACTIVE,90,2022/09/29 00:00:00,90,2021/09/24 00:00:00,88,2020/09/15 00:00:00,7
35305,MIDDLETOWN ELEMENTARY SCHOOL,218 MADISON AVE,40243,25,635,SCHOOLS,ACTIVE,100,2023/03/13 00:00:00,100,2022/09/21 00:00:00,100,2022/02/02 00:00:00,8
28975,LAZY ACRES MOBILE HOME PARK,5601 CANE RUN RD,40258,22,625,MOBILE HOME / REC. VEHICLE PARK,ACTIVE,80,2022/10/27 00:00:00,88,2021/11/05 00:00:00,82,2020/10/15 00:00:00,9
92413,HOME TOWNE STUDIOS,4540 TAYLORSVILLE RD,40220,29,620,HOTEL / MOTEL,ACTIVE,68,2023/01/24 00:00:00,46,2022/01/13 00:00:00,86,2019/04/04 00:00:00,10
102185,WILD STRAWBERRY HAIR & NAIL STUDIO,104 BAUER AVE,40207,26,634,TATTOO STUDIO,ACTIVE,100,2023/04/12 00:00:00,98,2022/10/06 00:00:00,93,2022/02/15 00:00:00,11
35307,MILLCREEK ELEMENTARY SCHOOL,3816 DIXIE HWY,40216,23,635,SCHOOLS,ACTIVE,98,2023/02/17 00:00:00,100,2022/11/09 00:00:00,98,2022/02/18 00:00:00,12
28987,WOODLAND ESTATES MHP,8201 MINORS LANE,40219,22,625,MOBILE HOME / REC. VEHICLE PARK,ACTIVE,88,2022/10/24 00:00:00,88,2021/11/08 00:00:00,80,2020/10/16 00:00:00,13
92521,SEAN SMALLWOOD PRESENTS IMPERIAL TATTOOS AND PIERC,972 BARRET AVE,40204,28,634,TATTOO STUDIO,ACTIVE,93,2022/12/29 00:00:00,96,2022/04/11 00:00:00,98,2021/10/21 00:00:00,14
102760,HIGHLAND TATTOO COMPANY,2240 TAYLORSVILLE RD SUITE 102,40205,27,634,TATTOO STUDIO,ACTIVE,94,2023/02/15 00:00:00,97,2021/09/30 00:00:00,97,2019/12/12 00:00:00,15
35308,MINORS LANE ELEMENTARY SCHOOL,8510 MINORS LN,40219,27,635,SCHOOLS,ACTIVE,100,2023/03/20 00:00:00,95,2022/10/07 00:00:00,100,2022/03/15 00:00:00,16
28993,ASHLEY POINTE MHP,1115 PENILE RD,40272,24,625,MOBILE HOME / REC. VEHICLE PARK,ACTIVE,80,2022/11/15 00:00:00,86,2021/11/11 00:00:00,88,2020/11/02 00:00:00,17
92782,BAYMONT INN & SUITES LOUISVILLE SOUTH,6515 SIGNATURE DR,40213,27,620,HOTEL / MOTEL,ACTIVE,82,2022/11/07 00:00:00,82,2021/12/22 00:00:00,92,2020/11/11 00:00:00,18
102840,TATTOO ENVY,9815 3RD STREET RD,40272,23,634,TATTOO STUDIO,ACTIVE,100,2023/02/15 00:00:00,100,2022/09/26 00:00:00,97,2021/12/23 00:00:00,19
35309,M.C. MOORE HIGH SCHOOL,6415 OUTER LOOP,40228,27,635,SCHOOLS,ACTIVE,96,2023/04/21 00:00:00,100,2022/09/22 00:00:00,100,2022/04/20 00:00:00,20
103009,HYATT REGENCY,311 S 4TH ST,40202,24,620,HOTEL / MOTEL,ACTIVE,94,2022/12/08 00:00:00,100,2021/04/19 00:00:00,96,2019/12/30 00:00:00,21
93372,STAY GOLD STUDIO,4116 FLINTLOCK DR,40216,23,634,TATTOO STUDIO,ACTIVE,93,2023/01/05 00:00:00,87,2021/04/09 00:00:00,91,2019/12/16 00:00:00,22
79486,SPRINGHILL SUITES - LOUISVILLE AIRPORT,820 PHILLIPS LN,40209,28,620,HOTEL / MOTEL,ACTIVE,98,2022/12/16 00:00:00,98,2021/12/07 00:00:00,98,2019/12/11 00:00:00,23
29029,LITTLE BIFF'S MOTEL,13305 DIXIE HWY,40272,23,620,HOTEL / MOTEL,ACTIVE,83,2022/10/19 00:00:00,83,2021/03/17 00:00:00,66,2019/12/19 00:00:00,24
35312,NEWCOMER ACADEMY,3741 PULLIAM DR,40218,22,635,SCHOOLS,ACTIVE,100,2023/04/17 00:00:00,100,2022/09/26 00:00:00,100,2022/04/15 00:00:00,25
103428,PIONEER MHP,4136 CANE RUN RD,40216,29,625,MOBILE HOME / REC. VEHICLE PARK,ACTIVE,90,2022/11/02 00:00:00,88,2021/11/19 00:00:00,86,2019/11/06 00:00:00,26
93838,GEORGE UNSELD EARLY CHILDHOOD LEARNING,5216 ILEX AVENUE,40213,27,635,SCHOOLS,ACTIVE,100,2023/02/17 00:00:00,100,2022/10/19 00:00:00,100,2022/03/01 00:00:00,27
35452,ST. MARGARET MARY SCHOOL,7813 SHELBYVILLE RD,40222,25,635,SCHOOLS,ACTIVE,82,2023/05/17 00:00:00,100,2022/12/13 00:00:00,100,2022/03/11 00:00:00,28
35314,NEWBURG MIDDLE SCHOOL,4901 EXETER AVENUE,40218,27,635,SCHOOLS,ACTIVE,98,2023/04/17 00:00:00,98,2022/09/28 00:00:00,100,2022/02/17 00:00:00,29
29030,LOUISVILLE MANOR MOTEL,4600 DIXIE HWY,40216,23,620,HOTEL / MOTEL,ACTIVE,88,2023/04/05 00:00:00,90,2022/04/04 00:00:00,79,2021/03/16 00:00:00,30
79548,ECONOLODGE,9340 BLAIRWOOD RD,40222,29,620,HOTEL / MOTEL,ACTIVE,71,2023/03/14 00:00:00,50,2021/12/27 00:00:00,86,2019/12/19 00:00:00,31
103430,WINGATE BY WYNDHAM,12301 ALLIANT COURT,40299,22,620,HOTEL / MOTEL,ACTIVE,96,2023/04/07 00:00:00,88,2022/03/10 00:00:00,88,2021/03/02 00:00:00,32
