ObjectId,Street_,Dir,Post_Dir,Street,Type_,Loc,Zip,Council,Neighborhood,Referred,Down___Clear
1,943,S,,7th,St,Entire,,,,,2002/08/27 03:59:59+00
2,2109,W,,Muhammad Ali,Blvd,Entire,,,,,2003/12/31 05:00:00+00
3,722,S,,15th,St,Entire,,,,,2004/01/07 05:00:00+00
4,742,S,,15th,St,Entire,,,,,2004/01/07 05:00:00+00
5,732,S,,16th,St,Entire,,,,,2004/01/27 05:00:00+00
6,5315,,,Red Oak,Ln,Entire,,,,,2004/02/03 05:00:00+00
7,1305,s,,16th,St,Entire,,,,,2004/02/20 05:00:00+00
8,340,E,,Ormsby,Ave,Entire,,,,,2004/02/24 05:00:00+00
9,1311,S,,16th,St,Entire,,,,,2004/02/27 05:00:00+00
10,119,N,,17th,St,Entire,,,,,2004/03/03 05:00:00+00
11,534,N,,17th,St,Entire,,,,,2004/03/11 05:00:00+00
12,538,N ,,17th,St,Entire,,,,,2004/03/19 05:00:00+00
13,405,S,,18th,St,Entire,,,,,2004/03/29 05:00:00+00
14,516,N ,,18th,St,Entire,,,,,2004/04/16 03:59:59+00
15,5300,,,Preston,Hwy,Entire,,,,,2004/04/16 03:59:59+00
16,520,S,,18th,St,Entire,,,,,2004/04/19 03:59:59+00
17,535,S,,18th,St,Entire,,,,,2004/05/03 03:59:59+00
18,114,N ,,19th,St,Entire,,,,,2004/05/06 03:59:59+00
19,119,N,,19th,St,Entire,,,,,2004/05/07 03:59:59+00
20,1246,S,,1st,St,Entire,,,,,2004/05/11 03:59:59+00
21,2103,W,,Market,St,Entire,,,,,2004/05/13 03:59:59+00
22,4507,,,River Front,Dr,Entire,,,,,2004/05/17 03:59:59+00
23,130,N,,20th,St,Entire,,,,,2004/05/19 03:59:59+00
24,311,S,,20th,St,Entire,,,,,2004/05/19 03:59:59+00
25,531,N ,,20th,St,Entire,,,,,2004/05/21 03:59:59+00
26,4606,E,,Overbrook,Dr,Entire,,,,,2004/05/21 03:59:59+00
27,535,N,,20th,St,Entire,,,,,2004/05/24 03:59:59+00
28,619,S,,20th,St,Entire,,,,,2004/05/28 03:59:59+00
29,4148,W,,Market,St,Entire,,,,,2004/06/07 03:59:59+00
30,410,N,,20th ,St,Rear,,,,,2004/06/11 03:59:59+00
31,610,S,,20th ,St,Entire,,,,,2004/06/22 03:59:59+00
32,310,N ,,21st,St,Entire,,,,,2004/06/22 03:59:59+00
33,3901,W,,Muhammad Ali,Bvd,Entire,,,,,2004/06/22 03:59:59+00
34,312,N,,21st,St,Entire,,,,,2004/06/23 03:59:59+00
35,315,N,,21st,St,Entire,,,,,2004/07/07 03:59:59+00
36,329,N,,21st,St,Entire,,,,,2004/07/08 03:59:59+00
37,223,N,,21st ,St,Entire,,,,,2004/07/21 03:59:59+00
38,326,N,,22nd,St,Entire,,,,,2004/07/27 03:59:59+00
39,522,N,,22nd,St,Entire,,,,,2004/07/28 03:59:59+00
40,528,N,,22nd,St,Entire,,,,,2004/07/28 03:59:59+00
41,2606,W,,Muhammad Ali,Blvd,Entire,,,,,2004/07/28 03:59:59+00
42,1332,S,,22nd,St,Entire,,,,,2004/08/02 03:59:59+00
43,1334,S,,22nd,St,Entire,,,,,2004/08/09 03:59:59+00
44,208,N,,22nd ,St,Entire,,,,,2004/08/12 03:59:59+00
45,2208,W,,Ormsby,Ave,Entire,,,,,2004/08/12 03:59:59+00
46,618,N,,23rd,St,Entire,,,,,2004/08/13 03:59:59+00
47,731,S,,23rd,St,Entire,,,,,2004/08/16 03:59:59+00
48,843,S,,23rd,St,Entire,,,,,2004/08/16 03:59:59+00
49,860,S,,23rd,St,Entire,,,,,2004/08/25 03:59:59+00
50,436,,,Marret,Ave,Entire,,,,,2004/08/25 03:59:59+00
51,6219,,,Cooper Chapel,Rd,Entire,,,,,2007/01/30 05:00:00+00
52,3958,,,Craig,Ave,Entire,,,,,2007/01/30 05:00:00+00
53,663,,,Curry,Ct,Entire,,,,,2007/01/30 05:00:00+00
54,1817,,,Date,St,Entire,,,,,2007/02/02 05:00:00+00
55,1920,,,Owen,St,Entire,,,,,2007/02/02 05:00:00+00
56,926,,,Dixie,hwy,Entire,,,,,2007/02/07 05:00:00+00
57,938,,,Dixie,Hwy,Entire,,,,,2007/02/07 05:00:00+00
58,1104,,,Dixie,Hwy,Entire,,,,,2007/02/08 05:00:00+00
59,1128,,,Dixie,Hwy,Entire,,,,,2007/02/13 05:00:00+00
60,1147,,,Dixie,Hwy,Entire,,,,,2007/02/13 05:00:00+00
61,1237,,,Dixie,Hwy,Garage,,,,,2007/02/13 05:00:00+00
62,2431,,,Montgomery,St,Entire,,,,,2007/02/23 05:00:00+00
63,1301,,,Dixie,Hwy,Entire,,,,,2007/02/28 05:00:00+00
64,840,S,,Preston,St,Entire,,,,,2007/03/02 05:00:00+00
