AOC_CODE,RANK_TITLE,OFFICER_SEX,OFFICER_RACE,OFFICER_AGE_RANGE,OFFICER_AGE,OFFICER_DIVISION,OFFICER_ASSIGNMENT,OFFICER_YEARS_SWORN,OBJECTID
2016,POLICE SERGEANT                    ,M,A ,40 - 49,49,TECHNICAL SERVICES                                     ,TECHNICAL SERVICES                                     ,24.0,0
6903,POLICE LIEUTENANT                  ,M,W ,50 - 59,59,TECHNICAL SERVICES                                     ,STAFF                                                  ,31.0,1
2608,POLICE OFFICER                     ,F,W ,40 - 49,49,CIS HOMICIDE                                           ,MISSING PERSONS                                        ,22.0,2
2390,POLICE OFFICER                     ,M,W ,50 - 59,54,2ND DIVISION                                           ,2ND PLATOON                                            ,24.0,3
2242,POLICE OFFICER                     ,M,W ,50 - 59,57,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,,4
6029,POLICE SERGEANT                    ,M,W ,50 - 59,51,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,27.0,5
2344,POLICE MAJOR                       ,M,W ,50 - 59,52,SPECIAL INVESTIGATIONS DIVISION                        ,STAFF                                                  ,24.0,6
2350,POLICE LIEUTENANT                  ,M,W ,40 - 49,47,8TH DIVISION                                           ,STAFF                                                  ,24.0,7
2104,POLICE OFFICER                     ,F,W ,50 - 59,58,CIS ROBBERY                                            ,FINANCIAL CRIMES                                       ,26.0,8
2992,POLICE SERGEANT                    ,M,W ,OVER 60,60,6TH DIVISION                                           ,2ND PLATOON                                            ,27.0,9
2729,POLICE LIEUTENANT                  ,M,W ,50 - 59,57,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,33.0,10
2916,ASST POLICE CHIEF-LT COLONEL       ,F,W ,50 - 59,51,PATROL BUREAU                                          ,STAFF                                                  ,28.0,11
6254,POLICE OFFICER                     ,M,W ,OVER 60,62,NARCOTICS                                              ,INVESTIGATIVE SUPPORT                                  ,33.0,12
6561,POLICE OFFICER                     ,M,W ,50 - 59,53,TRAFFIC                                                ,2ND PLATOON                                            ,31.0,13
6711,POLICE SERGEANT                    ,F,W ,50 - 59,53,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,24.0,14
6144,POLICE LIEUTENANT                  ,M,W ,50 - 59,59,NARCOTICS                                              ,STAFF                                                  ,34.0,15
6165,POLICE MAJOR                       ,M,B ,OVER 60,62,8TH DIVISION                                           ,STAFF                                                  ,40.0,16
6084,POLICE SERGEANT                    ,M,W ,50 - 59,52,CIS HOMICIDE                                           ,2ND PLATOON                                            ,31.0,17
2000,POLICE OFFICER                     ,M,W ,50 - 59,54,TRAFFIC                                                ,1ST PLATOON                                            ,22.0,18
2001,POLICE OFFICER                     ,F,W ,40 - 49,42,7TH DIVISION                                           ,3RD PLATOON                                            ,18.0,19
2004,POLICE SERGEANT                    ,M,W ,40 - 49,45,CIS HOMICIDE                                           ,1ST PLATOON                                            ,23.0,20
2005,POLICE OFFICER                     ,F,W ,30 - 39,39,CIS SPECIAL VICTIMS                                    ,SEX CRIMES                                             ,18.0,21
2006,POLICE SERGEANT                    ,M,W ,50 - 59,50,1ST DIVISION                                           ,BIKE PLATOON                                           ,25.0,22
2010,POLICE OFFICER                     ,F,W ,OVER 60,64,2ND DIVISION                                           ,2ND PLATOON                                            ,24.0,23
2013,POLICE OFFICER                     ,F,W ,50 - 59,51,8TH DIVISION                                           ,1ST PLATOON                                            ,25.0,24
2014,POLICE MAJOR                       ,F,B ,40 - 49,48,4TH DIVISION                                           ,STAFF                                                  ,24.0,25
2017,POLICE OFFICER                     ,M,W ,50 - 59,55,7TH DIVISION                                           ,RESOURCE OFFICERS                                      ,20.0,26
2018,POLICE OFFICER                     ,M,W ,50 - 59,51,7TH DIVISION                                           ,3RD PLATOON                                            ,21.0,27
2019,POLICE SERGEANT                    ,M,W ,40 - 49,48,NARCOTICS                                              ,SCRIPT TEAM                                            ,25.0,28
2024,POLICE SERGEANT                    ,M,W ,40 - 49,42,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,19.0,29
2025,POLICE OFFICER                     ,M,W ,50 - 59,53,7TH DIVISION                                           ,RESOURCE OFFICERS                                      ,23.0,30
2026,POLICE OFFICER                     ,M,B ,50 - 59,51,5TH DIVISION                                           ,2ND PLATOON                                            ,23.0,31
2028,POLICE OFFICER                     ,M,W ,50 - 59,50,CIS ROBBERY                                            ,FINANCIAL CRIMES                                       ,23.0,32
2029,POLICE LIEUTENANT                  ,M,B ,50 - 59,55,8TH DIVISION                                           ,STAFF                                                  ,25.0,33
2030,POLICE OFFICER                     ,M,W ,50 - 59,53,8TH DIVISION                                           ,1ST PLATOON                                            ,21.0,34
2137,POLICE LIEUTENANT                  ,M,W ,OVER 60,64,MOUNTED PATROL                                         ,STAFF                                                  ,20.0,35
6600,POLICE SERGEANT                    ,M,W ,40 - 49,49,SUPPORT UNIT                                           ,SCRIPT TEAM                                            ,23.0,36
2032,POLICE OFFICER                     ,M,W ,50 - 59,54,1ST DIVISION                                           ,1ST PLATOON                                            ,24.0,37
2033,POLICE OFFICER                     ,M,W ,50 - 59,53,5TH DIVISION                                           ,2ND PLATOON                                            ,24.0,38
2034,POLICE OFFICER                     ,M,W ,50 - 59,55,5TH DIVISION                                           ,2ND PLATOON                                            ,23.0,39
2037,POLICE LIEUTENANT                  ,M,W ,40 - 49,49,8TH DIVISION                                           ,STAFF                                                  ,23.0,40
2038,POLICE OFFICER                     ,M,W ,50 - 59,50,1ST DIVISION                                           ,BIKE PLATOON                                           ,23.0,41
2039,POLICE OFFICER                     ,F,B ,50 - 59,51,8TH DIVISION                                           ,1ST PLATOON                                            ,23.0,42
2040,POLICE MAJOR                       ,M,W ,50 - 59,50,NARCOTICS                                              ,STAFF                                                  ,25.0,43
2041,POLICE LIEUTENANT                  ,M,W ,40 - 49,47,TECHNICAL SERVICES                                     ,TECHNICAL SERVICES                                     ,20.0,44
2042,POLICE OFFICER                     ,M,W ,OVER 60,61,4TH DIVISION                                           ,1ST PLATOON                                            ,24.0,45
2043,POLICE OFFICER                     ,M,B ,50 - 59,57,1ST DIVISION                                           ,BIKE PLATOON                                           ,19.0,46
2044,POLICE SERGEANT                    ,M,B ,40 - 49,46,8TH DIVISION                                           ,2ND PLATOON                                            ,24.0,47
2045,POLICE MAJOR                       ,M,W ,50 - 59,52,9TH DIVISION                                           ,STAFF                                                  ,25.0,48
2046,POLICE OFFICER                     ,M,W ,50 - 59,54,5TH DIVISION                                           ,2ND PLATOON                                            ,25.0,49
2047,POLICE LIEUTENANT                  ,M,W ,40 - 49,48,7TH DIVISION                                           ,STAFF                                                  ,23.0,50
2048,POLICE OFFICER                     ,M,W ,50 - 59,51,8TH DIVISION                                           ,2ND PLATOON                                            ,24.0,51
2049,POLICE OFFICER                     ,M,W ,50 - 59,51,CIS FORENSIC INVESTIGATIONS                            ,POLYGRAPH SQUAD                                        ,23.0,52
2051,POLICE OFFICER                     ,M,W ,50 - 59,58,HOMELAND SECURITY UNIT                                 ,STAFF                                                  ,23.0,53
2053,POLICE OFFICER                     ,M,W ,40 - 49,45,8TH DIVISION                                           ,2ND PLATOON                                            ,22.0,54
2054,POLICE LIEUTENANT                  ,M,W ,50 - 59,50,1ST DIVISION                                           ,STAFF                                                  ,23.0,55
2055,POLICE OFFICER                     ,M,W ,50 - 59,55,9TH DIVISION                                           ,SQUAD 1                                                ,21.0,56
2056,POLICE SERGEANT                    ,M,W ,50 - 59,50,INSPECTIONS AND COMPLIANCE UNIT                        ,STAFF                                                  ,25.0,57
2058,POLICE SERGEANT                    ,M,W ,40 - 49,47,NARCOTICS                                              ,INVESTIGATIVE SUPPORT                                  ,23.0,58
2061,POLICE OFFICER                     ,M,W ,40 - 49,44,COURT LIAISON OFFICE                                   ,STAFF                                                  ,18.0,59
2062,POLICE OFFICER                     ,M,B ,40 - 49,45,7TH DIVISION                                           ,1ST PLATOON                                            ,23.0,60
2063,POLICE OFFICER                     ,M,W ,40 - 49,48,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,21.0,61
2064,POLICE OFFICER                     ,M,B ,50 - 59,53,CIS HOMICIDE                                           ,SQUAD 2                                                ,20.0,62
2066,POLICE OFFICER                     ,F,W ,50 - 59,55,CIS SPECIAL VICTIMS                                    ,DOMESTIC VIOLENCE UNIT                                 ,23.0,63
2067,POLICE OFFICER                     ,M,B ,50 - 59,58,NARCOTICS                                              ,SQUAD 2                                                ,25.0,64
2069,POLICE OFFICER                     ,M,W ,50 - 59,56,5TH DIVISION                                           ,DETECTIVES                                             ,23.0,65
2071,POLICE OFFICER                     ,M,U ,50 - 59,52,CIS ROBBERY                                            ,FINANCIAL CRIMES                                       ,22.0,66
2072,POLICE OFFICER                     ,M,W ,40 - 49,46,RIVER PATROL                                           ,STAFF                                                  ,19.0,67
2074,POLICE SERGEANT                    ,M,W ,40 - 49,46,TECHNICAL SERVICES                                     ,TECHNICAL SERVICES                                     ,18.0,68
2076,POLICE OFFICER                     ,M,W ,40 - 49,49,2ND DIVISION                                           ,DETECTIVES                                             ,25.0,69
2077,POLICE MAJOR                       ,M,W ,OVER 60,70,2ND DIVISION                                           ,STAFF                                                  ,44.0,70
2079,POLICE OFFICER                     ,M,W ,50 - 59,51,5TH DIVISION                                           ,2ND PLATOON                                            ,25.0,71
2081,POLICE SERGEANT                    ,M,W ,40 - 49,47,6TH DIVISION                                           ,2ND PLATOON                                            ,23.0,72
2082,POLICE LIEUTENANT                  ,F,W ,40 - 49,42,CIS ROBBERY                                            ,STAFF                                                  ,19.0,73
2083,POLICE SERGEANT                    ,M,W ,40 - 49,45,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,23.0,74
2084,POLICE OFFICER                     ,F,W ,40 - 49,44,ADMINISTRATIVE SERVICES DIVISION                       ,RECRUITING AND SELECTION                               ,18.0,75
2085,POLICE OFFICER                     ,F,W ,40 - 49,48,CANINE UNIT                                            ,2ND PLATOON                                            ,24.0,76
2086,POLICE OFFICER                     ,M,W ,50 - 59,50,8TH DIVISION                                           ,1ST PLATOON                                            ,18.0,77
2087,POLICE OFFICER                     ,M,W ,50 - 59,50,TRAFFIC                                                ,3RD PLATOON                                            ,26.0,78
2088,POLICE LIEUTENANT                  ,M,W ,40 - 49,47,CRIMINAL INTERDICTION                                  ,STAFF                                                  ,21.0,79
2089,POLICE SERGEANT                    ,M,W ,40 - 49,48,7TH DIVISION                                           ,1ST PLATOON                                            ,18.0,80
2091,POLICE MAJOR                       ,M,H ,50 - 59,50,6TH DIVISION                                           ,STAFF                                                  ,20.0,81
2092,POLICE OFFICER                     ,M,W ,50 - 59,51,TRAINING                                               ,SPECIAL PROJECTS UNIT                                  ,23.0,82
2093,POLICE OFFICER                     ,M,B ,50 - 59,53,6TH DIVISION                                           ,1ST PLATOON                                            ,25.0,83
2094,POLICE OFFICER                     ,M,B ,40 - 49,48,NARCOTICS                                              ,SCRIPT TEAM                                            ,23.0,84
2095,POLICE OFFICER                     ,M,W ,40 - 49,43,5TH DIVISION                                           ,RESOURCE OFFICERS                                      ,18.0,85
2096,POLICE OFFICER                     ,M,B ,50 - 59,56,4TH DIVISION                                           ,STAFF                                                  ,21.0,86
2097,POLICE SERGEANT                    ,M,W ,40 - 49,48,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,18.0,87
2098,POLICE OFFICER                     ,M,W ,40 - 49,49,3RD DIVISION                                           ,1ST PLATOON                                            ,18.0,88
2099,POLICE CHIEF                       ,M,W ,OVER 60,66,CHIEF`S STAFF                                          ,STAFF                                                  ,43.0,89
2100,POLICE OFFICER                     ,M,W ,40 - 49,42,5TH DIVISION                                           ,1ST PLATOON                                            ,20.0,90
2102,POLICE OFFICER                     ,M,W ,50 - 59,59,TRAINING                                               ,IN-SERVICE TRAINING UNIT                               ,25.0,91
2103,POLICE SERGEANT                    ,M,H ,40 - 49,43,ADMINISTRATIVE SERVICES DIVISION                       ,RECRUITING AND SELECTION                               ,18.0,92
2106,POLICE OFFICER                     ,M,W ,40 - 49,49,HOMELAND SECURITY UNIT                                 ,STAFF                                                  ,25.0,93
2109,POLICE OFFICER                     ,M,W ,40 - 49,41,8TH DIVISION                                           ,1ST PLATOON                                            ,19.0,94
2110,POLICE OFFICER                     ,M,B ,50 - 59,51,PUBLIC INFORMATION OFFICE                              ,COMMUNITY ENGAGEMENT UNIT                              ,18.0,95
2111,POLICE LIEUTENANT                  ,M,W ,40 - 49,44,8TH DIVISION                                           ,STAFF                                                  ,21.0,96
2112,POLICE LIEUTENANT                  ,M,W ,40 - 49,48,5TH DIVISION                                           ,STAFF                                                  ,21.0,97
2113,POLICE OFFICER                     ,F,W ,40 - 49,49,4TH DIVISION                                           ,DETECTIVES                                             ,25.0,98
2116,POLICE SERGEANT                    ,M,W ,40 - 49,43,CANINE UNIT                                            ,STAFF                                                  ,18.0,99
2117,POLICE OFFICER                     ,F,W ,50 - 59,52,5TH DIVISION                                           ,1ST PLATOON                                            ,25.0,100
2118,POLICE OFFICER                     ,M,W ,50 - 59,55,CIS HOMICIDE                                           ,MISSING PERSONS                                        ,18.0,101
2121,POLICE SERGEANT                    ,M,W ,50 - 59,55,CIS FORENSIC INVESTIGATIONS                            ,STAFF                                                  ,25.0,102
2122,POLICE OFFICER                     ,M,W ,40 - 49,42,3RD DIVISION                                           ,DETECTIVES                                             ,18.0,103
2125,POLICE SERGEANT                    ,M,W ,50 - 59,50,SWAT UNIT                                              ,STAFF                                                  ,25.0,104
2127,POLICE OFFICER                     ,M,W ,OVER 60,71,5TH DIVISION                                           ,1ST PLATOON                                            ,25.0,105
2128,POLICE SERGEANT                    ,M,W ,50 - 59,53,1ST DIVISION                                           ,1ST PLATOON                                            ,18.0,106
2129,POLICE LIEUTENANT                  ,M,W ,40 - 49,44,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,18.0,107
2131,POLICE LIEUTENANT                  ,M,W ,OVER 60,65,5TH DIVISION                                           ,STAFF                                                  ,42.0,108
2134,POLICE SERGEANT                    ,M,W ,50 - 59,52,9TH DIVISION                                           ,STAFF                                                  ,25.0,109
2139,POLICE SERGEANT                    ,F,W ,40 - 49,43,CIS HOMICIDE                                           ,SQUAD 4                                                ,18.0,110
2140,POLICE OFFICER                     ,M,W ,50 - 59,50,9TH DIVISION                                           ,FUGITIVE APPREHENSION SQUAD                            ,24.0,111
2142,POLICE OFFICER                     ,M,B ,OVER 60,62,TRAFFIC                                                ,2ND PLATOON                                            ,21.0,112
2143,POLICE OFFICER                     ,M,W ,40 - 49,44,TRAINING                                               ,BASIC ACADEMY                                          ,18.0,113
2148,POLICE OFFICER                     ,M,B ,OVER 60,73,2ND DIVISION                                           ,2ND PLATOON                                            ,38.0,114
2151,POLICE OFFICER                     ,F,W ,40 - 49,48,6TH DIVISION                                           ,RESOURCE OFFICERS                                      ,24.0,115
2162,POLICE OFFICER                     ,M,B ,OVER 60,67,1ST DIVISION                                           ,STAFF                                                  ,35.0,116
2163,POLICE OFFICER                     ,F,W ,40 - 49,40,CIS HOMICIDE                                           ,MISSING PERSONS                                        ,19.0,117
2165,POLICE OFFICER                     ,M,W ,50 - 59,58,WELLNESS UNIT                                          ,STAFF                                                  ,14.0,118
2167,POLICE OFFICER                     ,M,W ,OVER 60,67,2ND DIVISION                                           ,HALO/DRO                                               ,14.0,119
2170,POLICE SERGEANT                    ,M,W ,40 - 49,45,CIS ROBBERY                                            ,FINANCIAL CRIMES                                       ,18.0,120
2174,POLICE LIEUTENANT                  ,M,W ,OVER 60,68,PATROL BUREAU                                          ,STAFF                                                  ,36.0,121
2178,POLICE OFFICER                     ,M,W ,OVER 60,63,6TH DIVISION                                           ,2ND PLATOON                                            ,36.0,122
2184,POLICE OFFICER                     ,M,W ,OVER 60,62,8TH DIVISION                                           ,2ND PLATOON                                            ,35.0,123
2186,POLICE SERGEANT                    ,M,B ,50 - 59,52,2ND DIVISION                                           ,2ND PLATOON                                            ,25.0,124
2187,POLICE LIEUTENANT                  ,M,W ,OVER 60,60,5TH DIVISION                                           ,STAFF                                                  ,35.0,125
2108,POLICE OFFICER                     ,M,W ,OVER 60,71,TRAFFIC                                                ,4TH PLATOON                                            ,42.0,126
2090,POLICE OFFICER                     ,M,W ,40 - 49,42,MAJOR CASE UNIT                                        ,FEDERAL TASK FORCES                                    ,18.0,127
2050,POLICE SERGEANT                    ,M,W ,50 - 59,53,TRAINING                                               ,BASIC ACADEMY                                          ,24.0,128
2021,POLICE OFFICER                     ,F,H ,40 - 49,44,ADMINISTRATIVE SERVICES DIVISION                       ,RECRUITING AND SELECTION                               ,18.0,129
2020,POLICE OFFICER                     ,M,W ,50 - 59,59,CIS HOMICIDE                                           ,SQUAD 2                                                ,24.0,130
2811,POLICE SERGEANT                    ,M,W ,OVER 60,60,5TH DIVISION                                           ,FLEX PLATOON                                           ,31.0,131
6048,POLICE OFFICER                     ,F,W ,50 - 59,51,8TH DIVISION                                           ,1ST PLATOON                                            ,27.0,132
2189,POLICE MAJOR                       ,M,W ,40 - 49,42,8TH DIVISION                                           ,STAFF                                                  ,18.0,133
2190,POLICE SERGEANT                    ,M,W ,50 - 59,58,2ND DIVISION                                           ,2ND PLATOON                                            ,35.0,134
2192,POLICE OFFICER                     ,M,B ,50 - 59,58,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,35.0,135
2194,POLICE SERGEANT                    ,M,W ,OVER 60,67,5TH DIVISION                                           ,1ST PLATOON                                            ,35.0,136
2197,POLICE SERGEANT                    ,M,W ,50 - 59,51,NARCOTICS                                              ,STAFF                                                  ,25.0,137
2199,POLICE OFFICER                     ,M,W ,50 - 59,58,2ND DIVISION                                           ,FLEX PLATOON                                           ,24.0,138
2200,POLICE OFFICER                     ,F,B ,OVER 60,63,8TH DIVISION                                           ,2ND PLATOON                                            ,35.0,139
2201,POLICE SERGEANT                    ,M,W ,OVER 60,64,CRIMES AGAINST CHILDREN                                ,MISSING PERSONS                                        ,35.0,140
