TYPE_OF_STOP,CITATION_CONTROL_NUMBER,ACTIVITY_RESULTS,OFFICER_GENDER,OFFICER_RACE,OFFICER_AGE_RANGE,ACTIVITY_DATE,ACTIVITY_TIME,ACTIVITY_LOCATION,ACTIVITY_DIVISION,ACTIVITY_BEAT,DRIVER_GENDER,DRIVER_RACE,DRIVER_AGE_RANGE,NUMBER_OF_PASSENGERS,WAS_VEHCILE_SEARCHED,REASON_FOR_SEARCH,OBJECTID
COMPLAINT/CRIMINAL VIOLATION,EC00567     ,CITATION ISSUED,M,WHITE,21 - 30,01/08/2023,21:54:00,ALGONQUIN PKWY                                              ,2ND DIVISION,BEAT 5,F,WHITE,31 - 40,1,NO,,0
COMPLAINT/CRIMINAL VIOLATION,EF00863     ,CITATION ISSUED,M,WHITE,31 - 40,02/14/2023,14:11:00,MAGAZINE ST/S 22ND ST                                       ,1ST DIVISION,BEAT 2,F,BLACK,26 - 30,0,NO,,1
COMPLAINT/CRIMINAL VIOLATION,EF02851     ,CITATION ISSUED,F,WHITE,41 - 50,02/16/2023,18:27:00,STORY AVE/64                                                ,1ST DIVISION,BEAT 4,M,BLACK,51 - 60,1,YES,3.0,2
COMPLAINT/CRIMINAL VIOLATION,EF48962     ,CITATION ISSUED,M,WHITE,21 - 30,01/27/2023,16:17:00,POPLAR LEVEL RD / PRODUCE RD                                ,6TH DIVISION,BEAT 2,M,HISPANIC,31 - 40,0,YES,,3
COMPLAINT/CRIMINAL VIOLATION,EG32430     ,CITATION ISSUED,M,WHITE,21 - 30,01/27/2023,23:28:00,SHAWNEE PARK RD                                             ,2ND DIVISION,BEAT 1,M,BLACK,16 - 19,1,YES,4.0,4
COMPLAINT/CRIMINAL VIOLATION,EG32431     ,CITATION ISSUED,M,WHITE,21 - 30,01/27/2023,23:28:00,4500 BLOCK W BROADWAY                                       ,2ND DIVISION,BEAT 1,F,BLACK,16 - 19,1,YES,4.0,5
COMPLAINT/CRIMINAL VIOLATION,EG32605     ,CITATION ISSUED,M,WHITE,21 - 30,01/23/2023,23:05:00,E LIBERTY ST/JACKSON                                        ,1ST DIVISION,BEAT 5,M,WHITE,26 - 30,2,YES,4.0,6
COMPLAINT/CRIMINAL VIOLATION,EG38780     ,CITATION ISSUED,M,WHITE,21 - 30,02/11/2023,10:25:00,NORTHWESTERN PKWY                                           ,1ST DIVISION,BEAT 1,M,BLACK,OVER 60,1,YES,4.0,7
COMPLAINT/CRIMINAL VIOLATION,EG43535     ,CITATION ISSUED,M,BLACK,21 - 30,03/01/2023,17:22:00,3400 BLOCK  SHANKS LN,2ND DIVISION,BEAT 6,M,BLACK,20 - 25,2,YES,4.0,8
COMPLAINT/CRIMINAL VIOLATION,EG47778     ,CITATION ISSUED,M,WHITE,31 - 40,02/12/2023,06:26:00,3RD ST / ARNOLDTOWN RD                                      ,3RD DIVISION,BEAT 4,M,WHITE,41 - 50,0,YES,3.0,9
