ObjectId,REQ_ID,Request_Date,person_premise,address1,zip,Activity_Date,ACTIVITY_TYPE_ID,Activity_Type_Desc,Action_Code,Action_Code_Desc
1,693552,2020/03/25 03:59:59+00,VON SUBS,1614 DIXIE HWY,40210,2020/03/26 03:59:59+00,12,ENFORCEMENT ACTION,Z  ,CEASE OPERATION
2,693753,2020/03/26 03:59:59+00,FOCUS TRAINING ACADEMY,2041 RIVER,40206,2020/03/31 03:59:59+00,12,ENFORCEMENT ACTION,Z  ,CEASE OPERATION
3,694144,2020/03/28 03:59:59+00,XCLUSIVE CABARET,3608 7TH STREET RD,40215,2020/03/28 03:59:59+00,12,ENFORCEMENT ACTION,Z  ,CEASE OPERATION
4,694145,2020/03/28 03:59:59+00,SOMALI BANTU COMMUNITY,2750 7TH STREET RD,40215,2020/03/28 03:59:59+00,12,ENFORCEMENT ACTION,Z  ,CEASE OPERATION
5,694146,2020/03/28 03:59:59+00,ST8 RYDERZ,3100 DIXIE HWY,40216,2020/03/28 03:59:59+00,12,ENFORCEMENT ACTION,Z  ,CEASE OPERATION
6,694235,2020/04/01 03:59:59+00,FANTASY ISLAND,3624 7TH ST RD,40215,2020/04/01 03:59:59+00,12,ENFORCEMENT ACTION,Z  ,CEASE OPERATION
7,694236,2020/04/01 03:59:59+00,SHOWBOAT ADULT BOOKS,3524 7TH ST RD,40216,2020/04/01 03:59:59+00,12,ENFORCEMENT ACTION,Z  ,CEASE OPERATION
8,694401,2020/04/02 03:59:59+00,CAROLINA WESTERN WEAR,5015 PRESTON HWY,40213,2020/04/04 03:59:59+00,12,ENFORCEMENT ACTION,Z  ,CEASE OPERATION
9,694568,2020/04/03 03:59:59+00,JIM DANDY FOOD MART,4902 POPLAR LEVEL RD,40219,2020/04/07 03:59:59+00,12,ENFORCEMENT ACTION,Z  ,CEASE OPERATION
10,694985,2020/04/06 03:59:59+00,SUN TAN CITY,5016 MUD LANE UNIT 105,40229,2020/04/06 03:59:59+00,12,ENFORCEMENT ACTION,Z  ,CEASE OPERATION
11,694988,2020/04/06 03:59:59+00,WOLVERINE WORLDWIDE,6001 CANE RUN RD,40258,2020/04/06 03:59:59+00,12,ENFORCEMENT ACTION,Z  ,CEASE OPERATION
