ObjectId,REQ_ID,Request_Date,person_premise,address1,zip,Activity_Date,ACTIVITY_TYPE_ID,Activity_Type_Desc
1,703281,2020/08/06 03:59:59+00,WENDYS,3301 CANE RUN RD,40211.0,2020/08/10 03:59:59+00,12,ENFORCEMENT ACTION
2,701108,2020/07/13 03:59:59+00,DAIRY QUEEN,9656 BLUEGRASS PKWY,40299.0,2020/07/15 03:59:59+00,12,ENFORCEMENT ACTION
3,707559,2020/10/23 03:59:59+00,JTOWN EAGLES,3501 COLLEGE DR,40299.0,2020/10/27 03:59:59+00,12,ENFORCEMENT ACTION
4,693320,2020/03/24 03:59:59+00,CHARTER SPECTRUM,4701 COMMERCE CROSSINGS DRIVE,40229.0,2020/03/25 03:59:59+00,12,ENFORCEMENT ACTION
5,703524,2020/08/11 03:59:59+00,THRIFT STORE,2514 W MAIN ST,40212.0,2020/08/12 03:59:59+00,12,ENFORCEMENT ACTION
6,693344,2020/03/24 03:59:59+00,SPECTRUM,10300 ORMSBY PARK PL,40223.0,2020/03/24 03:59:59+00,12,ENFORCEMENT ACTION
7,701117,2020/07/12 03:59:59+00,BURGER KING #546,5611 NEW CUT RD,40214.0,2020/07/31 03:59:59+00,12,ENFORCEMENT ACTION
8,703538,2020/08/11 03:59:59+00,FALLS CITY LUMBER,3042 W BROADWAY,40211.0,2020/09/04 03:59:59+00,12,ENFORCEMENT ACTION
9,707647,2020/10/27 03:59:59+00,EMPIRE BEAUTY SCHOOL,5120 DIXIE HWY,40216.0,2020/10/29 03:59:59+00,12,ENFORCEMENT ACTION
10,693409,2020/03/23 03:59:59+00,UPS,911 GRADE LANE,40213.0,2020/03/25 03:59:59+00,12,ENFORCEMENT ACTION
11,701220,2020/07/14 03:59:59+00,CASH SAVERS MARKET,5024 POPLAR LEVEL RD,40219.0,2020/07/16 03:59:59+00,12,ENFORCEMENT ACTION
12,703539,2020/08/11 03:59:59+00,HOUSE OF BOOM,100 URTON LN STE 101,40223.0,2020/08/18 03:59:59+00,12,ENFORCEMENT ACTION
13,707648,2020/10/27 03:59:59+00,EMPIRE BEAUTY SCHOOL,5120 DIXIE HWY,40216.0,2020/10/29 03:59:59+00,12,ENFORCEMENT ACTION
14,701317,2020/07/03 03:59:59+00,LA BODEGUITA DE MIMA,725 E MARKET ST,40206.0,2020/07/03 03:59:59+00,12,ENFORCEMENT ACTION
15,694238,2020/04/01 03:59:59+00,DAIRY DEL #3,1516 S SHELBY ST,40217.0,2020/04/02 03:59:59+00,12,ENFORCEMENT ACTION
16,703642,2020/08/13 03:59:59+00,ALTITUDE TRAMPOLINE PARK OF LOUISVILLE,4420 DIXIE HWY UNIT 220,40216.0,2020/08/18 03:59:59+00,12,ENFORCEMENT ACTION
17,701322,2020/07/03 03:59:59+00,RYE RESTAURANT,900 E MARKET ST,40206.0,2020/07/03 03:59:59+00,12,ENFORCEMENT ACTION
18,707705,2020/10/27 03:59:59+00,SANTA FE GRILL,3000 S 3RD ST,40208.0,2020/10/28 03:59:59+00,12,ENFORCEMENT ACTION
19,694273,2020/04/01 03:59:59+00,FRANCISCAN SHELTER HOUSE,748 S PRESTON ST,40203.0,2020/04/02 03:59:59+00,12,ENFORCEMENT ACTION
20,703642,2020/08/13 03:59:59+00,ALTITUDE TRAMPOLINE PARK OF LOUISVILLE,4420 DIXIE HWY UNIT 220,40216.0,2020/08/31 03:59:59+00,12,ENFORCEMENT ACTION
21,701324,2020/07/03 03:59:59+00,TASTE OF FINE WINES & BOURBON,634 E MARKET ST,40202.0,2020/07/03 03:59:59+00,12,ENFORCEMENT ACTION
22,694416,2020/04/02 03:59:59+00,UPS,2210 OUTER LOOP,40219.0,2020/04/08 03:59:59+00,12,ENFORCEMENT ACTION
23,708059,2020/10/31 03:59:59+00,WHITE CASTLE,2350 GREENE WAY,40299.0,2020/11/02 05:00:00+00,12,ENFORCEMENT ACTION
24,703752,2020/08/17 03:59:59+00,LOUISVILLE ATHLETIC CLUB,9451 WESTPORT RD,40241.0,2020/09/01 03:59:59+00,12,ENFORCEMENT ACTION
25,701368,2020/07/03 03:59:59+00,FLANAGAN'S ALE HOUSE,934 BAXTER AVE,40204.0,2020/07/03 03:59:59+00,12,ENFORCEMENT ACTION
26,694529,2020/04/02 03:59:59+00,ASHLEY FURNITURE,521 INDUSTRY RD,40208.0,2020/04/04 03:59:59+00,12,ENFORCEMENT ACTION
27,708086,2020/11/02 05:00:00+00,PUSSY CAT,4744 POPLAR LEVEL RD,40213.0,2020/11/05 05:00:00+00,12,ENFORCEMENT ACTION
28,703753,2020/08/17 03:59:59+00,ROCKFORD LANE LIQUORS,2700 ROCKFORD LN,40216.0,2020/08/18 03:59:59+00,12,ENFORCEMENT ACTION
29,701370,2020/07/03 03:59:59+00,BAXTER BAR & GRILL,942 BAXTER AVE,40204.0,2020/07/03 03:59:59+00,12,ENFORCEMENT ACTION
30,708090,2020/11/02 05:00:00+00,VOLVO CARS OF LOUISVILLE,5 AUTOCENTER DR,40299.0,2020/11/02 05:00:00+00,12,ENFORCEMENT ACTION
31,694568,2020/04/03 03:59:59+00,JIM DANDY FOOD MART,4902 POPLAR LEVEL RD,40219.0,2020/04/07 03:59:59+00,12,ENFORCEMENT ACTION
32,703834,2020/08/18 03:59:59+00,ROCKFORD LIQUORS,2700 ROCKFORD LN,40216.0,2020/08/18 03:59:59+00,12,ENFORCEMENT ACTION
33,701372,2020/07/03 03:59:59+00,AGAVE AND RYE,426 BAXTER AVE,40204.0,2020/07/03 03:59:59+00,12,ENFORCEMENT ACTION
34,708109,2020/10/28 03:59:59+00,PIZZA HUT #036971,214 AMY AVE,40212.0,2020/10/28 03:59:59+00,12,ENFORCEMENT ACTION
35,694611,2020/04/03 03:59:59+00,UPS SUPPLY CHAIN SOLUTIONS INC,1860 OUTER LOOP,40219.0,2020/04/07 03:59:59+00,12,ENFORCEMENT ACTION
36,704016,2020/08/20 03:59:59+00,GRAB N GO,3110 ROCKFORD LN,40216.0,2020/08/24 03:59:59+00,12,ENFORCEMENT ACTION
37,701373,2020/07/03 03:59:59+00,PROHIBITION CRAFT SPIRITS BAR,436 BAXTER AVE,40208.0,2020/07/03 03:59:59+00,12,ENFORCEMENT ACTION
38,694627,2020/04/04 03:59:59+00,LOWES HOME IMPROVEMENT,2100 BASHFORD MANOR LN,40218.0,2020/04/04 03:59:59+00,12,ENFORCEMENT ACTION
39,708133,2020/11/03 05:00:00+00,ASIAN MASSAGE,6608 BARDSTOWN RD,40291.0,2020/11/04 05:00:00+00,12,ENFORCEMENT ACTION
40,704083,2020/08/21 03:59:59+00,BILLIARDS CLUB OF LOUISVILLE,5404 BARDSTOWN RD,40291.0,2020/08/18 03:59:59+00,12,ENFORCEMENT ACTION
41,701459,2020/07/16 03:59:59+00,SPEEDWAY #9701,8510 NATIONAL TURNPIKE,40118.0,2020/07/31 03:59:59+00,12,ENFORCEMENT ACTION
42,694629,2020/04/04 03:59:59+00,HOME DEPOT,964 BRECKENRIDGE LN,40207.0,2020/04/04 03:59:59+00,12,ENFORCEMENT ACTION
43,708144,2020/11/03 05:00:00+00,BILLIARDS CLUB OF LOUISVILLE,5404 BARDSTOWN RD,40291.0,2020/11/09 05:00:00+00,12,ENFORCEMENT ACTION
44,704095,2020/08/24 03:59:59+00,BILLIARDS CLUB OF LOUISVILLE,5404 BARDSTOWN RD,40291.0,2020/08/25 03:59:59+00,12,ENFORCEMENT ACTION
45,701461,2020/07/15 03:59:59+00,SUPER USA #5,5901 NEW CUT RD,40214.0,2020/07/31 03:59:59+00,12,ENFORCEMENT ACTION
46,708298,2020/11/04 05:00:00+00,FAMILY DOLLAR #29071,4335 BARDSTOWN RD,40218.0,2020/11/04 05:00:00+00,12,ENFORCEMENT ACTION
47,694630,2020/04/04 03:59:59+00,LOWES HOME IMPROVEMENT,4930 NORTON HEALTHCARE BLVD,40241.0,2020/04/04 03:59:59+00,12,ENFORCEMENT ACTION
48,704136,2020/08/25 03:59:59+00,STAY GOLD STUDIO,4116 FLINTLOCK DR,40216.0,2020/08/25 03:59:59+00,12,ENFORCEMENT ACTION
49,711767,2020/12/08 05:00:00+00,THE HOME DEPOT,8232 PRESTON HWY,,2020/12/08 05:00:00+00,12,ENFORCEMENT ACTION
50,708678,2020/11/11 05:00:00+00,KAREMS BAIT AND BEVERAGE,10402 TAYLORSVILLE RD,40299.0,2020/11/12 05:00:00+00,12,ENFORCEMENT ACTION
51,701510,2020/07/17 03:59:59+00,LOUISVILLE ATHLECTIC CLUB,9541 WESTPORT RD,40241.0,2020/09/01 03:59:59+00,12,ENFORCEMENT ACTION
52,695110,2020/04/08 03:59:59+00,LITTLE CAESARS,3121 S 2ND ST,40208.0,2020/04/11 03:59:59+00,12,ENFORCEMENT ACTION
53,704273,2020/08/26 03:59:59+00,JAY'S FOOD MART,5370 RANGELAND RD,40219.0,2020/09/03 03:59:59+00,12,ENFORCEMENT ACTION
54,701605,2020/07/18 03:59:59+00,QDOBA #2811,13006 SHELBYVILLE RD,40243.0,2020/07/22 03:59:59+00,12,ENFORCEMENT ACTION
55,708679,2020/11/11 05:00:00+00,KAREMS BAIT AND BEVERAGE,10402 TAYORSVILLE RD,40299.0,2020/11/12 05:00:00+00,12,ENFORCEMENT ACTION
56,695149,2020/04/08 03:59:59+00,TACO BELL,3408 PRESTON HWY,40213.0,2020/04/09 03:59:59+00,12,ENFORCEMENT ACTION
57,711774,2020/12/08 05:00:00+00,PENN STATION,4247 OUTER LOOP,40219.0,2020/12/08 05:00:00+00,12,ENFORCEMENT ACTION
58,704543,2020/08/29 03:59:59+00,AUDUBON COUNTRY CLUB,3265 ROBIN RD,40213.0,2020/08/29 03:59:59+00,12,ENFORCEMENT ACTION
59,701682,2020/07/18 03:59:59+00,LA BODEGUITA DE MIMA,725 E MARKET ST,40206.0,2020/07/28 03:59:59+00,12,ENFORCEMENT ACTION
60,695261,2020/04/11 03:59:59+00,PIC PAC,6629 SOUTHSIDE DR,40214.0,2020/04/14 03:59:59+00,12,ENFORCEMENT ACTION
61,708696,2020/11/11 05:00:00+00,DOMINO'S PIZZA #1435,7924 FEGENBUSH LN,40228.0,2020/11/13 05:00:00+00,12,ENFORCEMENT ACTION
62,711988,2020/12/10 05:00:00+00,DUNDEE TAVERN,2224 DUNDEE RD,40205.0,2020/07/03 03:59:59+00,12,ENFORCEMENT ACTION
63,704575,2020/08/29 03:59:59+00,GOODWILL,5601 OUTER LOOP,40219.0,2020/08/29 03:59:59+00,12,ENFORCEMENT ACTION
