ObjectId,Source_Name,Road,From_,To_,Classification,District,Lane_Miles
1,FY 15-16,Applegate Lane,Shepherdsville Road,Smyrna Pkwy,Primary Collector,23,4.522084599
2,FY 16-17,10th St,Main St,Muhammad Ali Blvd,Local,4,1.192897913
3,FY 16-17,Russell Lee Dr,Algonquin Pkwy,Southern Ave,Local,1,1.948632069
4,FY 17-18,Cape Cod Ct,Old Towne Rd,Dead End,Local,13,0.095621238
5,FY 16-17,Moorewick Way,Lower River Rd,Dead End,Local,14,0.579295278
6,FY 16-17,Hopewell Rd,New Hopewell Rd,Old Heady Rd,Secondary Collector,20,1.908799862
7,FY 16-17,Del Park Ter,Southwestern Pkwy,S 44th St,Local,5,0.228679016
8,FY 16-17,W St Catherine St,S 17th St,Dixie Hwy,Local,6,0.31014812
9,FY 16-17,34th Street,Broadway,River Park Dr,Local,5,0.815610397
10,FY 15-16,Autumn Leaf Court,Spring Breeze Court,Dead End,,11,0.518033809
11,FY 16-17,S 11th St,S 12th St,S 7th St,Primary Collector,6,1.237359252
12,FY 17-18,Carlton Ter,Saratoga Ave,Trevilian Way,Local,8,0.472641656
13,FY 16-17,Hudson Ln,Fairground Rd,Fairground Rd,Local,"20, 22",1.470712121
14,FY 16-17,Walbridge Ct,Wooded Lake Dr,Dead End,Local,20,0.092110309
15,FY 16-17,Duchess Dr,Cortland Dr,Apple Mill Dr,Local,23,0.300900595
16,FY 16-17,Morning Star Way,Sunkist Way,Evening Star Dr,Local,14,0.42192243
17,FY 16-17,4th Street,River Rd,Main St,Local,,0.639855555
18,FY 15-16,Barbrook Road,7614 Norwich Blvd,Kenhurst Drive,,12,3.586637584
19,FY 16-17,S 6th St,W Ashland Ave,W Woodlawn Ave,Local,21,0.83264242
20,FY 16-17,Waxwing Pl,Sable Wing Cir,Dead End,Local,18,0.340489358
21,FY 16-17,Hugh Ave,Schuff Ave,Dead End,Local,10,0.632091833
22,FY 17-18,Carrico Ave,Taylor Blvd,Lentz,Local,15,0.287123158
23,FY 16-17,Dukehart Dr,Goldsmith Ln,Terril Ln,Local,10,0.145566061
24,FY 16-17,Mount Eastes Ln,Bilsim Ln,Ashmead Dr,Local,22,0.244882958
25,FY 16-17,5th St,Main St,Market St,Minor Arterial,,0.348475833
26,FY 16-17,S Floyd St,E Broadway,E St Catherine St,Primary Collector,"4, 6",1.416309396
