InspectionID,Facility_ID,Facility_Name,Facility_Address,Facility_Address_2,Facility_City,Facility_State,Facility_Postal_Code,Facility_County,Venue_Type,Inspection_Date,Inspection_Score,Inspection_Purpose,Inspection_Passed,No_Imminent_Health_Hazards,Disinfectant,Free_Chlorine,Free_Bromine,pH,Enclosure,Main_Drain_Visible,Safety_Equipment,Disinfectant_Level,pH_Balance,Inspection_Notes,OBJECTID
1430175,104020,AQUA-TOTS SWIM CLUB,117 BLANKENBAKER PKWY,,LOUISVILLE,KY,40223,JEFFERSON,POOL,2018/11/20,94.0,ROUTINE,False,True,CHLORINE,4.0,,7.3000002,True,True,True,False,True," other - perimeter overflow system, skimmers, inlets, main drain, water level, operating, clean, good repair| Disinfectant Level - disinfectant free residual",0
1430806,64504,HOLIDAY INN EXPRESS,1520 ALLIANT AVE,,LOUISVILLE,KY,40299,JEFFERSON,HOT TUB / SPA,2018/11/26,91.0,ROUTINE,False,True,BROMINE,,12.6,8.1999998,True,True,True,False,False," pH Balance - ph(7.2-7.8)| Disinfectant Level - disinfectant free residual| other - perimeter overflow system, skimmers, inlets, main drain, water level, operating, clean, good repair",1
1430807,64505,HOLIDAY INN EXPRESS,1520 ALLIANT AVE,,LOUISVILLE,KY,40299,JEFFERSON,POOL,2018/11/26,97.0,ROUTINE,False,True,BROMINE,,9.4499998,8.0,True,True,True,True,False, pH Balance - ph(7.2-7.8),2
1431156,64504,HOLIDAY INN EXPRESS,1520 ALLIANT AVE,,LOUISVILLE,KY,40299,JEFFERSON,HOT TUB / SPA,2018/11/27,97.0,FOLLOW-UP,False,True,BROMINE,,2.7,7.5999999,True,True,True,True,True," other - perimeter overflow system, skimmers, inlets, main drain, water level, operating, clean, good repair",3
1431695,29311,ROYAL AMBASSADOR,1602 GARDINER LN,,LOUISVILLE,KY,40205,JEFFERSON,POOL,2018/11/28,95.0,FOLLOW-UP,False,True,BROMINE,,1.8,7.5,True,True,True,False,True," Disinfectant Level - disinfectant free residual| other - operator testing frequency, log sheets maintained",4
1431695,29311,ROYAL AMBASSADOR,1602 GARDINER LN,,LOUISVILLE,KY,40205,JEFFERSON,POOL,2018/11/28,95.0,FOLLOW-UP,True,True,BROMINE,,1.8,7.5,True,True,True,True,True," Disinfectant Level - disinfectant free residual| other - operator testing frequency, log sheets maintained",5
1431696,91985,ESPORTA FITNESS,4620 TAYLORSVILLE RD,,LOUISVILLE,KY,40220,JEFFERSON,POOL,2018/11/28,91.0,FOLLOW-UP,False,True,CHLORINE,2.0,,7.0,True,True,True,True,False," pH Balance - ph(7.2-7.8)| other - water heaters:  approved type, thermometers, temperature limiting device, operating, good repair| other - filter type ~, values, sight glass, air release, gauges, operating, good repair",6
1431720,93920,COMFORT SUITES,1850 RESOURCE WAY,,JEFFERSONTOWN,KY,40299,JEFFERSON,HOT TUB / SPA,2018/11/28,91.0,ROUTINE,False,True,BROMINE,,9.4499998,7.1999998,True,True,True,False,True," other - bottom, sidewalls, deck:  growths, scum build-up, clean, good repair| other - depth markings and lane lines properly located, spaced sized, contrasting color, good repair| Disinfectant Level - disinfectant free residual| other - flow meter: installation, accessibility, operating, good repair",7
1431720,93920,COMFORT SUITES,1850 RESOURCE WAY,,JEFFERSONTOWN,KY,40299,JEFFERSON,HOT TUB / SPA,2018/11/28,91.0,ROUTINE,True,True,BROMINE,,9.4499998,7.1999998,True,True,True,True,True," other - bottom, sidewalls, deck:  growths, scum build-up, clean, good repair| other - depth markings and lane lines properly located, spaced sized, contrasting color, good repair| Disinfectant Level - disinfectant free residual| other - flow meter: installation, accessibility, operating, good repair",8
1431721,93922,COMFORT SUITES,1850 RESOURCE WAY,,JEFFERSONTOWN,KY,40299,JEFFERSON,POOL,2018/11/28,88.0,ROUTINE,False,True,CHLORINE,5.4000001,,7.6999998,True,True,True,False,True," other - bottom, sidewalls, deck:  growths, scum build-up, clean, good repair| other - perimeter overflow system, skimmers, inlets, main drain, water level, operating, clean, good repair| other - depth markings and lane lines properly located, spaced sized, contrasting color, good repair| other - flow meter: installation, accessibility, operating, good repair| Disinfectant Level - disinfectant free residual",9
