business_id,date,score,description,type,ObjectId
33070,20181213,98,,ROUTINE,1
31334,20220810,98,,ROUTINE,2
32578,20210916,91,,ROUTINE,3
33122,20221003,0,,FOLLOWUP,4
32531,20181024,98,,ROUTINE,5
32866,20180921,94,,ROUTINE,6
32659,20211008,98,,ROUTINE,7
31334,20221212,99,,ROUTINE,8
32659,20220408,98,,ROUTINE,9
32531,20190715,99,,ROUTINE,10
32578,20220321,95,,ROUTINE,11
33070,20190613,97,,ROUTINE,12
33122,20230522,97,,ROUTINE,13
32866,20190321,94,,ROUTINE,14
31334,20230512,99,,ROUTINE,15
32724,20220627,98,,ROUTINE,16
32531,20190304,99,,ROUTINE,17
32578,20220913,96,,ROUTINE,18
33070,20191227,99,,ROUTINE,19
33122,20181205,96,,ROUTINE,20
32866,20191029,96,,ROUTINE,21
31334,20181011,98,,ROUTINE,22
32724,20230106,97,,ROUTINE,23
32531,20200210,99,,ROUTINE,24
32579,20230112,95,,ROUTINE,25
33122,20190610,97,,ROUTINE,26
32866,20210504,95,,ROUTINE,27
33070,20210324,98,,ROUTINE,28
32724,20230804,97,,ROUTINE,29
31334,20190409,99,,ROUTINE,30
32531,20210817,98,,ROUTINE,31
32579,20230623,95,,ROUTINE,32
33122,20190402,0,,COMPLAINT,33
32866,20220418,98,,ROUTINE,34
33070,20211215,98,,ROUTINE,35
32724,20180910,98,,ROUTINE,36
31334,20190925,100,,ROUTINE,37
32579,20190227,97,,ROUTINE,38
32531,20220407,99,,ROUTINE,39
33122,20191210,96,,ROUTINE,40
32877,20220512,99,,ROUTINE,41
32724,20190207,96,,ROUTINE,42
31334,20200305,100,,ROUTINE,43
33070,20220616,98,,ROUTINE,44
32579,20190315,0,,COMPLAINT,45
32531,20220929,99,,ROUTINE,46
33122,20201027,98,,ROUTINE,47
32877,20221107,98,,ROUTINE,48
32724,20190607,97,,ROUTINE,49
31334,20210715,100,,ROUTINE,50
33088,20220606,100,,ROUTINE,51
32579,20190925,98,,FOLLOWUP,52
32534,20221019,92,,ROUTINE,53
33122,20220414,96,,ROUTINE,54
32877,20230509,97,,ROUTINE,55
32724,20191209,92,,ROUTINE,56
31334,20220217,100,,ROUTINE,57
33088,20230504,98,,ROUTINE,58
32579,20191016,0,,COMPLAINT,59
32534,20230503,96,,ROUTINE,60
33122,20211021,95,,ROUTINE,61
32877,20181009,96,,ROUTINE,62
32112,20221213,96,,ROUTINE,63
32724,20191018,0,,COMPLAINT,64
33088,20221115,98,,ROUTINE,65
32579,20191023,0,,FOLLOWUP,66
32534,20181018,96,,ROUTINE,67
33158,20230330,96,,ROUTINE,68
32877,20190312,96,,ROUTINE,69
32112,20230705,98,,FOLLOWUP,70
32724,20191218,99,,FOLLOWUP,71
32579,20190909,92,,ROUTINE,72
33088,20180920,96,,ROUTINE,73
32534,20190416,96,,ROUTINE,74
32112,20230627,80,,ROUTINE,75
33158,20181126,0,,FOLLOWUP,76
32877,20191001,97,,ROUTINE,77
32579,20200303,95,,ROUTINE,78
32724,20200817,96,,ROUTINE,79
33088,20190604,96,,ROUTINE,80
32534,20190905,96,,ROUTINE,81
32112,20230627,0,,COMPLAINT,82
32877,20211110,95,,ROUTINE,83
33158,20181206,94,,ROUTINE,84
32579,20210111,96,,ROUTINE,85
32724,20210510,97,,ROUTINE,86
33088,20190204,94,,ROUTINE,87
32534,20200226,96,,ROUTINE,88
