business_id,name,address,city,state,postal_code,phone_number,OBJECTID
31334,GOOD SAMARITAN,3500 GOOD SAMARITAN WAY,LOUISVILLE,KY,40299,(502) 267-7403,0
32112,CHEDDAR BOX,3909 CHENOWETH SQUARE,LOUISVILLE,KY,40207,(502) 893-2324,1
32114,CORNER CAFE & PIZZERIA,9307 NEW LAGRANGE RD,LOUISVILLE,KY,40242,(502) 426-8119,2
32140,ARBY'S #5412,6216 BARDSTOWN RD,LOUISVILLE,KY,40291,(502) 239-3203,3
32358,ARBY'S #5430,10704 DIXIE HWY,LOUISVILLE,KY,40272,(502) 935-1329,4
32531,BOYS & GIRLS HAVEN #1,2301 GOLDSMITH LN,LOUISVILLE,KY,40218,(502) 458-1471,5
32534,KRAZY DAVES NEIGHBORHOOD PUB & GRILL,2817 DEL RIO PL STE 110,LOUISVILLE,KY,40220,(502) 403-6101,6
32535,DES PRES PARK CONCESSION,4709 LOWE RD,LOUISVILLE,KY,40220,(502) 643-6040,7
32536,BOURBON STREET CAFE,850 DIXIE HWY,LOUISVILLE,KY,40210,(502) 774-7156,8
32553,CAPTAIN D'S #3329,3937 DIXIE HWY,LOUISVILLE,KY,40217,(502) 447-4582,9
32578,WHITE CASTLE #19,7400 DIXIE HWY,LOUISVILLE,KY,40258,(502) 935-0421,10
32579,BONNIE & CLYDE'S PIZZA,7611 DIXIE HWY,LOUISVILLE,KY,40258,(502) 935-5540,11
32604,MOBY DICK,9150 DIXIE HWY,LOUISVILLE,KY,40272,(502) 935-6565,12
32609,CAPTAIN D'S #3532,10101 DIXIE HWY,LOUISVILLE,KY,40272,(502) 935-7350,13
32613,DIXIE BOWL,10526 DIXIE HWY,LOUISVILLE,KY,40272,(502) 937-7900,14
32659,BIG SPRING MAIN KITCHEN,5901 DUTCHMANS LN,LOUISVILLE,KY,40205,(502) 459-2622,15
32724,MOOSE LODGE #5,4615 FEGENBUSH LN,LOUISVILLE,KY,40228,(502) 499-8875,16
32727,RUTH'S CHRIS STEAK HOUSE,6100 DUTCHMANS LN,LOUISVILLE,KY,40205,(502) 479-0026,17
32733,WHITE CASTLE #10,793 EASTERN PKWY,LOUISVILLE,KY,40217,(502) 634-3322,18
32765,WOMAN'S CLUB OF LOUISVILLE,1320 S 4TH ST,LOUISVILLE,KY,40208,(502) 634-9437,19
32802,KFC TACO BELL Y052-016,5012 S 3RD ST,LOUISVILLE,KY,40214,(502) 366-2673,20
32804,ARBY'S #194,5022 S 3RD ST,LOUISVILLE,KY,40214,(502) 366-8435,21
32815,HITCHING POST INN,7314 FEGENBUSH LN,LOUISVILLE,KY,40228,(502) 239-4724,22
32829,JOHN O'BRYAN'S,4123 FLINTLOCK DR,LOUISVILLE,KY,40216,(502) 449-4940,23
32841,PATRICK'S LIQUOR BAR,3202 FRANKFORT AVE,LOUISVILLE,KY,40206,(502) 897-9697,24
32866,KFC EMPLOYEES CAFETERIA,1441 GARDINER LN,LOUISVILLE,KY,40213,(502) 459-8600,25
32877,ALA CART CAFE,3101 BARDSTOWN RD,LOUISVILLE,KY,40205,(502) 458-6504,26
32905,EXECUTIVE STRIKE & SPARE,911 PHILLIPS LN,LOUISVILLE,KY,40209,(502) 367-2251,27
32910,BLUE HORSE RESTAURANT,830 PHILLIPS LN,LOUISVILLE,KY,40209,(502) 367-2251,28
33054,PENDENNIS CLUB,218 W MUHAMMAD ALI BLVD,LOUISVILLE,KY,40202,(502) 584-4311,29
33055,STOOGES,7123 GRADE LN,LOUISVILLE,KY,40213,(502) 363-9803,30
33070,CAPTAIN'S QUARTERS,5700 CAPTAINS QUARTERS RD,PROSPECT,KY,40059,(502) 228-1651,31
33088,GOLDEN NUGGET BAR,2922 HIKES LN,LOUISVILLE,KY,40218,(502) 454-9914,32
33099,ARBY'S #714,1203 S HURSTBOURNE PKWY,LOUISVILLE,KY,40222,(502) 425-6660,33
33114,MCDONALD'S,9254 WESTPORT RD,LOUISVILLE,KY,40222,(502) 426-2692,34
33115,HAMPTON INN & SUITES,101 E JEFFERSON ST,LOUISVILLE,KY,40202,(502) 585-2200,35
33122,EL NOPAL,9451 WESTPORT RD,LOUISVILLE,KY,40241,(502) 327-6551,36
33158,FISH HOUSE,1310 WINTER AVE,LOUISVILLE,KY,40204,(502) 568-2993,37
33164,WOODHAVEN COUNTRY CLUB,7200 WOODHAVEN RD,LOUISVILLE,KY,40291,(502) 491-7112,38
33201,ZA'S PIZZA & PUB,1573 BARDSTOWN RD,LOUISVILLE,KY,40205,(502) 454-4544,39
33228,OHIO VALLEY RACEWAY,632 KATHERINE STATION RD,LOUISVILLE,KY,40177,(502) 922-4152,40
33244,ELKS LOUISVILLE LODGE #8,2824 KLONDIKE LN,LOUISVILLE,KY,40218,(502) 499-8335,41
33256,PAVILION CAFE,315 E BROADWAY,LOUISVILLE,KY,40202,(502) 629-2000,42
33257,ALL SPICE CAFE,200 E CHESTNUT ST,LOUISVILLE,KY,40202,(502) 589-8161,43
33262,NORTON ST MATTHEWS HOSPITAL,4001 DUTCHMANS LN,LOUISVILLE,KY,40207,(502) 893-1131,44
33276,FAZOLI'S,6011 PRESTON HWY,LOUISVILLE,KY,40213,(502) 969-4532,45
33291,FOOD COURT,700 CENTRAL AVE,LOUISVILLE,KY,40208,(502) 638-3925,46
33292,PADDOCK GRILL,700 CENTRAL AVE,LOUISVILLE,KY,40208,(502) 638-3925,47
33295,LEVY CD MAIN KITCHEN,700 CENTRAL AVE,LOUISVILLE,KY,40208,(502) 638-3925,48
33297,LING LING,10476 SHELBYVILLE RD,LOUISVILLE,KY,40223,(502) 245-2100,49
33317,LYNDON ELKS LODGE #2052,904 ORMSBY LN,LOUISVILLE,KY,40242,(502) 426-2069,50
33371,VFW POST MIDDLETOWN,107 EVERGREEN RD,LOUISVILLE,KY,40243,(502) 245-8773,51
33374,AMVETS POST 1,1111 SWAN ST,LOUISVILLE,KY,40204,(502) 637-9492,52
33398,AMERICAN LEGION DIXIE POST #1,2107 CRUMS LN,LOUISVILLE,KY,40216,(502) 448-8082,53
33399,WICKS PIZZA,975 BAXTER AVE,LOUISVILLE,KY,40204,(502) 458-1828,54
33419,HUNTING CREEK POOL CONCESSION,6807 FOXCROFT RD,PROSPECT,KY,40059,(502) 228-1106,55
33441,LEE'S FAMOUS RECIPE,9813 OLD 3RD STREET RD,LOUISVILLE,KY,40272,(502) 933-3538,56
33443,SUBWAY,725 W MAIN ST,LOUISVILLE,KY,40202,(502) 625-3002,57
33501,TWINBROOK HOTEL APARTMENT,3525 EPHRAIM MCDOWELL RD,LOUISVILLE,KY,40205,(502) 452-6330,58
33519,DAIRY DELIGHT,8691 PRESTON HWY,LOUISVILLE,KY,40219,(502) 964-1345,59
33602,MCDONALD'S #6859,7426 OLD 3RD STREET RD,LOUISVILLE,KY,40214,(502) 367-1455,60
33605,LOS AZTECAS,1107 HERR LN,LOUISVILLE,KY,40222,(502) 426-3994,61
33644,CHICKEN KING,639 E BROADWAY,LOUISVILLE,KY,40202,(502) 589-5464,62
33649,FISHERY,3624 LEXINGTON RD,LOUISVILLE,KY,40207,(502) 895-1188,63
33655,WAGON WHEEL FAST FOODS,1633 W KENTUCKY ST,LOUISVILLE,KY,40210,(502) 583-0962,64
33694,MORE SHENANIGAN'S IRISH,4521 BARDSTOWN RD,LOUISVILLE,KY,40218,(502) 493-3585,65
33761,WRIGHT PLACE,501 N 33RD ST,LOUISVILLE,KY,40212,(502) 778-8487,66
33814,BELLARMINE UNIVERSITY DINING HALL,2001 NEWBURG RD,LOUISVILLE,KY,40205,(502) 272-8325,67
33830,MANUAL STADIUM HOME CONCESSON,1230 E BURNETT AVE,LOUISVILLE,KY,40217,(502) 634-8409,68
33854,BROWN MAIN KITCHEN,335 W BROADWAY,LOUISVILLE,KY,40202,(502) 583-1234,69
33863,BACK DOOR,1250 BARDSTOWN RD STE 7,LOUISVILLE,KY,40204,(502) 451-0659,70
33906,VINCENZO'S,150 S 5TH ST,LOUISVILLE,KY,40202,(502) 580-1350,71
33920,BROWN J. GRAHAM CAFE,335 W BROADWAY,LOUISVILLE,KY,40202,(502) 583-1234,72
33938,GALT EAST BANQUET KITCHEN,140 N 4TH ST,LOUISVILLE,KY,40203,(502) 589-3300,73
33966,OLD SPAGHETTI FACTORY,235 W MARKET ST,LOUISVILLE,KY,40202,(502) 581-1070,74
34003,HEALING PLACE,1020 W MARKET ST,LOUISVILLE,KY,40202,(502) 584-6606,75
34030,FRANCISCAN SHELTER HOUSE,748 S PRESTON ST,LOUISVILLE,KY,40203,(502) 589-0140,76
34038,SAINTS PIZZA & PUB,131 BRECKENRIDGE LN,LOUISVILLE,KY,40207,(502) 891-8883,77
34068,ST. VINCENT DEPAUL CENTER,1034 S JACKSON ST,LOUISVILLE,KY,40203,(502) 584-2480,78
34073,BRISTOL BAR & GRILLE,300 N HURSTBOURNE PKWY,LOUISVILLE,KY,40222,(502) 426-0627,79
34097,MCDONALD'S #7940,3350 PRESTON HWY,LOUISVILLE,KY,40213,(502) 368-7940,80
34135,VALLEY DAIRY FREEZE,10300 DEERING RD,LOUISVILLE,KY,40272,(502) 937-3429,81
34201,BRISTOL BAR & GRILLE,1321 BARDSTOWN RD,LOUISVILLE,KY,40204,(502) 456-1702,82
34210,TWIG AND LEAF,2122 BARDSTOWN RD,LOUISVILLE,KY,40205,(502) 451-8944,83
34211,LEFT FIELD LOUNGE INC,2282 BARDSTOWN RD,LOUISVILLE,KY,40205,(502) 690-3750,84
34213,PAPA JOHN'S #8,2301 BARDSTOWN RD,LOUISVILLE,KY,40205,(502) 458-7555,85
34216,SOL AZTECAS,2427 BARDSTOWN RD,LOUISVILLE,KY,40205,(502) 459-7776,86
34233,HOLY SMOKES BBQ,7508 PRESTON HWY,LOUISVILLE,KY,40219,(502) 968-5657,87
34239,MORRISON SENIOR DINING,10510 LAGRANGE RD,LOUISVILLE,KY,40223,(502) 253-7000,88
34267,BASKIN ROBBINS,10264 SHELBYVILLE RD,LOUISVILLE,KY,40222,(502) 244-6883,89
34272,WHITE CASTLE #17,3705 BARDSTOWN RD,LOUISVILLE,KY,40218,(502) 458-1055,90
34292,MARMADUKE'S,4206 POPLAR LEVEL RD,LOUISVILLE,KY,40213,(502) 452-1390,91
34295,FIESTA MEXICANA #3,4507 BARDSTOWN RD,LOUISVILLE,KY,40218,(502) 491-2982,92
34301,WILDWOOD COUNTRY CLUB KITCHEN,5000 BARDSTOWN RD,LOUISVILLE,KY,40291,(502) 499-1261,93
34305,HUNGRY PELICAN,5412 BARDSTOWN RD,LOUISVILLE,KY,40291,(502) 239-7145,94
34307,FERN BOWL SNACK BAR/LOUNGE,5518 BARDSTOWN RD,LOUISVILLE,KY,40291,(502) 239-6210,95
34320,ANNIE'S PIZZA,2520 PORTLAND AVE,LOUISVILLE,KY,40212,(502) 776-2377,96
34326,SEVEN COUNTIES SERVICES,600 S PRESTON ST,LOUISVILLE,KY,40202,(502) 583-3951,97
34335,GODFATHER II,5000 PRESTON HWY,LOUISVILLE,KY,40213,(502) 964-9610,98
34358,EL NOPAL,6300 BARDSTOWN RD,LOUISVILLE,KY,40291,(502) 231-4249,99
34366,ARBY'S #325,7708 PRESTON HWY,LOUISVILLE,KY,40219,(502) 968-6921,100
34371,GOLDEN BUDDHA RESTAURANT,8000 PRESTON HWY,LOUISVILLE,KY,40219,(502) 968-7700,101
34372,BEARNO'S LITTLE SICILY,8019 PRESTON HWY,LOUISVILLE,KY,40219,(502) 968-6060,102
34379,A&W ROOT BEER LONG JOHN SILVERS,8315 PRESTON HWY,LOUISVILLE,KY,40219,(502) 969-2206,103
34381,MOBY DICK,6332 BARDSTOWN RD,LOUISVILLE,KY,40291,(502) 239-4827,104
34393,TWO LANE LIQUOR & BAR,9702 BARDSTOWN RD,LOUISVILLE,KY,40291,(502) 239-1018,105
34396,HUNTING CREEK COUNTRY CLUB,6807 FOXCROFT RD,PROSPECT,KY,40059,(502) 228-1106,106
34406,WAFFLE HOUSE #353,4706 PRESTON HWY,LOUISVILLE,KY,40213,(502) 968-7697,107
34453,FERN CREEK BALLPARK CONCESSION,8703 FERNDALE RD,LOUISVILLE,KY,40291,(502) 231-1727,108
34455,CAPTAIN D'S #3615,5232 BARDSTOWN RD,LOUISVILLE,KY,40291,(502) 499-7189,109
34471,AERO CLUB,3333 ROGER E SCHUPP ST,LOUISVILLE,KY,40205,(502) 456-9707,110
34493,OWL CREEK COMMUNITY SNACK BAR,10607 HOBBS STATION RD,LOUISVILLE,KY,40223,(502) 244-2550,111
34526,PLEHN'S BAKERY,3940 SHELBYVILLE RD,LOUISVILLE,KY,40207,(502) 895-8223,112
34573,BROWNSBORO PARK COMMUNITY,2960 GOOSE CREEK RD,LOUISVILLE,KY,40241,(502) 425-3446,113
34581,AUDUBON COUNTRY CLUB,3265 ROBIN RD,LOUISVILLE,KY,40213,(502) 636-1331,114
34592,DIZZY WHIZ #1,217 W ST CATHERINE ST,LOUISVILLE,KY,40203,(502) 583-3828,115
34602,SENECA GOLF COURSE SNACK BAR,2300 PEE WEE REESE RD,LOUISVILLE,KY,40205,(502) 458-9248,116
34628,ORIENTAL HOUSE,4302 SHELBYVILLE RD,LOUISVILLE,KY,40207,(502) 897-1017,117
34630,AMERICAN LEGION,4610 SHELBYVILLE RD,LOUISVILLE,KY,40207,(502) 896-4734,118
34643,AMVETS POST 9,1567 S SHELBY ST,LOUISVILLE,KY,40217,(502) 637-1900,119
34648,LE RELAIS,2817 TAYLORSVILLE RD,LOUISVILLE,KY,40205,(502) 451-9020,120
34667,HURSTBOURNE COUNTRY CLUB,9000 HURSTBOURNE CLUB LN,LOUISVILLE,KY,40222,(502) 425-6094,121
34675,DAIRY QUEEN,11806 SHELBYVILLE RD,LOUISVILLE,KY,40243,(502) 245-0800,122
34676,MOBY DICK,12012 SHELBYVILLE RD,LOUISVILLE,KY,40243,(502) 244-2879,123
34679,RUMORS,12339 SHELBYVILLE RD,LOUISVILLE,KY,40243,(502) 245-0366,124
34681,MIDLAND TRAIL GOLF COURSE,15360 SHELBYVILLE RD,LOUISVILLE,KY,40223,(502) 245-0223,125
34685,ROBBEN'S ROOST,5906 SIX MILE LN,LOUISVILLE,KY,40220,(502) 491-7178,126
34687,SOUTH PARK COUNTRY CLUB,915 S PARK RD,LOUISVILLE,KY,40118,(502) 969-7125,127
34692,KENBOWL LANES,7021 SOUTHSIDE DR,LOUISVILLE,KY,40214,(502) 631-1732,128
34716,GOLDEN STAR,3458 TAYLOR BLVD,LOUISVILLE,KY,40215,(502) 368-1833,129
34729,BEARNO'S,2900 TAYLORSVILLE RD,LOUISVILLE,KY,40205,(502) 458-8605,130
