YEAR,MONTH,Number_of_Tags_Issued,animal_type,zip_code,OBJECTID
2007,9,1,DOG,40291.0,0
2011,5,1,CAT,40245.0,1
2011,5,1,CAT,40272.0,2
2011,5,2,DOG,40205.0,3
2011,5,1,DOG,40214.0,4
2011,5,2,DOG,40220.0,5
2011,5,1,DOG,40228.0,6
2011,5,1,DOG,40258.0,7
2011,6,1,CAT,40229.0,8
2011,6,2,CAT,40258.0,9
2011,6,1,CAT,40272.0,10
2011,6,1,DOG,40118.0,11
2011,6,1,DOG,40205.0,12
2011,6,1,DOG,40208.0,13
2011,6,1,DOG,40216.0,14
2011,6,4,DOG,40220.0,15
2011,6,1,DOG,40245.0,16
2011,6,1,DOG,40272.0,17
2011,7,1,CAT,40243.0,18
2011,7,1,CAT,40258.0,19
2011,7,1,DOG,40212.0,20
2011,7,1,DOG,40216.0,21
2011,7,2,DOG,40220.0,22
2011,7,1,DOG,40223.0,23
2011,7,1,DOG,40291.0,24
2011,7,1,DOG,40299.0,25
2011,8,3,CAT,40213.0,26
2011,8,2,CAT,40258.0,27
2011,8,1,CAT,40272.0,28
2011,8,1,DOG,40059.0,29
2011,8,1,DOG,40203.0,30
2011,8,1,DOG,40206.0,31
2011,8,2,DOG,40216.0,32
2011,8,2,DOG,40219.0,33
2011,8,1,DOG,40220.0,34
2011,8,2,DOG,40241.0,35
2011,8,4,DOG,40245.0,36
2011,8,2,DOG,40272.0,37
2011,8,1,DOG,40299.0,38
2011,9,1,CAT,40220.0,39
2011,9,1,CAT,40291.0,40
2011,9,1,DOG,40203.0,41
2011,9,1,DOG,40205.0,42
2011,9,1,DOG,40213.0,43
2011,9,1,DOG,40214.0,44
2011,9,1,DOG,40216.0,45
2011,9,1,DOG,40218.0,46
2011,9,1,DOG,40219.0,47
2011,9,1,DOG,40241.0,48
2011,9,1,DOG,40291.0,49
2011,10,1,CAT,40272.0,50
2011,10,1,DOG,40213.0,51
2011,10,1,DOG,40216.0,52
2011,10,1,DOG,40218.0,53
2011,10,2,DOG,40219.0,54
2011,10,2,DOG,40220.0,55
2011,10,3,DOG,40222.0,56
2011,10,2,DOG,40242.0,57
2011,10,1,DOG,40243.0,58
2011,10,1,DOG,40258.0,59
2011,10,2,DOG,40272.0,60
2011,10,1,DOG,40291.0,61
2011,11,1,CAT,40291.0,62
2011,11,1,CAT,40299.0,63
2011,11,1,DOG,40204.0,64
2011,11,1,DOG,40219.0,65
2011,11,1,DOG,40220.0,66
2011,11,1,DOG,40228.0,67
2011,11,1,DOG,40229.0,68
2011,11,1,DOG,40269.0,69
2011,11,1,DOG,40272.0,70
2011,11,1,DOG,40291.0,71
2011,11,2,DOG,40299.0,72
2011,12,1,DOG,40118.0,73
2011,12,3,DOG,40207.0,74
2011,12,1,DOG,40217.0,75
2011,12,2,DOG,40219.0,76
2011,12,5,DOG,40272.0,77
2011,12,4,DOG,40291.0,78
2011,12,1,DOG,40299.0,79
2012,1,1,CAT,40228.0,80
2012,1,1,DOG,40118.0,81
2012,1,1,DOG,40205.0,82
2012,1,1,DOG,40206.0,83
2012,1,1,DOG,40210.0,84
2012,1,1,DOG,40212.0,85
2012,1,1,DOG,40214.0,86
2012,1,1,DOG,40216.0,87
2012,1,1,DOG,40218.0,88
2012,1,1,DOG,40223.0,89
2012,1,1,DOG,40242.0,90
2012,1,1,DOG,40245.0,91
2012,1,3,DOG,40299.0,92
2012,2,3,CAT,40258.0,93
2012,2,2,DOG,40205.0,94
2012,2,1,DOG,40206.0,95
2012,2,1,DOG,40208.0,96
2012,2,2,DOG,40212.0,97
2012,2,3,DOG,40214.0,98
2012,2,1,DOG,40216.0,99
2012,2,1,DOG,40218.0,100
2012,2,1,DOG,40219.0,101
2012,2,3,DOG,40222.0,102
2012,2,1,DOG,40228.0,103
2012,2,3,DOG,40229.0,104
2012,2,2,DOG,40245.0,105
2012,2,2,DOG,40258.0,106
2012,2,1,DOG,40272.0,107
2012,2,2,DOG,40291.0,108
2012,3,2,CAT,40216.0,109
2012,3,1,CAT,40272.0,110
2012,3,1,DOG,40118.0,111
2012,3,1,DOG,40215.0,112
2012,3,1,DOG,40216.0,113
2012,3,1,DOG,40218.0,114
2012,3,1,DOG,40219.0,115
2012,3,1,DOG,40272.0,116
2012,4,1,CAT,40041.0,117
2012,4,1,CAT,40207.0,118
2012,4,1,CAT,40213.0,119
2012,4,1,CAT,40219.0,120
2012,4,1,CAT,40223.0,121
2012,4,1,CAT,40241.0,122
2012,4,1,CAT,40299.0,123
2012,4,1,DOG,40204.0,124
2012,4,3,DOG,40205.0,125
2012,4,1,DOG,40206.0,126
2012,4,2,DOG,40208.0,127
2012,4,3,DOG,40213.0,128
2012,4,1,DOG,40214.0,129
2012,4,2,DOG,40215.0,130
2012,4,1,DOG,40216.0,131
