IntakeType,IntakeSubtype,Number_of_Animals,YEAR,MONTH,OBJECTID
STRAY,FIELD,1,2002,2,0
OWNER SUR,OTC,1,2003,7,1
CONFISCATE,CRUELTY,1,2004,11,2
CONFISCATE,CRUELTY,1,2004,12,3
STRAY,OTC,1,2004,12,4
CONFISCATE,CRUELTY,2,2005,1,5
STRAY,OTC,1,2005,1,6
CONFISCATE,CRUELTY,2,2005,2,7
CONFISCATE,HOSPITAL,1,2005,2,8
OWNER SUR,OTC,1,2005,2,9
STRAY,FIELD,1,2005,2,10
STRAY,OTC,10,2005,2,11
CONFISCATE,BITE,6,2005,3,12
CONFISCATE,CRUELTY,21,2005,3,13
EUTH REQ,FIELD OWN,2,2005,3,14
EUTH REQ,OTC OWNED,2,2005,3,15
OWNER SUR,FIELD,15,2005,3,16
OWNER SUR,OTC,54,2005,3,17
RETURN,OTC,3,2005,3,18
STRAY,,4,2005,3,19
STRAY,FIELD,171,2005,3,20
STRAY,NIGHT,1,2005,3,21
STRAY,OTC,193,2005,3,22
CONFISCATE,,1,2005,4,23
CONFISCATE,BITE,2,2005,4,24
CONFISCATE,CRUELTY,6,2005,4,25
CONFISCATE,POLICE,1,2005,4,26
EUTH REQ,FIELD OWN,2,2005,4,27
EUTH REQ,OTC OWNED,26,2005,4,28
OWNER SUR,FIELD,33,2005,4,29
OWNER SUR,OTC,78,2005,4,30
RETURN,OTC,1,2005,4,31
STRAY,,1,2005,4,32
STRAY,FIELD,237,2005,4,33
STRAY,OTC,286,2005,4,34
TRANSFER,,1,2005,4,35
CONFISCATE,,2,2005,5,36
CONFISCATE,CRUELTY,27,2005,5,37
EUTH REQ,FIELD OWN,7,2005,5,38
EUTH REQ,OTC OWNED,23,2005,5,39
KHS,STRAY,1,2005,5,40
OWNER SUR,FIELD,25,2005,5,41
OWNER SUR,OTC,103,2005,5,42
STRAY,,1,2005,5,43
STRAY,FIELD,271,2005,5,44
STRAY,OTC,339,2005,5,45
TRANSFER,,1,2005,5,46
CONFISCATE,,5,2005,6,47
CONFISCATE,BITE,1,2005,6,48
CONFISCATE,CRUELTY,17,2005,6,49
EUTH REQ,FIELD OWN,3,2005,6,50
EUTH REQ,OTC OWNED,23,2005,6,51
KHS,STRAY,14,2005,6,52
OWNER SUR,FIELD,23,2005,6,53
OWNER SUR,OTC,100,2005,6,54
RETURN,OTC,1,2005,6,55
STRAY,,4,2005,6,56
STRAY,FIELD,320,2005,6,57
STRAY,OTC,356,2005,6,58
CONFISCATE,BITE,1,2005,7,59
CONFISCATE,CRUELTY,14,2005,7,60
CONFISCATE,POLICE,1,2005,7,61
EUTH REQ,FIELD OWN,6,2005,7,62
EUTH REQ,OTC OWNED,26,2005,7,63
KHS,BITE,2,2005,7,64
KHS,STRAY,84,2005,7,65
OWNER SUR,,1,2005,7,66
OWNER SUR,FIELD,42,2005,7,67
OWNER SUR,OTC,124,2005,7,68
STRAY,,1,2005,7,69
STRAY,FIELD,337,2005,7,70
STRAY,OTC,364,2005,7,71
CONFISCATE,ABANDONED,2,2005,8,72
CONFISCATE,CRUELTY,27,2005,8,73
CONFISCATE,NEGLECT,5,2005,8,74
EUTH REQ,,1,2005,8,75
EUTH REQ,FIELD OWN,5,2005,8,76
EUTH REQ,OTC OWNED,34,2005,8,77
KHS,STRAY,71,2005,8,78
OWNER SUR,,1,2005,8,79
OWNER SUR,FIELD,28,2005,8,80
OWNER SUR,OTC,105,2005,8,81
RETURN,FIELD,1,2005,8,82
STRAY,,2,2005,8,83
STRAY,FIELD,354,2005,8,84
STRAY,OTC,379,2005,8,85
CONFISCATE,ABANDONED,1,2005,9,86
CONFISCATE,CRUELTY,17,2005,9,87
CONFISCATE,NEGLECT,3,2005,9,88
EUTH REQ,FIELD OWN,6,2005,9,89
EUTH REQ,OTC OWNED,28,2005,9,90
KHS,STRAY,56,2005,9,91
OWNER SUR,FIELD,30,2005,9,92
OWNER SUR,OTC,121,2005,9,93
STRAY,,2,2005,9,94
STRAY,FIELD,301,2005,9,95
STRAY,OTC,376,2005,9,96
CONFISCATE,ABANDONED,1,2005,10,97
CONFISCATE,BITE,1,2005,10,98
CONFISCATE,CRUELTY,4,2005,10,99
CONFISCATE,NEGLECT,10,2005,10,100
CONFISCATE,POLICE,1,2005,10,101
EUTH REQ,FIELD OWN,5,2005,10,102
EUTH REQ,OTC OWNED,31,2005,10,103
KHS,STRAY,78,2005,10,104
OWNER SUR,FIELD,24,2005,10,105
OWNER SUR,OTC,107,2005,10,106
RETURN,OTC,1,2005,10,107
STRAY,FIELD,308,2005,10,108
STRAY,OTC,311,2005,10,109
CONFISCATE,ABANDONED,1,2005,11,110
CONFISCATE,BITE,2,2005,11,111
CONFISCATE,CRUELTY,15,2005,11,112
CONFISCATE,HOSPITAL,1,2005,11,113
CONFISCATE,NEGLECT,21,2005,11,114
CONFISCATE,POLICE,1,2005,11,115
EUTH REQ,FIELD OWN,1,2005,11,116
EUTH REQ,OTC OWNED,12,2005,11,117
KHS,,1,2005,11,118
KHS,STRAY,37,2005,11,119
OWNER SUR,FIELD,32,2005,11,120
OWNER SUR,OTC,128,2005,11,121
STRAY,FIELD,291,2005,11,122
STRAY,OTC,331,2005,11,123
TRANSFER,AN CONTROL,1,2005,11,124
CONFISCATE,BITE,2,2005,12,125
CONFISCATE,CRUELTY,6,2005,12,126
CONFISCATE,NEGLECT,26,2005,12,127
EUTH REQ,FIELD OWN,2,2005,12,128
EUTH REQ,OTC OWNED,9,2005,12,129
KHS,,1,2005,12,130
KHS,STRAY,13,2005,12,131
OWNER SUR,FIELD,25,2005,12,132
OWNER SUR,OTC,174,2005,12,133
STRAY,,1,2005,12,134
STRAY,FIELD,291,2005,12,135
STRAY,OTC,312,2005,12,136
CONFISCATE,ABANDONED,14,2006,1,137
CONFISCATE,BITE,1,2006,1,138
CONFISCATE,NEGLECT,11,2006,1,139
EUTH REQ,,1,2006,1,140
EUTH REQ,FIELD OWN,2,2006,1,141
EUTH REQ,OTC OWNED,8,2006,1,142
KHS,OWNER SUR,1,2006,1,143
KHS,STRAY,11,2006,1,144
OWNER SUR,FIELD,43,2006,1,145
OWNER SUR,OTC,165,2006,1,146
STRAY,FIELD,340,2006,1,147
STRAY,OTC,290,2006,1,148
CONFISCATE,ABANDONED,7,2006,2,149
CONFISCATE,BITE,2,2006,2,150
CONFISCATE,CRUELTY,1,2006,2,151
CONFISCATE,NEGLECT,13,2006,2,152
EUTH REQ,FIELD OWN,1,2006,2,153
EUTH REQ,OTC OWNED,16,2006,2,154
KHS,STRAY,6,2006,2,155
OWNER SUR,FIELD,32,2006,2,156
OWNER SUR,OTC,110,2006,2,157
RETURN,OTC,2,2006,2,158
STRAY,FIELD,299,2006,2,159
STRAY,OTC,225,2006,2,160
CONFISCATE,ABANDONED,5,2006,3,161
CONFISCATE,BITE,1,2006,3,162
CONFISCATE,NEGLECT,30,2006,3,163
EUTH REQ,FIELD OWN,4,2006,3,164
EUTH REQ,OTC OWNED,19,2006,3,165
OWNER SUR,FIELD,45,2006,3,166
OWNER SUR,OTC,178,2006,3,167
RETURN,FIELD,3,2006,3,168
STRAY,FIELD,332,2006,3,169
STRAY,OTC,270,2006,3,170
CONFISCATE,ABANDONED,2,2006,4,171
CONFISCATE,BITE,10,2006,4,172
CONFISCATE,CRUELTY,5,2006,4,173
CONFISCATE,NEGLECT,22,2006,4,174
EUTH REQ,OTC OWNED,19,2006,4,175
KHS,BITE,2,2006,4,176
KHS,STRAY,4,2006,4,177
OWNER SUR,FIELD,62,2006,4,178
OWNER SUR,OTC,218,2006,4,179
RETURN,OTC,1,2006,4,180
STRAY,,1,2006,4,181
STRAY,FIELD,346,2006,4,182
STRAY,OTC,331,2006,4,183
TRANSFER,AN CONTROL,5,2006,4,184
CONFISCATE,ABANDONED,3,2006,5,185
CONFISCATE,BITE,2,2006,5,186
CONFISCATE,CRUELTY,7,2006,5,187
CONFISCATE,EVICTION,1,2006,5,188
CONFISCATE,NEGLECT,11,2006,5,189
CONFISCATE,POLICE,4,2006,5,190
EUTH REQ,FIELD OWN,5,2006,5,191
EUTH REQ,OTC OWNED,36,2006,5,192
KHS,STRAY,14,2006,5,193
OWNER SUR,FIELD,31,2006,5,194
OWNER SUR,OTC,270,2006,5,195
STRAY,,1,2006,5,196
STRAY,FIELD,484,2006,5,197
STRAY,OTC,451,2006,5,198
CONFISCATE,ABANDONED,2,2006,6,199
CONFISCATE,BITE,1,2006,6,200
CONFISCATE,NEGLECT,40,2006,6,201
EUTH REQ,FIELD OWN,8,2006,6,202
EUTH REQ,OTC OWNED,69,2006,6,203
KHS,OWNER SUR,3,2006,6,204
KHS,STRAY,39,2006,6,205
OWNER SUR,FIELD,50,2006,6,206
OWNER SUR,OTC,258,2006,6,207
RETURN,FIELD,3,2006,6,208
STRAY,FIELD,443,2006,6,209
STRAY,OTC,517,2006,6,210
CONFISCATE,ABANDONED,1,2006,7,211
CONFISCATE,BITE,3,2006,7,212
CONFISCATE,CRUELTY,1,2006,7,213
CONFISCATE,NEGLECT,15,2006,7,214
EUTH REQ,FIELD OWN,3,2006,7,215
EUTH REQ,OTC OWNED,34,2006,7,216
KHS,OWNER SUR,2,2006,7,217
KHS,STRAY,63,2006,7,218
OUTSURGERY,,3,2006,7,219
OWNER SUR,FIELD,25,2006,7,220
OWNER SUR,OTC,324,2006,7,221
RETURN,OTC,2,2006,7,222
STRAY,,3,2006,7,223
STRAY,FIELD,482,2006,7,224
STRAY,OTC,597,2006,7,225
CONFISCATE,BITE,6,2006,8,226
CONFISCATE,CRUELTY,2,2006,8,227
CONFISCATE,NEGLECT,47,2006,8,228
EUTH REQ,FIELD OWN,2,2006,8,229
EUTH REQ,OTC OWNED,30,2006,8,230
KHS,STRAY,45,2006,8,231
OUTSURGERY,,26,2006,8,232
OWNER SUR,FIELD,40,2006,8,233
OWNER SUR,OTC,240,2006,8,234
STRAY,FIELD,495,2006,8,235
STRAY,OTC,514,2006,8,236
CONFISCATE,BITE,5,2006,9,237
CONFISCATE,EVICTION,1,2006,9,238
CONFISCATE,NEGLECT,14,2006,9,239
CONFISCATE,POLICE,1,2006,9,240
EUTH REQ,FIELD OWN,7,2006,9,241
EUTH REQ,OTC OWNED,22,2006,9,242
KHS,STRAY,37,2006,9,243
OUTSURGERY,,16,2006,9,244
OWNER SUR,FIELD,22,2006,9,245
OWNER SUR,OTC,265,2006,9,246
RETURN,OTC,3,2006,9,247
STRAY,,1,2006,9,248
STRAY,FIELD,490,2006,9,249
STRAY,OTC,516,2006,9,250
CONFISCATE,ABANDONED,2,2006,10,251
CONFISCATE,BITE,1,2006,10,252
CONFISCATE,CRUELTY,1,2006,10,253
CONFISCATE,DANGER DOG,1,2006,10,254
CONFISCATE,EVICTION,1,2006,10,255
CONFISCATE,NEGLECT,17,2006,10,256
CONFISCATE,POLICE,4,2006,10,257
EUTH REQ,FIELD OWN,5,2006,10,258
EUTH REQ,OTC OWNED,20,2006,10,259
KHS,STRAY,18,2006,10,260
OUTSURGERY,,33,2006,10,261
OWNER SUR,FIELD,48,2006,10,262
OWNER SUR,OTC,230,2006,10,263
RETURN,OTC,1,2006,10,264
STRAY,FIELD,410,2006,10,265
STRAY,OTC,485,2006,10,266
CONFISCATE,ABANDONED,2,2006,11,267
CONFISCATE,BITE,1,2006,11,268
CONFISCATE,DANGER DOG,2,2006,11,269
CONFISCATE,NEGLECT,13,2006,11,270
EUTH REQ,FIELD OWN,7,2006,11,271
EUTH REQ,OTC OWNED,39,2006,11,272
OUTSURGERY,,38,2006,11,273
OWNER SUR,,1,2006,11,274
OWNER SUR,FIELD,22,2006,11,275
OWNER SUR,OTC,184,2006,11,276
RETURN,FIELD,1,2006,11,277
RETURN,OTC,3,2006,11,278
STRAY,FIELD,376,2006,11,279
STRAY,OTC,333,2006,11,280
CONFISCATE,ABANDONED,1,2006,12,281
CONFISCATE,DANGER DOG,1,2006,12,282
CONFISCATE,NEGLECT,17,2006,12,283
CONFISCATE,OWNER DIED,5,2006,12,284
EUTH REQ,FIELD OWN,2,2006,12,285
EUTH REQ,OTC OWNED,33,2006,12,286
KHS,STRAY,4,2006,12,287
OUTSURGERY,,35,2006,12,288
OWNER SUR,FIELD,41,2006,12,289
OWNER SUR,OTC,217,2006,12,290
QUARANTINE,MAS,1,2006,12,291
QUARANTINE,OWNER,2,2006,12,292
QUARANTINE,STRAY,1,2006,12,293
RETURN,OTC,1,2006,12,294
STRAY,,1,2006,12,295
