Is_Head_of_Household_,Age,Race,Gender,Ethnicity,Disability,Educational_Level,Employment_Status,Household_Type,ZIP_Code,Service_Id,Date,Program,Housing_Type,City,State,Total_Benefit,Council_District,Monthly_Income,ObjectId
1,56.0,African American,Female,Non-Hispanic,Disabled,Not Applicable,"Unemployed(Short - Term, 6 months or less)",Single Person,40216,1237585.0,2021/08/04 14:49:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,766.37,3.0,19056.0,1
0,10.0,African American,Male,Non-Hispanic,Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Person,40216,1237585.0,2021/08/04 14:49:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,766.37,3.0,19056.0,2
1,70.0,African American,Female,Non-Hispanic,Disabled,Advanced/Post-Secondary Degree,Unemployed(Not in Labor Force),Single Parent Female,40211,1500867.0,2022/01/19 11:11:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,1000.0,4.0,16572.0,3
0,17.0,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40211,1500867.0,2022/01/19 11:11:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,1000.0,4.0,16572.0,4
1,60.0,African American,Female,Non-Hispanic,Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Person,40216,1218035.0,2021/07/27 08:48:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,208.21,1.0,22164.0,5
0,13.0,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40211,1500867.0,2022/01/19 11:11:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,1000.0,4.0,16572.0,6
1,60.0,African American,Female,Non-Hispanic,Disabled,High School Graduate,Unemployed(Not in Labor Force),Single Person,40211,1458336.0,2021/12/16 12:27:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,671.92,5.0,9528.0,7
1,40.0,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,"Unemployed(Short - Term, 6 months or less)",Single Parent Female,40208,1449919.0,2021/12/10 10:54:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,654.69,15.0,0.0,8
0,13.0,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40208,1449919.0,2021/12/10 10:54:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,654.69,15.0,0.0,9
0,47.0,African American,Female,Non-Hispanic,Disabled,High School Graduate,Unemployed(Not in Labor Force),Multigenerational Household,40211,1448159.0,2021/12/09 15:45:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,1000.0,5.0,35950.32,10
