Reference_Id,Account,Agency_Application,Relief_Program,Application_Date,Relief_Amount,Household_Income,Household_Size,Financial_Hardship,Job_Loss,Reduced_Hours,Account_Type,Zip,Country,State,Location,Council_District,ObjectId
KW99-N4ZM-2XQV,2953610000.0,False,MCR,2021/10/01 00:00:00+00,1000.0,0.0,7.0,True,True,False,residential,40210.0,USA,Kentucky,"40210, Kentucky, USA",4.0,1
3ZMZ-ZVVW-KNM6,6478537819.0,True,MCR,2021/10/04 00:00:00+00,1000.0,0.0,2.0,True,True,False,residential,40208.0,USA,Kentucky,"40208, Kentucky, USA",6.0,2
LLLW-MM34-4PJY,5797827392.0,False,MCR,2021/10/05 00:00:00+00,1000.0,0.0,4.0,True,True,False,residential,40216.0,USA,Kentucky,"40216, Kentucky, USA",3.0,3
RP9V-L9NN-MZQ2,7670868189.0,False,MCR,2021/10/05 00:00:00+00,1000.0,0.0,7.0,True,True,False,residential,40212.0,USA,Kentucky,"40212, Kentucky, USA",5.0,4
PWR4-23Y2-KRNT,4572810000.0,True,MCR,2021/10/05 00:00:00+00,1000.0,0.0,7.0,True,True,False,residential,40214.0,USA,Kentucky,"40214, Kentucky, USA",25.0,5
VRYY-YV2Q-NHRN,4089200000.0,True,MCR,2021/10/07 00:00:00+00,1000.0,0.0,2.0,True,True,False,residential,40215.0,USA,Kentucky,"40215, Kentucky, USA",15.0,6
Z32R-2R3P-LVLZ,5355820000.0,False,MCR,2021/10/08 00:00:00+00,1000.0,0.0,4.0,True,True,False,residential,40218.0,USA,Kentucky,"40218, Kentucky, USA",1.0,7
2N3K-YLLR-3WQR,5408748349.0,True,MCR,2021/10/14 00:00:00+00,1000.0,0.0,4.0,True,True,False,residential,40272.0,USA,Kentucky,"40272, Kentucky, USA",14.0,8
PW99-QQWL-C2L9,4744373011.0,False,MCR,2021/10/15 00:00:00+00,1000.0,0.0,2.0,True,True,False,residential,40212.0,USA,Kentucky,"40212, Kentucky, USA",5.0,9
RQKL-VPKY-WHCZ,2664500000.0,False,MCR,2021/10/18 00:00:00+00,1000.0,0.0,2.0,True,True,False,residential,40118.0,USA,Kentucky,"40118, Kentucky, USA",13.0,10
QLNV-PK4L-X62X,176200000.0,True,MCR,2021/10/19 00:00:00+00,1000.0,0.0,1.0,True,True,False,residential,40212.0,USA,Kentucky,"40212, Kentucky, USA",5.0,11
RQQ9-3Z2Q-PPG3,4898969874.0,False,MCR,2021/10/19 00:00:00+00,1000.0,0.0,5.0,True,True,False,residential,40215.0,USA,Kentucky,"40215, Kentucky, USA",15.0,12
WVKQ-ZV2Y-3YNZ,4520900000.0,False,MCR,2021/10/25 00:00:00+00,1000.0,0.0,2.0,True,True,False,residential,40272.0,USA,Kentucky,"40272, Kentucky, USA",14.0,13
PW4M-3Z99-9X3R,8918710000.0,True,MCR,2021/10/26 00:00:00+00,1000.0,0.0,1.0,True,True,False,residential,40212.0,USA,Kentucky,"40212, Kentucky, USA",5.0,14
MQ3V-N4PL-FWVZ,8319447193.0,True,MCR,2021/10/28 00:00:00+00,1000.0,0.0,5.0,True,True,False,residential,40210.0,USA,Kentucky,"40210, Kentucky, USA",6.0,15
MM4L-PQK4-PJXV,2668993311.0,False,MCR,2021/10/28 00:00:00+00,1000.0,0.0,2.0,True,True,False,residential,40212.0,USA,Kentucky,"40212, Kentucky, USA",5.0,16
N49N-RQLL-XJJR,5203739283.0,False,MCR,2021/10/31 00:00:00+00,1000.0,0.0,1.0,True,True,False,residential,40208.0,USA,Kentucky,"40208, Kentucky, USA",3.0,17
ZV2N-K3Z4-JF3V,3957045418.0,False,MCR,2021/11/03 00:00:00+00,1000.0,0.0,8.0,True,True,False,residential,40214.0,USA,Kentucky,"40214, Kentucky, USA",25.0,18
YVMM-9MQ4-M6R3,5519710000.0,True,MCR,2021/10/05 00:00:00+00,499.41,0.0,3.0,True,False,True,residential,40216.0,USA,Kentucky,"40216, Kentucky, USA",3.0,19
ZQNM-4ZK9-CYKZ,7754038736.0,False,MCR,2021/11/03 00:00:00+00,1000.0,0.0,2.0,True,True,False,residential,40212.0,USA,Kentucky,"40212, Kentucky, USA",5.0,20
VYM4-RP2L-PKQG,8374509597.0,True,MCR,2021/11/04 00:00:00+00,1000.0,0.0,3.0,True,True,False,residential,40118.0,USA,Kentucky,"40118, Kentucky, USA",13.0,21
4PM3-4ZW3-FV3N,6003598970.0,True,MCR,2021/11/08 00:00:00+00,1000.0,0.0,5.0,True,True,False,residential,40258.0,USA,Kentucky,"40258, Kentucky, USA",14.0,22
9MLM-VY9R-932L,2765644542.0,True,MCR,2021/10/05 00:00:00+00,675.41,0.0,2.0,True,False,True,residential,40214.0,USA,Kentucky,"40214, Kentucky, USA",21.0,23
