Eligible,Zip_Code,DPA_Cond_Commit__Amount,Purchase_Price,Closing_Date,Before_1978_,Loan_Type,First_Time_Homeowner,F__of_Bedrooms,AMI,Race,Household_Size,Household_Type,HH_Monthly_Income,New_Construction,Neighborhood,Council_Dist_,Date_Closed,ObjectId
Closed,40215,32000,160000,7/7/2022,Yes,FHA,Yes,1,60-80%,African American,2,Single Parent,3787.67,No,Shawnee,5,7-Jul-22,1
Closed,40216,34000,170000,7/15/2022,Yes,FHA,Yes,3,50-60%,African American,5,Single Parent,4101.67,No,PRP,1,15-Jul-22,2
Closed,40218,40000,200000,7/19/2022,No,Conventional,Yes,3,60-80%,Others,5,Two Parents,5246.25,No,Bon Air,26,19-Jul-22,3
Closed,40212,3000,112000,7/20/2022,No,Conventional,Yes,3,50-60%,African American,3,Single Parent,3375.76,No,Russell,5,20-Jul-22,4
Closed,40218,28650,191000,7/21/2022,No,Conventional,Yes,3,30-50%,African American,5,Single Parent,3104.83,No,Unicorp,2,21-Jul-22,5
Closed,40210,23800,119000,7/25/2022,No,FHA,Yes,4,50-60%,African American,4,Single Parent,3218.01,No,Park Hill,4,25-Jul-22,6
Closed,40212,22000,110000,7/26/2022,No,Conventional,Yes,3,50-60%,African American,1,Single/Non-Elderly,2416.92,No,Russell,5,26-Jul-22,7
Closed,40216,31000,155000,7/26/2022,Yes,FHA,Yes,3,60-80%,African American,1,Single/Non-Elderly,3504.58,No,St. Dennis,1,26-Jul-22,8
Closed,40216,30800,154000,7/29/2022,Yes,Conventional,Yes,3,60-80%,African American,1,Single/Non-Elderly,2896.33,No,St. Dennis,1,29-Jul-22,9
Closed,40215,31200,156000,7/29/2022,Yes,Conventional,Yes,3,50-60%,African American,3,Single Parent,3239.58,No,Beechmont,21,29-Jul-22,10
Closed,40211,40000,200000,8/3/2022,Yes,Conventional,Yes,3,50-60%,African American,3,Single Parent,3420.49,No,Chickasaw,5,3-Aug-22,11
Closed,40245,33000,165000,8/3/2022,No,Conventional,Yes,3,60-80%,African American,1,Single/Non-Elderly,3468.25,Yes,Unicorp,19,3-Aug-22,12
Closed,40204,37400,187000,8/4/2022,Yes,Conventional,Yes,2,60-80%,African American,1,Single/Non-Elderly,3447.71,No,Germantown,6,4-Aug-22,13
Closed,40212,14600,73000,8/15/2022,Yes,Conventional,Yes,2,0-30%,White,1,Single/Non-Elderly,1219.0,No,Shawnee,5,15-Aug-22,14
Closed,40212,34000,170000,8/17/2022,Yes,Conventional,Yes,3,30-50%,African American,6,Single Parent,3203.17,No,Shawnee,5,17-Aug-22,15
Closed,40258,40000,190000,8/19/2022,No,FHA,Yes,3,60-80%,Mixed Race,4,Single Parent,5038.58,No,Unicorp,12,19-Aug-22,16
Closed,40211,38000,190000,8/23/2022,Yes,FHA,Yes,3,50-60%,African American,3,Single Parent,2993.08,No,Shawnee,5,23-Aug-22,17
Closed,40210,34500,175000,8/26/2022,Yes,FHA,Yes,5,60-80%,African American,6,Two Parents,77240.8,No,California,4,26-Aug-22,18
Closed,40216,29400,196000,8/29/2022,Yes,Conventional,Yes,3,0-30%,African American,4,Single Parent,22416.0,No,St. Dennis,1,29-Aug-22,19
Closed,40216,44000,220000,9/7/2022,Yes,FHA,Yes,3,60-80%,African American,6,Single Parent,5912.83,No,Shively,3,,20
Closed,40210,41800,209000,8/5/2022,Yes,Conventional,Yes,3,60-80%,African American,4,Single Parent,4583.33,No,Hallmark,3,7-Sep-22,21
Closed,40211,16000,80000,9/8/2022,Yes,FHA,Yes,3,30-50%,African American,2,Single Parent,1933.75,No,Shawnee,5,,22
Closed,40215,21000,105000,9/14/2022,Yes,FHA,Yes,2,60-80%,African American,1,Single/Non-Elderly,3139.33,No,Jacobs,3,14-Sep-22,23
Closed,40216,36800,185000,9/20/2022,Yes,FHA,Yes,3,0-30%,African American,3,Single Parent,2499.33,No,Shively,5,,24
Closed,40258,42000,210000,9/20/2022,Yes,FHA,Yes,3,60-80%,African American,1,Single/Non-Elderly,55802.0,No,PRP,4,,25
Closed,40219,43600,218000,9/22/2022,Yes,FHA,Yes,3,60-80%,African American,3,Single Parent,56544.44,No,Okolona,13,,26
Closed,40208,30400,155000,9/23/2022,Yes,FHA,Yes,4,30-50%,African American,5,Single Parent,45605.0,No,South Louisville,3,,27
Closed,40211,16875,112500,9/29/2022,Yes,Conventional,Yes,3,0-30%,African American,1,Single/Non-Elderly,,No,Russell,4,,28
Closed ,40218,18800,125000,10/3/2022,No,FHA,Yes,3,0-30%,White,2,Other,1260.0,No,West Buechel,10,44837,29
Closed ,40245,19500,129900,10/12/2022,No,Conventional,Yes,2,0-30%,African American,1,Elderly,861.0,No,Worthington Hills,17,44846,30
Closed ,40203,42100,210600,10/12/2022,Yes,Conventional,Yes,4,60-80%,African American,2,Single Parent,4384.83,No,Portland,5,44846,31
Closed ,40229,24600,160000,10/14/2022,Yes,Conventional,Yes,3,0-30%,White,2,Single Parent,2695.33,No,Jefferson Forest,24,44848,32
Closed ,40203,32400,165000,10/5/2022,No,Conventional,Yes,3,60-80%,African American,2,Single Parent,3484.67,No,Smoketown Jackson,4,44839,33
Closed ,40258,35200,180000,10/20/2022,No,Conventional,Yes,3,60-80%,African American,3,Single Parent,4228.67,No,PRP,1,44854,34
Closed ,40213,28300,144000,10/17/2022,Yes,Conventional,Yes,2,60-80%,African American,1,Single/Non-Elderly,3544.93,No,Newburg,2,44851,35
Closed ,40216,35000,188000,10/21/2022,Yes,FHA,Yes,3,60-80%,African American,5,Single Parent,5334.29,No,St. Dennis,1,44855,36
Closed ,40219,39000,195000,10/26/2022,Yes,Conventional,Yes,3,30-50%,White,4,Single Parent,3562.11,No,Okolona,24,44860,37
Closed ,40216,30000,150000,10/25/2022,Yes,Conventional,No,3,60-80%,African American,1,Elderly,3424.92,No,Shively,3,44859,38
Closed ,40218,43400,217000,10/27/2022,Yes,Conventional,Yes,3,60-80%,Others,3,Single Parent,4333.0,No,Bon Air,26,44861,39
Closed ,40218,25800,129000,10/26/2022,Yes,Conventional,Yes,2,60-80%,African American,2,Single Parent,4117.75,No,Bashford Manor,10,44860,40
Closed ,40216,32000,160000,10/28/2022,Yes,Conventional,Yes,3,60-80%,African American,3,Single/Non-Elderly,3215.75,No,St.Dennis,1,44862,41
Closed ,40229,30800,205000,10/28/2022,Yes,Conventional,Yes,3,0-30%,White,3,Single Parent,861.0,No,Okolona,24,44862,42
