Case_Id,Case_Status,Case_ProgramYear,ZipCode,Contact_DistrictLocation,Contact_Neighborhood,InquiryForm_1978,InquiryForm_Children,InquiryForm_Disabled,InquiryForm_Elderly,Household_Size,Household_AMIRatio,Borrower_1_Ethnicity,Borrower_1_Gender,Borrower_1_Race,Funding_ARP_AmericanRescuePlan,ObjectId
10757,Initial Inspection,2022,40212,5,Shawnee,Yes,No,Yes,Yes,1.0,21.80%,Non-Hispanic,Male,African American, $-   ,1
10776,Initial Inspection,2022,40216,3,Shively,Yes,Yes,No,No,4.0,33.86%,Non-Hispanic,Female,African American,"$2,139.51 ",2
11919,Case in Progress,2022,40211,5,Shawnee,Yes,No,No,Yes,2.0,44.88%,Non-Hispanic,Female,African American, $-   ,3
11933,Case Closed,2022,40210,3,Algonquin,Yes,No,Yes,Yes,1.0,21.52%,Non-Hispanic,Female,African American,"$24,334.52 ",4
11934,Initial Inspection,2022,40210,6,Park Hill,Yes,No,No,No,2.0,77.08%,Unknown,Female,African American,"$5,108.39 ",5
11954,Case Closed,2022,40216,3,Shively,Yes,No,No,No,3.0,44.35%,Unknown,Female,African American,"$13,175.00 ",6
11975,Ready for Assignment,2023,40216,3,,Yes,No,No,Yes,1.0,30.02%,Non-Hispanic,Female,African American, $-   ,7
11983,Initial Inspection,2022,40211,4,California,Yes,No,Yes,No,2.0,69.10%,Non-Hispanic,Male,African American,"$24,178.15 ",8
11990,Case Closed,2022,40211,4,Parkland,No,No,Yes,Yes,1.0,64.08%,Non-Hispanic,Male,African American, $-   ,9
12001,Initial Inspection,2022,40210,3,Sunnydale,Yes,Yes,Yes,Yes,1.0,70.12%,Non-Hispanic,Female,African American,"$5,108.39 ",10
12004,Case Closed,2022,40211,1,Park Duvalle,No,No,No,No,2.0,12.36%,Non-Hispanic,Female,African American,"$10,555.39 ",11
12016,Case Closed,2022,40211,4,Russell,Yes,Yes,No,Yes,1.0,20.05%,Non-Hispanic,Female,,"$24,895.63 ",12
12035,Initial Inspection,2022,40216,3,Cloverleaf,Yes,No,Yes,No,1.0,19.54%,Non-Hispanic,Male,African American, $-   ,13
12038,Initial Inspection,2022,40216,12,Pleasure Ridge park,Yes,No,Yes,Yes,2.0,57.97%,Non-Hispanic,Male,White, $-   ,14
12418,Case in Progress,2022,40211,5,Chickasaw ,Yes,No,Yes,Yes,1.0,44.21%,Non-Hispanic,Female,African American, $-   ,15
12627,Case in Progress,2022,40212,5,Shawnee,Yes,No,No,No,1.0,36.50%,Non-Hispanic,Male,African American,"$29,314.63 ",16
12642,Case Closed,2022,40216,3,Shively,Yes,No,Yes,Yes,5.0,20.03%,Non-Hispanic,Female,African American,"$23,560.45 ",17
12739,Initial Inspection,2022,40212,5,Russell,Yes,No,No,No,1.0,94.41%,Non-Hispanic,Male,African American,$813.54 ,18
12752,Initial Inspection,2022,40211,5,Russell,Yes,No,No,No,1.0,74.33%,Non-Hispanic,Male,African American, $-   ,19
12821,Application In Progress,2022,40215,15,Wyandotte,No,Yes,No,No,3.0,55.08%,Unknown,Female,Unknown, $-   ,20
12870,Application In Progress,2022,40211,1,Park Duvalle,No,No,No,No,1.0,147.92%,Non-Hispanic,Male,African American, $-   ,21
12984,Case In Progress 2,2022,40210,2,Newburg,Yes,No,No,Yes,1.0,22.61%,Non-Hispanic,Female,African American,"$30,850.00 ",22
13009,Case in Administrative Review,2022,40211,5,Chickasaw,Yes,No,No,No,1.0,67.15%,Non-Hispanic,Female,African American,"$22,876.44 ",23
13133,Initial Inspection,2022,40216,12,Pleasure Ridge Park,Yes,No,Yes,No,3.0,78.45%,Non-Hispanic,Female,White, $-   ,24
13134,Ready for Assignment,2023,40218,2,Newburg,Yes,No,No,No,2.0,56.31%,Non-Hispanic,Female,African American, $-   ,25
13639,Case Monitoring,2022,40211,5,Chickasaw,Yes,No,No,No,1.0,0.00%,Non-Hispanic,Male,African American,"$21,364.70 ",26
13772,Case in Administrative Review,2022,40211,1,Park DuValle,Yes,Yes,No,No,4.0,0.00%,Non-Hispanic,Male,African American,"$25,108.39 ",27
13786,Case in Progress,2022,40212,5,Portland,Yes,No,No,Yes,2.0,71.20%,Non-Hispanic,Male,African American, $-   ,28
13787,Case in Progress,2022,40213,2,Newburg,No,No,Yes,No,1.0,18.60%,Non-Hispanic,Male,White,"$5,269.82 ",29
15542,Case Closed,2022,40211,5,Chickasaw,Yes,No,Yes,Yes,1.0,30.62%,Non-Hispanic,Male,African American,"$20,650.00 ",30
15623,Ready for Assignment,2023,40212,5,Shawnee,Yes,No,Yes,Yes,2.0,58.97%,Non-Hispanic,Female,African American, $-   ,31
15626,Ready for Assignment,2023,40204,6,Paristown Pointe,No,No,No,No,1.0,46.86%,Non-Hispanic,Male,White, $-   ,32
15641,Ready for Assignment,2023,40219,2,Newburg,No,No,Yes,Yes,2.0,50.40%,Non-Hispanic,Male,African American, $-   ,33
15664,Ready for Assignment,2023,40214,21,Kenwood Hill,Yes,Yes,No,No,6.0,33.52%,Unknown,,, $-   ,34
15683,Ready for Assignment,2023,40213,21,Lynnview,Yes,No,Yes,No,1.0,18.11%,Non-Hispanic,Female,, $-   ,35
15685,Application In Progress,2023,40210,6,Algonquin,Yes,Yes,No,No,4.0,34.96%,Non-Hispanic,Female,Others, $-   ,36
15734,Ready for Assignment,2023,40216,1,St. Dennis,Yes,No,No,No,1.0,8.21%,Non-Hispanic,Female,African American, $-   ,37
15753,Application In Progress,2023,40215,15,Wyandotte,Yes,Yes,No,No,5.0,0.00%,Hispanic,Female,African American, $-   ,38
15758,Ready for Assignment,2023,40211,1,Park DuValle,Yes,No,No,Yes,1.0,30.98%,Non-Hispanic,Female,African American, $-   ,39
15784,Ready for Assignment,2023,40214,21,Iroquois,No,Yes,Yes,No,4.0,22.66%,Unknown,,White, $-   ,40
15815,Ready for Assignment,2023,40211,5,Shawnee ,Yes,Yes,Yes,No,1.0,31.43%,Non-Hispanic,Female,African American, $-   ,41
15829,Case in Administrative Review,2023,40216,12,Pleasure Ridge Park ,Yes,No,Yes,Yes,1.0,28.63%,Unknown,,,"$15,400.00 ",42
15848,Ready for Assignment,2023,40204,6,Parristown Pointe,No,No,Yes,Yes,1.0,35.51%,Non-Hispanic,Female,White, $-   ,43
15863,Application In Progress,2023,40211,1,Park Duvalle,No,Yes,No,No,3.0,37.82%,Unknown,Female,African American, $-   ,44
15903,Ready for Assignment,2023,40212,5,Shawnee,Yes,Yes,No,No,3.0,74.00%,Non-Hispanic,Female,African American, $-   ,45
