ID,Zip_Code,Tenant_Age,Tenant_Gender,Tenant_Race,Hispanic_Y_N,Month_s__Covered,Verified_Monthly_Income,F__in_house__hold,Amount_Paid,Date_Paid,Council_District,ObjectId
238,40210.0,35,Female,African American,Non-Hispanic,dep/nov/dec,650,1.0,2400.0,12/20/2021,6.0,1
172,40210.0,29,Male,African American,Non-Hispanic,deposit,0,1.0,1012.5,12/20/2021,6.0,2
320,40203.0,30,Female,African American,Non-Hispanic,deposit,1700,3.0,800.0,12/20/2021,4.0,3
319,40214.0,53,Female,White,Non-Hispanic,dep/nov/dec,1684,1.0,1425.0,12/20/2021,25.0,4
167,40214.0,38,Male,White,Non-Hispanic,Dec deposit,0,1.0,1300.0,12/20/2021,21.0,5
346,40215.0,33,Male,African American,Non-Hispanic,dep/dec/jan,2400,2.0,2200.0,12/20/2021,21.0,6
352,40203.0,35,Female,African American,Non-Hispanic,Dec/Nov,2500,4.0,2125.0,12/20/2021,4.0,7
353,40203.0,56,Male,African American,Non-Hispanic,dep/dec/jan,2500,1.0,2712.0,12/20/2021,6.0,8
342,40204.0,63,Male,African American,unknown,dep/Dec/Jan,2300,2.0,2712.5,12/20/2021,8.0,9
361,40202.0,39,Female,African American,Non-Hispanic,dep/Dec/Jan,2743,4.0,3000.0,12/20/2021,26.0,10
168,40215.0,31,Female,White,Non-Hispanic,Deposit,0,4.0,850.0,12/20/2021,15.0,11
46,40206.0,23,Male,African American,Non-Hispanic,Sept deposit and rent,,1.0,891.0,9/13/21 and 9/25/21,4.0,12
262,40077.0,47,Female,African American,Non-Hispanic,dep/dec/jan,804,2.0,1727.0,12/20/2021,,13
254,40216.0,25,Female,Unknown,Hispanic,Dec deposit,794,3.0,375.0,12/17/2021,1.0,14
314,40258.0,43,Male,African American,Non-Hispanic,Dec deposit and Dec and Jan rent,1600,3.0,1750.0,12/17/2021,14.0,15
42,40216.0,37,Female,White,Non-Hispanic,deposit / january,,4.0,829.0,12/17/2021,1.0,16
494,40212.0,30,Female,African American,Non-Hispanic,deposit,18000,5.0,1100.0,12/17/2021,5.0,17
611,40208.0,51,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,41000,2.0,2680.0,6/10/2022,6.0,18
359,40212.0,45,Male,African American,Non-Hispanic,Deposit + 2 Months Rent,2700,1.0,2325.0,5/27/2022,5.0,19
52,40212.0,57,Female,White,Non-Hispanic,Deposit/January,,5.0,1500.0,12/17/2021,5.0,20
508,40212.0,52,Female,White,Non-Hispanic,Deposit + 2 Months Rent,19200,1.0,2370.0,5/27/2022,5.0,21
514,40215.0,38,Female,White,Non-Hispanic,Deposit + 2 Months Rent,20400,2.0,1115.0,5/25/2022,3.0,22
11,40211.0,25,Female,White,Non-Hispanic,deposit / january,1583,4.0,1550.0,12/17/2021,5.0,23
605,40216.0,34,Male,White,Non-Hispanic,Deposit + 2 Months Rent,38400,2.0,4200.0,5/18/2022,1.0,24
166,40203.0,28,Female,African American,Non-Hispanic,Dec deposit and rent,0,5.0,100.0,12/17/2021,4.0,25
555,40258.0,37,Female,White,Non-Hispanic,Deposit + 2 Months Rent,26500,2.0,3450.0,5/12/2022,14.0,26
35,40208.0,49,Male,African American,Non-Hispanic,Dec and Jan rent,,1.0,1300.0,12/17/2021,6.0,27
175,40211.0,38,Female,African American,Non-Hispanic,Deposit + 2 Months Rent,0,6.0,1400.0,5/12/2022,5.0,28
536,40211.0,46,Female,White,Non-Hispanic,Deposit + 2 Months Rent,24000,1.0,2274.0,5/12/2022,5.0,29
255,40217.0,31,Female,African American,Non-Hispanic,dep/Nov/Dec,794,4.0,2350.0,12/17/2021,15.0,30
