conc,MCCCountryCode,FundCode,ProjectCode,ActivityCode,hierarchy_level,start_planned,end_planned,start_actual,end_actual,status
---2750BX69GD,---,2750BX69GD,,,1,7/1/2005,12/31/2021,7/1/2005,,1
---1031BXPEPD,---,1031BXPEPD,,,1,4/1/2015,12/31/2021,4/1/2015,,1
---2750BX64GD,---,2750BX64GD,,,1,4/1/2011,9/30/2019,4/1/2011,9/30/2019,4
---2750AXADMD,---,2750AXADMD,,,1,1/1/2004,12/31/2021,1/1/2004,,1
---2750BX69GDNANA,---,2750BX69GD,,,3,7/1/2007,3/31/2021,7/1/2007,3/31/2021,5
---2750BX64GDNANA,---,2750BX64GD,,,3,4/1/2011,9/30/2019,4/1/2011,9/30/2019,5
---2750BXDILD,---,2750BXDILD,,,1,9/29/2006,12/31/2021,9/29/2006,,1
---2750BXCOMDNANA,---,2750BXCOMD,,,3,4/1/2007,3/31/2021,4/1/2007,3/31/2021,5
---2750BXCOMD,---,2750BXCOMD,,,1,9/29/2006,3/31/2021,9/29/2006,3/31/2021,5
---2750BXTHRDNANA,---,2750BXTHRD,,,3,7/1/2005,3/31/2021,7/1/2005,3/31/2021,5
---2750BXTHRD,---,2750BXTHRD,,,1,9/29/2005,3/31/2021,9/29/2005,3/31/2021,5
1BE2750BXDILD,1BE,2750BXDILD,,,1,4/1/2019,4/1/2024,4/1/2019,,1
1NE2750BXDILD,1NE,2750BXDILD,,,1,7/1/2020,7/1/2025,7/1/2020,,1
ALB2750BXDILD,ALB,2750BXDILD,,,1,4/1/2011,4/1/2016,4/1/2011,,1
ALB2750BXTHRD,ALB,2750BXTHRD,,,1,4/3/2006,11/15/2008,4/3/2006,11/15/2008,4
ARM2750BXDILDENVML ASMTNA,ARM,2750BXDILD,ENVML ASMT,,3,10/1/2007,3/31/2008,10/1/2007,3/31/2008,5
ARM2750BXDILDCORP FUNCTNA,ARM,2750BXDILD,CORP FUNCT,,3,1/1/2008,9/30/2020,1/1/2008,9/30/2020,5
ARM2750BXDILD,ARM,2750BXDILD,,,1,7/1/2005,7/1/2010,7/1/2005,,1
ARM2750BXCOMDIRRIG AGRI0017,ARM,2750BXCOMD,IRRIG AGRI,0017,3,9/29/2006,6/30/2013,9/29/2006,6/30/2013,5
ARM2750BXCOMDNANA,ARM,2750BXCOMD,,,3,9/29/2006,9/30/2012,9/29/2006,9/30/2012,5
ARM2750BXCOMDRURAL DEVL0113,ARM,2750BXCOMD,RURAL DEVL,0113,3,9/29/2006,3/31/2013,9/29/2006,3/31/2013,5
ARM2750BXCOMDRURAL ROAD0115,ARM,2750BXCOMD,RURAL ROAD,0115,3,9/29/2006,3/31/2013,9/29/2006,3/31/2013,5
ARM2750BXCOMDIRRIG AGRI0039,ARM,2750BXCOMD,IRRIG AGRI,0039,3,9/29/2006,12/31/2011,9/29/2006,12/31/2011,5
ARM2750BX69GDADMIN0107,ARM,2750BX69GD,ADMIN,0107,3,9/29/2006,6/30/2007,9/29/2006,6/30/2007,5
ARM2750BXCOMDRURAL DEVL0236,ARM,2750BXCOMD,RURAL DEVL,0236,3,9/29/2006,9/29/2011,9/29/2006,9/29/2011,5
ARM2750BXCOMDRURAL ROAD0158,ARM,2750BXCOMD,RURAL ROAD,0158,3,9/29/2006,9/29/2011,9/29/2006,9/29/2011,5
ARM2750BXCOMD,ARM,2750BXCOMD,,,1,9/29/2006,9/29/2011,9/29/2006,9/29/2011,4
ARM2750BX69GD,ARM,2750BX69GD,,,1,9/29/2006,9/29/2011,9/29/2006,,1
ARM2750BXCOMDIRAGINFR0017,ARM,2750BXCOMD,IRAGINFR,0017,3,9/29/2006,12/31/2010,9/29/2006,12/31/2010,5
ARM2750BXCOMDIRAGINFR0016,ARM,2750BXCOMD,IRAGINFR,0016,3,9/29/2006,3/31/2010,9/29/2006,3/31/2010,5
ARM2750BXCOMDIRRIG AGRI0116,ARM,2750BXCOMD,IRRIG AGRI,0116,3,9/29/2006,9/30/2008,9/29/2006,9/30/2008,5
