Year,Renewal Due Month,Renewal Processing Timeframe,County,SAWS,Eligibility Financial Method,Renewals Due ,Renewals Completed,Renewals Completed by Due Date,Continued Medi-Cal Eligibility, Auto Ex-Parte, Manual Ex-Parte,Discontinued - Failure to Respond,Discontinued - Over Income (MAGI) / Over property (Non-MAGI),Discontinued - Other Reasons,Reinstated,Annotation Code,Annotation Code Description
2018,2018-01,January 2018 - April 2018,Alameda,CalWIN,MAGI,"22,762","20,136","15,161","14,997","7,531",15,"4,067",466,489,"1,974",,
2018,2018-01,January 2018 - April 2018,Contra Costa,CalWIN,MAGI,"15,652","14,145","10,561","11,101","5,385",38,"2,154",163,696,990,,
2018,2018-01,January 2018 - April 2018,Fresno,CalWIN,MAGI,"34,273","34,085","31,269","29,265","11,450",128,902,364,"3,091","1,953",,
2018,2018-01,January 2018 - April 2018,Orange,CalWIN,MAGI,"58,023","54,665","41,598","44,368","20,237",116,"6,502",596,"2,987","4,307",,
2018,2018-01,January 2018 - April 2018,Placer,CalWIN,MAGI,"3,963","3,850","3,115","3,094","1,352",66,441,47,236,255,,
2018,2018-01,January 2018 - April 2018,Sacramento,CalWIN,MAGI,"30,493","29,807","24,191","22,360","13,497",29,"4,589",649,"1,611","2,818",,
2018,2018-01,January 2018 - April 2018,San Diego ,CalWIN,MAGI,"61,360","60,283","51,018","48,635","19,810",181,"6,793",780,"2,864","3,174",,
2018,2018-01,January 2018 - April 2018,San Francisco,CalWIN,MAGI,"13,306","13,239","11,957","10,748","5,657",22,"1,519",188,580,782,,
2018,2018-01,January 2018 - April 2018,San Luis Obispo,CalWIN,MAGI,"4,104","3,928","3,120","3,045","1,300",19,520,74,237,333,,
2018,2018-01,January 2018 - April 2018,San Mateo,CalWIN,MAGI,"11,749","11,380","9,455","9,563","2,580",78,"1,006",103,584,705,,
2018,2018-01,January 2018 - April 2018,Santa Barbara,CalWIN,MAGI,"11,119","9,860","8,362","8,380","2,228",19,992,73,390,551,,
2018,2018-01,January 2018 - April 2018,Santa Clara,CalWIN,MAGI,"29,902","29,850","26,647","25,367","9,630",90,"2,446",515,"1,312","1,761",,
2018,2018-01,January 2018 - April 2018,Santa Cruz,CalWIN,MAGI,"5,574","5,212","4,641","4,365","1,514",26,608,42,157,338,,
2018,2018-01,January 2018 - April 2018,Solano,CalWIN,MAGI,"7,508","7,204","5,858","5,567","2,575",13,"1,049",106,349,565,,
2018,2018-01,January 2018 - April 2018,Sonoma,CalWIN,MAGI,"8,234","7,081","5,908","5,725","2,396",39,965,76,324,427,,
2018,2018-01,January 2018 - April 2018,Tulare,CalWIN,MAGI,"18,743","18,648","16,815","16,376","4,266",93,"1,234",170,617,944,,
2018,2018-01,January 2018 - April 2018,Ventura,CalWIN,MAGI,"19,996","19,884","16,242","17,069","4,869",45,"1,697",231,610,919,,
2018,2018-01,January 2018 - April 2018,Yolo,CalWIN,MAGI,"4,617","4,529","3,502","3,450","1,010",9,721,72,225,714,,
2018,2018-01,January 2018 - April 2018,Alameda,CalWIN,NON-MAGI,"3,911","2,918","1,818","1,738",0,,909,10,244,412,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Contra Costa,CalWIN,NON-MAGI,"1,698","1,331",684,943,0,,233,,172,130,1.0,Cell Suppressed For Small Numbers
