OBJECTID,GEOID10,Under18_Tot,Under5_Tot,Under5_ER,Under5_Hosp,FivePlus_Tot,FivePlus_ER,Tot_ER_Visits,Tot_Hosp_Visits,AsthmaCt,Diabetes1Ct,Diabetes2Ct,DiabetesOtherCt,PctUndr5ER,PctOvr5ER,PctAsthma,PctDiabetes,Shape__Area,Shape__Length
1,260690002003,94.0,38.0,13.0,25.0,56.0,25.0,38.0,56.0,,0,0,0,0.342105263157895,0.446428571428571,,0.0,1502986425.02441,201565.734631545
2,260690005001,27.0,9.0,,6.0,18.0,7.0,10.0,17.0,,0,0,0,,0.388888888888889,,0.0,14439995.1972656,18796.2632415181
3,260690005003,41.0,18.0,7.0,11.0,23.0,9.0,16.0,25.0,,0,0,0,0.388888888888889,0.391304347826087,,0.0,13629574.4570313,17639.3719683503
4,260690007001,78.0,34.0,11.0,23.0,44.0,19.0,30.0,48.0,,0,0,0,0.323529411764706,0.431818181818182,,0.0,1855685417.89063,223322.295988753
5,260690007002,63.0,32.0,10.0,22.0,31.0,12.0,22.0,41.0,,0,0,0,0.3125,0.387096774193548,,0.0,986175798.370117,144930.499529547
6,260250008001,72.0,35.0,11.0,24.0,37.0,15.0,26.0,46.0,,0,0,0,0.314285714285714,0.405405405405405,,0.0,13716645.8154297,24525.3546383847
7,260250009002,59.0,31.0,11.0,20.0,28.0,11.0,22.0,37.0,,0,0,0,0.354838709677419,0.392857142857143,,0.0,14391520.7373047,15998.2372468731
8,260250009001,51.0,25.0,11.0,14.0,26.0,10.0,21.0,30.0,,0,0,0,0.44,0.384615384615385,,0.0,31624650.1401367,22604.3604946494
9,260250010001,60.0,29.0,11.0,18.0,31.0,14.0,25.0,35.0,6.0,0,0,0,0.379310344827586,0.451612903225806,0.1,0.0,11704096.6953125,15758.8154152621
10,260250010004,59.0,29.0,12.0,17.0,30.0,14.0,26.0,33.0,,0,0,0,0.413793103448276,0.466666666666667,,0.0,8803203.17431641,13166.8582602747
11,260250010003,48.0,24.0,9.0,15.0,24.0,9.0,18.0,30.0,,0,0,0,0.375,0.375,,0.0,7018349.37109375,10601.6122168218
12,260250011002,68.0,27.0,9.0,18.0,41.0,18.0,27.0,41.0,,0,0,0,0.333333333333333,0.439024390243902,,0.0,12156407.8120117,15501.3324338286
13,260250011003,51.0,28.0,10.0,18.0,23.0,8.0,18.0,33.0,,0,0,0,0.357142857142857,0.347826086956522,,0.0,18970915.1286621,24011.3625200343
14,260250011001,81.0,43.0,14.0,29.0,38.0,15.0,29.0,52.0,,0,0,0,0.325581395348837,0.394736842105263,,0.0,30651298.2397461,25486.0154129955
15,260250012001,73.0,38.0,15.0,23.0,35.0,13.0,28.0,45.0,,0,0,0,0.394736842105263,0.371428571428571,,0.0,30588028.8879395,25324.8820775437
16,261112916011,53.0,24.0,9.0,15.0,29.0,13.0,22.0,31.0,,0,0,0,0.375,0.448275862068966,,0.0,803843907.854492,123388.091566379
17,261112916022,32.0,16.0,7.0,9.0,16.0,8.0,15.0,17.0,,0,0,0,0.4375,0.5,,0.0,320847225.422852,84211.6649291423
18,261112917002,124.0,71.0,26.0,45.0,53.0,21.0,47.0,77.0,,0,0,0,0.366197183098592,0.39622641509434,,0.0,419533578.249023,95297.9432035452
19,261112916024,26.0,11.0,,7.0,15.0,7.0,11.0,15.0,,0,0,0,,0.466666666666667,,0.0,66782811.5400391,47468.9227138351
