OBJECTID,GEOID10,Under18_Tot,Under5_Tot,Under5_ER,Under5_Hosp,FivePlus_Tot,FivePlus_ER,Tot_ER_Visits,Tot_Hosp_Visits,AsthmaCt,Diabetes1Ct,Diabetes2Ct,DiabetesOtherCt,PctUndr5ER,PctOvr5ER,PctAsthma,PctDiabetes,Shape__Area,Shape__Length
1,2615788080,20.0,10.0,,7.0,10.0,,8.0,12.0,,0,0,0,,,,0.0,715929146.019531,122150.757760598
2,2615785280,82.0,37.0,13.0,24.0,45.0,18.0,31.0,51.0,6.0,0,0,0,0.351351351351351,0.4,0.0731707317073171,0.0,989088201.226563,125836.688279485
3,2615784460,75.0,37.0,13.0,24.0,38.0,15.0,28.0,47.0,,0,0,0,0.351351351351351,0.394736842105263,,0.0,918262386.817383,121585.123445229
4,2615703220,72.0,35.0,12.0,23.0,37.0,14.0,26.0,46.0,,0,0,0,0.342857142857143,0.378378378378378,,0.0,933814685.35791,122160.464291127
5,2615701620,107.0,55.0,22.0,33.0,52.0,23.0,45.0,62.0,,0,0,0,0.4,0.442307692307692,,0.0,957129252.198242,124752.392151091
6,2615700720,61.0,31.0,9.0,22.0,30.0,12.0,21.0,40.0,,0,0,0,0.290322580645161,0.4,,0.0,1585214836.44238,222778.49721125
7,2615700000,,,,,,,,,,0,0,0,,,,,2494482252.7666,259951.266569357
8,2615781860,135.0,61.0,21.0,40.0,74.0,32.0,53.0,82.0,8.0,0,0,0,0.344262295081967,0.432432432432432,0.0592592592592593,0.0,984608805.721191,150695.686105577
9,2615781840,112.0,55.0,20.0,35.0,57.0,26.0,46.0,66.0,6.0,0,0,0,0.363636363636364,0.456140350877193,0.0535714285714286,0.0,60841741.0546875,39393.0675034882
10,2615780940,69.0,41.0,15.0,26.0,28.0,11.0,26.0,43.0,8.0,0,0,0,0.365853658536585,0.392857142857143,0.115942028985507,0.0,919972592.147461,127110.244048877
11,2615759420,64.0,29.0,12.0,17.0,35.0,16.0,28.0,36.0,,0,0,0,0.413793103448276,0.457142857142857,,0.0,1000193828.67871,126574.405010871
12,2615754240,116.0,57.0,20.0,37.0,59.0,25.0,45.0,71.0,,0,0,0,0.350877192982456,0.423728813559322,,0.0,1002146607.73633,126719.114589315
