OBJECTID,GEOID,Under18_Tot,Under5_Tot,Under5_ER,Under5_Hosp,FivePlus_Tot,FivePlus_ER,Tot_ER_Visits,Tot_Hosp_Visits,AsthmaCt,Diabetes1Ct,Diabetes2Ct,DiabetesOtherCt,PctUndr5ER,PctOvr5ER,PctAsthma,PctDiabetes,Shape__Area,Shape__Length
1,2601,22263,9981,3311,6670,12282,4750,8061,14202,457,66,0,0,0.331730287546338,0.386744829832275,0.0205273323451467,0.0029645600323406,1518670677028.08,7211546.28852208
2,2607,19383,9153,3306,5847,10230,4272,7578,11805,661,70,11,0,0.361193051458538,0.417595307917889,0.0341020481865552,0.0041789196718774,123535690122.313,2290805.54565406
3,2602,23202,11273,4005,7268,11929,4830,8835,14367,942,68,12,0,0.355273662733966,0.404895632492246,0.0405999482803207,0.0034479786225325,171886243662.345,2237534.26669034
4,2606,21944,10326,3676,6650,11618,4812,8488,13456,732,82,18,0,0.355994576796436,0.414184885522465,0.0333576376230405,0.0045570543200875,142664911946.511,1798059.11163143
5,2614,26486,13628,4955,8673,12858,5621,10576,15910,3246,101,21,0,0.363589668329909,0.437159744905895,0.122555312240429,0.0046062070527826,6223767065.63892,864883.170500152
6,2603,20459,10023,3511,6512,10436,4086,7597,12862,1000,47,12,0,0.350294323056969,0.391529321579149,0.048878244293465,0.0028838164133144,75210538516.0667,1955237.77267968
7,2610,17395,8002,2785,5217,9393,3807,6592,10803,553,52,19,0,0.348037990502374,0.405301820504631,0.0317907444668008,0.0040816326530612,174023728619.159,2154385.30048443
8,2605,25706,12713,4664,8049,12993,5664,10328,15378,1469,157,20,0,0.366868559741996,0.43592703763565,0.0571461915506108,0.0068855520112036,117555699998.296,2620329.206985
9,2604,23741,11060,4038,7022,12681,5296,9334,14407,559,66,13,0,0.365099457504521,0.417632678810819,0.0235457647108378,0.0033275767659323,241430667015.319,2793009.27940316
10,2613,33075,17062,6148,10914,16013,7056,13204,19871,3715,160,59,0,0.360332903528309,0.440641978392556,0.112320483749055,0.0066213151927437,5211916892.32275,598574.615604537
11,2611,8826,4038,1321,2717,4788,1902,3223,5603,326,29,0,0,0.327142149579,0.397243107769424,0.0369363244958078,0.0032857466576025,12284169728.7002,991120.489799164
12,2609,17928,8797,3030,5767,9131,3775,6805,11123,1120,51,23,0,0.344435603046493,0.413426787865513,0.0624721106648818,0.0041276215975011,5262899300.51416,612025.633641538
13,2612,16939,8282,2833,5449,8657,3565,6398,10541,1048,70,11,0,0.342067133542623,0.411805475337877,0.0618690595666804,0.0047818643367377,12015102769.1172,830168.792752797
14,2608,12468,6069,2109,3960,6399,2612,4721,7747,530,46,16,0,0.347503707365299,0.408188779496796,0.0425088225858197,0.0049727301892845,42969911439.1604,1211697.70420056
