OBJECTID,MSAName,GEOIDMSA,Under18_Tot,Under5_Tot,Under5_ER,Under5_Hosp,FivePlus_Tot,FivePlus_ER,Tot_ER_Visits,Tot_Hosp_Visits,AsthmaCt,Diabetes1Ct,Diabetes2Ct,DiabatesOtherCt,PctUndr5ER,PctOvr5ER,PctAsthma,PctDiabetes,Shape__Area,Shape__Length
1,Battle Creek MSA,12980,4962,2365,842,1523,2597,1041,1883,3079,205.0,12.0,,0,0.356025369978858,0.400847131305352,0.0413139862958484,,20025380011.9006,570440.083723278
2,Midland MSA,33220,2069,983,354,629,1086,453,807,1262,41.0,,,0,0.360122075279756,0.417127071823204,0.0198163363943934,,14721619600.1348,495513.005528722
3,South Bend Mishawaka MSA,43780,1868,839,285,554,1029,425,710,1158,32.0,6.0,,0,0.33969010727056,0.413022351797862,0.0171306209850107,,14172499620.5146,477906.502716492
4,Sault Ste Marie Micropolitan Area,42300,955,483,165,318,472,173,338,617,21.0,,,0,0.341614906832298,0.366525423728814,0.0219895287958115,,75491754192.8887,1748640.78670814
5,Coldwater Micropolitan Area,17740,1876,915,351,564,961,426,777,1099,36.0,,,0,0.383606557377049,0.443288241415193,0.0191897654584222,,14489216998.8914,481789.742871195
6,Marquette Micropolitan Area,32100,1710,816,285,531,894,369,654,1056,40.0,7.0,,0,0.349264705882353,0.412751677852349,0.0233918128654971,,95879894725.1582,1441801.65241322
7,Owosso Micropolitan Area,37020,2655,1258,405,853,1397,529,934,1721,43.0,,,0,0.321939586645469,0.378668575518969,0.016195856873823,,15078093079.4536,492754.266553044
8,Holland Micropolitan Area,26090,3489,1642,598,1044,1847,757,1355,2134,85.0,,,0,0.364190012180268,0.409853817000541,0.0243622814560046,,51101130803.231,1065898.0698355
9,Kalamazoo Portage MSA,28020,8947,4282,1521,2761,4665,1926,3447,5500,325.0,42.0,,0,0.355207846800561,0.412861736334405,0.0363250251480943,,46559128352.0049,1216492.91197372
10,Mount Pleasant Micropolitan Area,34380,1880,872,337,535,1008,440,777,1103,70.0,,,0,0.386467889908257,0.436507936507937,0.0372340425531915,,16104720501.9092,508222.332576489
11,Jackson MSA,27100,4987,2436,871,1565,2551,1071,1942,3045,209.0,23.0,,0,0.357553366174056,0.419835358682869,0.0419089633045919,,20168731096.5078,573111.434689146
12,Houghton Micropolitan Area,26340,1205,535,188,347,670,279,467,738,39.0,,,0,0.351401869158879,0.416417910447761,0.0323651452282158,,209589171210.539,2382305.7784346
13,Marinette Micropolitan Area,31940,640,265,93,172,375,141,234,406,,,,0,0.350943396226415,0.376,,,37379520487.1641,1106756.74527055
14,Escanaba Micropolitan Area,21540,1242,570,168,402,672,242,410,832,10.0,7.0,,0,0.294736842105263,0.360119047619048,0.0080515297906602,,55650308640.1016,1060091.33780379
15,Sturgis Micropolitan Area,44780,2633,1196,427,769,1437,598,1025,1608,94.0,7.0,,0,0.357023411371237,0.416144745998608,0.0357007216103304,,14527018260.7573,498278.569413775
16,Adrian Micropolitan Area,10300,3170,1506,548,958,1664,694,1242,1928,106.0,20.0,,0,0.363877822045153,0.417067307692308,0.0334384858044164,,21229318606.4145,589498.255354403
