Year,Geo_Lvl,Geo_Cd,Geo_Desc,Plan_Type,Tot_Opioid_Clms,Tot_Clms,Opioid_Prscrbng_Rate,Opioid_Prscrbng_Rate_5Y_Chg,Opioid_Prscrbng_Rate_1Y_Chg,LA_Tot_Opioid_Clms,LA_Opioid_Prscrbng_Rate,LA_Opioid_Prscrbng_Rate_5Y_Chg,LA_Opioid_Prscrbng_Rate_1Y_Chg
2021,National,,National,All,21654225.0,686625295.0,3.15,-2.23,-0.09,4672903.0,21.58,14.04,2.64
2021,National,,National,FFS,5084859.0,180712324.0,2.81,-2.48,-0.15,736567.0,14.49,5.34,1.05
2021,National,,National,MC,16569366.0,505912971.0,3.28,-2.14,-0.06,3936336.0,23.76,16.9,2.98
2021,State,1.0,Alabama,All,175237.0,7525456.0,2.33,-3.04,-0.38,7767.0,4.43,-0.36,-0.18
2021,State,1.0,Alabama,FFS,175237.0,7525456.0,2.33,-3.04,-0.38,7767.0,4.43,-0.36,-0.18
2021,State,1.0,Alabama,MC,0.0,0.0,,,,0.0,,,
2021,State,2.0,Alaska,All,58330.0,1436383.0,4.06,-3.84,-0.24,7076.0,12.13,0.54,-0.58
2021,State,2.0,Alaska,FFS,58330.0,1436383.0,4.06,-3.84,-0.24,7076.0,12.13,0.54,-0.58
2021,State,2.0,Alaska,MC,0.0,0.0,,,,0.0,,,
2021,State,4.0,Arizona,All,512306.0,14333371.0,3.57,-3.72,-0.1,32317.0,6.31,-4.52,-0.9
2021,State,4.0,Arizona,FFS,9468.0,226687.0,4.18,-9.91,-0.76,551.0,5.82,-2.06,-0.69
2021,State,4.0,Arizona,MC,502838.0,14106684.0,3.56,-3.68,-0.1,31766.0,6.32,-4.55,-0.9
2021,State,5.0,Arkansas,All,159449.0,4769182.0,3.34,-3.54,-0.53,4985.0,3.13,-2.27,-0.31
2021,State,5.0,Arkansas,FFS,145142.0,3761179.0,3.86,-3.02,-0.59,4596.0,3.17,-2.23,-0.32
2021,State,5.0,Arkansas,MC,14307.0,1008003.0,1.42,,-0.07,389.0,2.72,,-0.05
2021,State,6.0,California,All,2326559.0,82341664.0,2.83,-2.32,-0.15,136506.0,5.87,-0.5,-0.31
2021,State,6.0,California,FFS,546769.0,21472080.0,2.55,-2.17,-0.14,51964.0,9.5,2.05,-0.03
2021,State,6.0,California,MC,1779790.0,60869584.0,2.92,-2.39,-0.16,84542.0,4.75,-1.24,-0.39
2021,State,8.0,Colorado,All,388714.0,8042561.0,4.83,-4.26,-0.33,39276.0,10.1,1.24,0.34
2021,State,8.0,Colorado,FFS,369379.0,7526920.0,4.91,-4.13,-0.39,37704.0,10.21,1.27,0.39
2021,State,8.0,Colorado,MC,19335.0,515641.0,3.75,-6.04,0.28,1572.0,8.13,0.29,-0.55
2021,State,9.0,Connecticut,All,253042.0,8966934.0,2.82,-2.35,-0.05,22741.0,8.99,-0.47,-0.02
2021,State,9.0,Connecticut,FFS,253042.0,8966934.0,2.82,-2.35,-0.05,22741.0,8.99,-0.47,-0.02
2021,State,9.0,Connecticut,MC,0.0,0.0,,,,0.0,,,
2021,State,10.0,Delaware,All,76433.0,2775047.0,2.75,-2.62,0.05,11332.0,14.83,-1.3,-1.24
2021,State,10.0,Delaware,FFS,355.0,26120.0,1.36,-2.52,-0.61,22.0,6.2,-0.6,-1.09
2021,State,10.0,Delaware,MC,76078.0,2748927.0,2.77,-2.66,0.06,11310.0,14.87,-1.5,-1.29
2021,State,11.0,District of Columbia,All,43363.0,1472218.0,2.95,-1.42,0.43,1796.0,4.14,-0.82,-0.24
2021,State,11.0,District of Columbia,FFS,5012.0,270834.0,1.85,-2.59,-0.74,440.0,8.78,0.31,2.03
2021,State,11.0,District of Columbia,MC,38351.0,1201384.0,3.19,-1.13,0.7,1356.0,3.54,1.04,0.64
2021,State,12.0,Florida,All,679646.0,27523221.0,2.47,-2.04,-0.13,51692.0,7.61,0.84,-0.27
2021,State,12.0,Florida,FFS,19047.0,1234008.0,1.54,-0.64,0.06,1093.0,5.74,-0.32,-2.68
2021,State,12.0,Florida,MC,660599.0,26289213.0,2.51,-2.24,-0.16,50599.0,7.66,0.86,-0.21
2021,State,13.0,Georgia,All,490478.0,15414140.0,3.18,-2.63,-0.38,25844.0,5.27,0.06,-0.29
2021,State,13.0,Georgia,FFS,282918.0,6748163.0,4.19,-2.4,-0.32,22123.0,7.82,-0.06,-0.14
2021,State,13.0,Georgia,MC,207560.0,8665977.0,2.4,-2.7,-0.33,3721.0,1.79,-0.22,-0.26
2021,State,15.0,Hawaii,All,74508.0,2001123.0,3.72,-2.44,-0.01,5120.0,6.87,-2.98,-0.99
2021,State,15.0,Hawaii,FFS,805.0,6114.0,13.17,-5.19,-0.06,0.0,0.0,,
2021,State,15.0,Hawaii,MC,73703.0,1995009.0,3.69,-2.42,-0.03,5120.0,6.95,,
2021,State,16.0,Idaho,All,140925.0,3925845.0,3.59,-2.53,-0.33,8956.0,6.36,-3.09,-0.22
2021,State,16.0,Idaho,FFS,140925.0,3925845.0,3.59,-2.53,-0.33,8956.0,6.36,-3.09,-0.22
2021,State,16.0,Idaho,MC,0.0,0.0,,,,0.0,,,
2021,State,17.0,Illinois,All,786283.0,25057780.0,3.14,-2.44,-0.02,21608.0,2.75,-1.03,-0.22
2021,State,17.0,Illinois,FFS,21470.0,1282929.0,1.67,-3.98,-0.29,716.0,3.33,-0.29,0.7
2021,State,17.0,Illinois,MC,764813.0,23774851.0,3.22,-2.34,-0.02,20892.0,2.73,-1.11,-0.25
2021,State,18.0,Indiana,All,584783.0,17483180.0,3.34,-3.06,-0.17,27841.0,4.76,-1.58,-0.63
2021,State,18.0,Indiana,FFS,42430.0,2050213.0,2.07,-0.59,-0.08,3693.0,8.7,2.89,0.11
2021,State,18.0,Indiana,MC,542353.0,15432967.0,3.51,-4.28,-0.21,24148.0,4.45,-1.96,-0.66
2021,State,19.0,Iowa,All,541375.0,7802164.0,6.94,2.29,0.5,346139.0,63.94,56.42,1.47
2021,State,19.0,Iowa,FFS,5624.0,120302.0,4.67,-0.73,-0.26,3084.0,54.84,47.18,-0.52
2021,State,19.0,Iowa,MC,535751.0,7681862.0,6.97,2.69,0.5,343055.0,64.03,56.6,1.46
2021,State,20.0,Kansas,All,91027.0,3418047.0,2.66,-3.39,-0.25,5711.0,6.27,-4.2,-0.77
2021,State,20.0,Kansas,FFS,47.0,11086.0,0.42,-2.14,-0.65,0.0,0.0,-10.61,0.0
2021,State,20.0,Kansas,MC,90980.0,3406961.0,2.67,-3.4,-0.25,5711.0,6.28,-4.19,-0.77
2021,State,21.0,Kentucky,All,556653.0,21835216.0,2.55,-1.83,-0.39,13467.0,2.42,-0.63,-0.34
2021,State,21.0,Kentucky,FFS,12153.0,808650.0,1.5,-1.11,-0.28,548.0,4.51,-4.75,0.7
2021,State,21.0,Kentucky,MC,544500.0,21026566.0,2.59,-1.87,-0.43,12919.0,2.37,-0.5,-0.34
2021,State,22.0,Louisiana,All,562767.0,20002392.0,2.81,-2.92,-0.17,11022.0,1.96,-1.14,-0.4
