YEAR,STATE,BENE_GEO_CD,MA_OP_POPN,BENE_AVG_AGE,BENE_FEML_PCT,BENE_MALE_PCT,BENE_RACE_WHT_PCT,BENE_RACE_BLACK_PCT,BENE_RACE_HSPNC_PCT,BENE_RACE_OTHR_PCT,BENE_DUAL_PCT,BENES_IP_STAY_CNT,BENES_IP_PCT,IP_STAY_PER_1000_BENES,IP_DAYS_PER_1000_BENES,BENES_IRF_CNT,BENES_IRF_PCT,IRF_STAYS_PER_1000_BENES,IRF_DAYS_PER_1000_BENES,BENES_LTC_CNT,BENES_LTC_PCT,LTC_STAYS_PER_1000_BENES,LTC_DAYS_PER_1000_BENES,BENES_SNF_CNT,BENES_SNF_PCT,SNF_STAYS_PER_1000_BENES,SNF_DAYS_PER_1000_BENES
2016,AK,2.0,573,74,0.5271,0.4729,0.8115,0.0314,0.0593,0.0977,0.1902,81,0.1414,209.4241,1289.7033,*,*,*,*,0,0.0000,0.0000,0.0000,22,0.0384,57.5916,958.1152
2016,AL,1.0,259694,69,0.5577,0.4423,0.6878,0.2945,0.0064,0.0113,0.2942,43603,0.1679,256.1784,1584.6881,921,0.0035,3.8430,50.9484,263,0.0010,1.0666,35.3878,7999,0.0308,38.1680,700.4359
2016,AR,5.0,122736,69,0.5532,0.4468,0.7981,0.1723,0.0127,0.0169,0.2830,19395,0.158,246.1788,1284.0324,692,0.0056,6.0048,77.5486,148,0.0012,1.3036,37.2344,3930,0.0320,43.4102,894.3994
2016,AZ,4.0,448010,72,0.5653,0.4347,0.7562,0.0374,0.1702,0.0362,0.2714,61304,0.1368,200.4018,1024.9325,1008,0.0022,2.4999,32.5417,350,0.0008,1.1317,26.0039,12027,0.0268,34.6957,631.9212
2016,CA,6.0,2368690,74,0.5637,0.4363,0.5532,0.0695,0.2319,0.1454,0.1971,239148,0.101,141.9291,643.7845,2416,0.0010,1.1648,10.8566,681,0.0003,0.5438,10.5197,39473,0.0167,22.5728,540.9581
2016,CO,8.0,299472,73,0.5628,0.4372,0.8166,0.0337,0.1109,0.0387,0.1282,33404,0.1115,152.1645,684.9756,102,0.0003,0.3540,5.0255,159,0.0005,0.5844,23.5681,4385,0.0146,19.5377,469.6866
2016,CT,9.0,167210,73,0.5685,0.4315,0.7968,0.0824,0.0742,0.0466,0.3586,22428,0.1341,202.7331,1071.9634,130,0.0008,0.8492,11.3630,127,0.0008,0.9210,25.3872,6525,0.0390,54.7934,1326.2783
2016,DC,11.0,11789,73,0.617,0.383,0.1557,0.7792,0.0354,0.0298,0.4466,1117,0.0947,164.645,1154.6357,22,0.0019,2.2903,35.2023,*,*,*,*,316,0.0268,36.3899,761.7270
2016,DE,10.0,17204,72,0.5561,0.4439,0.6869,0.2511,0.0279,0.0341,0.1902,2751,0.1599,244.5362,1437.3983,74,0.0043,4.5920,68.1818,15,0.0009,0.9300,26.7961,669,0.0389,50.2209,952.9179
2016,FL,12.0,1673939,72,0.5525,0.4475,0.6308,0.1257,0.2109,0.0325,0.2426,228943,0.1368,206.8301,1041.9215,4724,0.0028,3.3544,35.5604,1806,0.0011,1.6954,34.8842,51918,0.0310,39.7093,694.2051
