Rndrng_Prvdr_CCN,Rndrng_Prvdr_Org_Name,Rndrng_Prvdr_City,Rndrng_Prvdr_St,Rndrng_Prvdr_State_FIPS,Rndrng_Prvdr_Zip5,Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_RUCA,Rndrng_Prvdr_RUCA_Desc,DRG_Cd,DRG_Desc,Tot_Dschrgs,Avg_Submtd_Cvrd_Chrg,Avg_Tot_Pymt_Amt,Avg_Mdcr_Pymt_Amt
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",23,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITH MCC O,30,160063.4,36794.266667,33141.4
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",24,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITHOUT MC,16,107171.125,26893.9375,22705.6875
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",25,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MCC,20,192609.9,31374.65,27815.6
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",38,EXTRACRANIAL PROCEDURES WITH CC,18,112215.66667,12354.777778,8848.6666667
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",39,EXTRACRANIAL PROCEDURES WITHOUT CC/MCC,43,89606.953488,8284.1860465,6182.6976744
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",56,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITH MCC,12,100880.66667,15060.916667,13376.416667
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",57,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITHOUT MCC,12,22212.083333,8706.5,7395.3333333
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",64,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC,66,61046.590909,13644.469697,10906.166667
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",65,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS,86,37033.0,7495.0581395,5678.372093
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",66,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITHOUT CC/MCC,19,32644.315789,5550.1052632,3678.4210526
