State,Zip Code,2017,2018,2019,2020,2021,2022,2023,Unnamed: 9
Alabama (AL),35004,46,49,45,38,40,31,24,
Alabama (AL),35005,41,44,47,36,33,19,25,
Alabama (AL),35006,22,32,18,17,15,15,17,
Alabama (AL),35007,97,112,106,100,71,63,66,
Alabama (AL),35010,135,142,122,121,85,77,71,
Alabama (AL),35011,*,*,12,*,11,*,*,
Alabama (AL),35013,*,*,*,*,*,*,*,
Alabama (AL),35014,32,26,15,16,24,19,16,
Alabama (AL),35015,*,*,*,*,*,*,*,
Alabama (AL),35016,131,125,109,89,96,75,62,
Alabama (AL),35019,20,*,14,14,*,*,*,
Alabama (AL),35020,131,146,134,99,91,69,77,
Alabama (AL),35021,*,*,*,*,*,*,*,
Alabama (AL),35022,125,119,101,89,81,79,78,
Alabama (AL),35023,148,145,120,110,87,96,85,
Alabama (AL),35031,64,53,64,36,54,40,23,
Alabama (AL),35032,*,*,*,*,*,*,*,
Alabama (AL),35033,18,28,24,16,20,16,14,
Alabama (AL),35034,15,21,19,15,*,16,13,
Alabama (AL),35035,*,17,*,*,*,*,11,
Alabama (AL),35036,*,*,*,*,*,*,*,
Alabama (AL),35038,*,*,*,*,*,*,*,
Alabama (AL),35040,53,55,49,52,32,29,36,
Alabama (AL),35042,49,42,29,29,22,31,21,
Alabama (AL),35043,50,49,36,27,30,36,32,
Alabama (AL),35044,47,49,29,26,32,22,29,
Alabama (AL),35045,79,98,72,52,58,47,48,
Alabama (AL),35046,37,35,39,32,32,22,23,
Alabama (AL),35048,*,*,*,*,*,*,*,
Alabama (AL),35049,24,33,17,21,17,17,20,
Alabama (AL),35051,53,41,42,36,37,22,25,
Alabama (AL),35052,*,*,*,*,*,*,*,
Alabama (AL),35053,22,17,14,23,20,12,11,
Alabama (AL),35054,29,40,23,27,15,20,19,
Alabama (AL),35055,148,141,109,91,79,89,86,
Alabama (AL),35056,*,*,*,*,*,*,*,
Alabama (AL),35057,98,76,64,69,69,58,41,
Alabama (AL),35058,64,79,74,50,46,43,38,
Alabama (AL),35060,*,*,*,*,*,*,*,
Alabama (AL),35061,*,15,*,*,*,*,*,
Alabama (AL),35062,59,62,44,47,39,35,30,
Alabama (AL),35063,22,20,14,19,11,11,13,
Alabama (AL),35064,52,32,41,34,39,32,*,
Alabama (AL),35068,38,46,36,29,22,21,24,
Alabama (AL),35070,*,*,*,*,*,*,*,
Alabama (AL),35071,111,112,118,94,74,67,61,
Alabama (AL),35072,28,33,27,25,26,18,16,
Alabama (AL),35073,23,21,19,14,14,11,*,
Alabama (AL),35074,*,*,*,*,*,*,*,
Alabama (AL),35077,93,88,77,64,56,48,49,
Alabama (AL),35078,*,12,16,*,16,*,*,
Alabama (AL),35079,44,36,54,35,35,20,20,
