Prscrbr_Geo_Lvl,Prscrbr_Geo_Cd,Prscrbr_Geo_Desc,Brnd_Name,Gnrc_Name,Tot_Prscrbrs,Tot_Clms,Tot_30day_Fills,Tot_Drug_Cst,Tot_Benes,GE65_Sprsn_Flag,GE65_Tot_Clms,GE65_Tot_30day_Fills,GE65_Tot_Drug_Cst,GE65_Bene_Sprsn_Flag,GE65_Tot_Benes,LIS_Bene_Cst_Shr,NonLIS_Bene_Cst_Shr,Opioid_Drug_Flag,Opioid_LA_Drug_Flag,Antbtc_Drug_Flag,Antpsyct_Drug_Flag
National,,National,1st Tier Unifine Pentips,"Pen Needle, Diabetic",1178.0,3708.0,6598.5,102280.76,1313.0,,2929.0,5385.3,79992.58,,1052.0,4167.66,22903.26,N,N,N,N
National,,National,1st Tier Unifine Pentips Plus,"Pen Needle, Diabetic",1604.0,4564.0,7905.6,131927.33,1766.0,,3681.0,6603.0,106683.88,,1450.0,4415.22,20335.83,N,N,N,N
National,,National,Abacavir,Abacavir Sulfate,3560.0,30534.0,37402.4,7039482.37,4252.0,,15064.0,19275.5,3547013.16,,2141.0,21278.04,186025.79,N,N,N,N
National,,National,Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,2933.0,30248.0,38810.9,9656849.77,4030.0,,16574.0,22159.0,5457642.63,,2272.0,23576.53,376349.75,N,N,N,N
National,,National,Abacavir-Lamivudine-Zidovudine,Abacavir/Lamivudine/Zidovudine,38.0,118.0,120.0,146795.2,32.0,,74.0,74.0,91779.21,,19.0,1488.48,3939.47,N,N,N,N
National,,National,Abelcet,Amphotericin B Lipid Complex,67.0,697.0,717.4,504545.33,199.0,,441.0,452.2,303945.53,,131.0,947.12,62103.18,N,N,N,N
National,,National,Abilify,Aripiprazole,2512.0,15246.0,19657.3,20467005.13,2172.0,,4291.0,5683.5,5359083.5,,691.0,35948.95,259326.22,N,N,N,Y
National,,National,Abilify Maintena,Aripiprazole,15911.0,208282.0,209057.7,498232295.54,26321.0,,26497.0,26639.0,62087454.83,,3360.0,484272.75,1162541.41,N,N,N,Y
National,,National,Abilify Mycite,Aripiprazole,6.0,31.0,33.0,56308.8,,*,,,,*,,70.0,60.0,N,N,N,Y
National,,National,Abiraterone Acetate,Abiraterone Acetate,10065.0,199302.0,203684.4,601182558.76,30507.0,,192710.0,197031.7,578631141.28,,29429.0,595635.61,52997200.21,N,N,N,N
National,,National,Abraxane,Paclitaxel Protein-Bound,176.0,1200.0,1200.0,9534884.71,307.0,,1147.0,1147.0,9045413.72,,284.0,1957.95,301272.79,N,N,N,N
National,,National,Absorica,Isotretinoin,40.0,88.0,88.0,163699.34,35.0,,22.0,22.0,33152.66,*,,93.2,3554.07,N,N,N,N
National,,National,Absorica Ld,"Isotretinoin, Micronized",12.0,31.0,31.0,81264.22,11.0,*,,,,*,,17.2,796.02,N,N,N,N
National,,National,Acamprosate Calcium,Acamprosate Calcium,12086.0,43332.0,51649.9,7043110.97,13101.0,,17936.0,22782.4,2954228.53,,6018.0,44092.75,680733.73,N,N,N,N
National,,National,Acanya,Clindamycin Phos/Benzoyl Perox,11.0,29.0,29.0,15964.61,,*,,,,*,,5.3,526.0,N,N,N,N
National,,National,Acarbose,Acarbose,25104.0,180723.0,355230.1,10748559.29,44193.0,,155348.0,311337.9,9383416.55,,38228.0,101933.09,1548408.35,N,N,N,N
National,,National,Accolate,Zafirlukast,121.0,521.0,982.3,217404.57,103.0,,445.0,845.3,187882.45,,89.0,1384.43,29068.45,N,N,N,N
National,,National,Accupril,Quinapril Hcl,1178.0,4302.0,10293.6,1802400.49,1045.0,,4177.0,10042.6,1753793.23,,1019.0,3343.61,186013.79,N,N,N,N
National,,National,Accuretic,Quinapril/Hydrochlorothiazide,125.0,389.0,1081.2,162706.28,119.0,#,,,,#,,39.6,10747.72,N,N,N,N
