OBJECTID,SORT,LINE,FROM_STA,TO_STA,YEAR_OPEN,ANODE,BNODE,GlobalID,CreationDate,Creator,EditDate,Editor,Shape__Length
1,1,Orange,VIENNA/ FAIRFAX - GMU,DUNN LORING - MERRIFIELD,1986,7357.0,7358.0,ba4778e5-55c6-4149-8e5e-8d4e8ed97e04,2023/11/26 06:06:21.939+00,FairfaxCounty,2023/11/26 06:06:21.939+00,FairfaxCounty,13375.0383825989
2,3,Orange,WEST FALLS CHURCH -VT/UVA,EAST FALLS CHURCH,1986,7359.0,7360.0,2a72dfbf-d56d-4901-950d-886b23663134,2023/11/26 06:06:21.939+00,FairfaxCounty,2023/11/26 06:06:21.939+00,FairfaxCounty,11124.8087154236
3,4,Orange,EAST FALLS CHURCH,BALLSTON - MU,1986,7360.0,7361.0,6d19910d-6fda-4dc6-97ee-d9bd73f1404c,2023/11/26 06:06:21.939+00,FairfaxCounty,2023/11/26 06:06:21.939+00,FairfaxCounty,13363.1471031154
4,6,Orange,VIRGINIA SQ - GMU,CLARENDON,1979,7362.0,7363.0,46aa963a-dc31-4773-ba08-519974ec5605,2023/11/26 06:06:21.939+00,FairfaxCounty,2023/11/26 06:06:21.939+00,FairfaxCounty,2634.16505268075
5,8,Orange,COURT HOUSE,ROSSLYN,1979,7364.0,7365.0,e29a6d10-5bb8-485e-a451-bded0d9a9623,2023/11/26 06:06:21.939+00,FairfaxCounty,2023/11/26 06:06:21.939+00,FairfaxCounty,4740.40599634784
6,5,Orange,BALLSTON - MU,VIRGINIA SQ - GMU,1979,7361.0,7362.0,bbb65967-acd3-4a04-b565-3a3cfe5740d6,2023/11/26 06:06:21.939+00,FairfaxCounty,2023/11/26 06:06:21.939+00,FairfaxCounty,2560.46745436794
7,7,Orange,CLARENDON,COURT HOUSE,1979,7363.0,7364.0,c994aed4-6a31-46cd-998e-b4bbf14de8dd,2023/11/26 06:06:21.939+00,FairfaxCounty,2023/11/26 06:06:21.939+00,FairfaxCounty,3590.24691076338
8,9,Orange,ROSSLYN,FOGGY BOTTOM - GWU,1977,7365.0,7366.0,68a43e52-bf63-4107-bfbb-76ee7a8ec8c2,2023/11/26 06:06:21.939+00,FairfaxCounty,2023/11/26 06:06:21.939+00,FairfaxCounty,5394.92930702389
9,2,Orange,DUNN LORING - MERRIFIELD,WEST FALLS CHURCH -VT/UVA,1986,7358.0,7359.0,4f27280f-c6eb-4c86-a189-e252cf580f65,2023/11/26 06:06:21.939+00,FairfaxCounty,2023/11/26 06:06:21.939+00,FairfaxCounty,12685.4048530164
10,1,Blue,FRANCONIA - SPRINGFIELD,VAN DORN STREET,1997,7347.0,7346.0,50ca89c4-1c66-481a-96a5-6be332ab5796,2023/11/26 06:06:21.939+00,FairfaxCounty,2023/11/26 06:06:21.939+00,FairfaxCounty,18704.6162324979
11,2,Blue,VAN DORN STREET,KING STREET,1991,7346.0,7350.0,4af98e23-031b-4783-b0ed-81e09ea8f63e,2023/11/26 06:06:21.939+00,FairfaxCounty,2023/11/26 06:06:21.939+00,FairfaxCounty,19986.7078536504
12,3,Blue,KING STREET,BRADDOCK ROAD,1983,7350.0,7351.0,6f230869-e704-4d0d-9951-0b225e96b8cb,2023/11/26 06:06:21.939+00,FairfaxCounty,2023/11/26 06:06:21.939+00,FairfaxCounty,3577.03716330479
13,4,Blue,BRADDOCK ROAD,NATIONAL AIRPORT,1983,7385.0,7352.0,1fdce53b-c1fe-4baa-99b2-5d552552692f,2023/11/26 06:06:21.939+00,FairfaxCounty,2023/11/26 06:06:21.939+00,FairfaxCounty,16218.1953600897
14,5,Blue,NATIONAL AIRPORT,CRYSTAL CITY,1977,7352.0,7353.0,7476da7e-3edd-486d-a327-4ed55c48eb82,2023/11/26 06:06:21.939+00,FairfaxCounty,2023/11/26 06:06:21.939+00,FairfaxCounty,2574.25705287172
15,6,Blue,CRYSTAL CITY,PENTAGON CITY,1977,7353.0,7354.0,dfe28562-80b0-4183-9932-d1e129ffa433,2023/11/26 06:06:21.939+00,FairfaxCounty,2023/11/26 06:06:21.939+00,FairfaxCounty,3659.24410544454
16,7,Blue,PENTAGON CITY,PENTAGON,1977,7354.0,7355.0,94488da2-445e-4a31-8dfa-c4771b0a5ce2,2023/11/26 06:06:21.939+00,FairfaxCounty,2023/11/26 06:06:21.939+00,FairfaxCounty,3389.01169349798
17,8,Blue,PENTAGON,ARLINGTON CEMETERY,1977,7355.0,7356.0,c55ff3bc-acf2-41e9-823c-5b107e914ea2,2023/11/26 06:06:21.939+00,FairfaxCounty,2023/11/26 06:06:21.939+00,FairfaxCounty,6610.37533252343
18,9,Blue,ARLINGTON CEMETERY,ROSSLYN,1977,7356.0,7365.0,fd0841ce-31b1-44ec-b6e5-27ca7d70cca9,2023/11/26 06:06:21.939+00,FairfaxCounty,2023/11/26 06:06:21.939+00,FairfaxCounty,5149.57787682936
19,10,Blue,ROSSLYN,FOGGY BOTTOM - GWU,1977,7365.0,7366.0,516788ce-6bf3-4f9a-bb76-f0944113c5c4,2023/11/26 06:06:21.939+00,FairfaxCounty,2023/11/26 06:06:21.939+00,FairfaxCounty,5396.10293262248
20,1,Yellow,HUNTINGTON,EISENHOWER AVE,1983,7348.0,7349.0,98d720d6-3889-4dce-b091-5a4de86a3605,2023/11/26 06:06:21.939+00,FairfaxCounty,2023/11/26 06:06:21.939+00,FairfaxCounty,3014.12933670981
