OBJECTID,LABEL,DISTRICT,POPULATION,AREA_SQ_MI
1,1,1,87768,14.4227873284
2,2,2,87595,19.4011785681
3,3,3,87906,17.1841535849
4,4,4,88168,20.1791923103
5,5,5,87356,15.6543304339
6,6,6,89085,23.6192344517
7,7,7,88586,14.3810128178
8,8,8,87850,15.8589668248
9,9,9,89598,16.3825830388
10,10,10,87869,17.3844635391
11,11,11,92223,20.7299840416
12,12,12,92972,65.7341912732
13,13,13,91612,20.1650664296
14,14,14,87228,18.3509850659
15,15,15,89880,23.7228291699
16,16,16,91556,24.2925629006
17,17,17,88062,240.536421154
18,18,18,92236,17.0055074702
19,19,19,92330,34.8377403297
20,20,20,92769,43.951606375
21,21,21,92256,59.0643251646
22,22,22,86238,19.3024582738
23,23,23,93261,85.7737712804
24,24,24,86498,32.2253545462
25,25,25,85781,21.0173642798
26,26,26,86930,18.8617104871
27,27,27,91794,17.0566479907
28,28,28,86089,23.1818715111
29,29,29,87992,42.3967440178
30,30,30,87305,29.7277156033
31,31,31,88557,24.336668695
32,32,32,87609,273.284527211
33,33,33,86511,184.369949688
34,34,34,86516,25.4932302537
35,35,35,90361,35.8194163228
36,36,36,86298,100.341106986
37,37,37,90112,35.9445825661
38,38,38,91476,70.1931453885
39,39,39,91796,57.6395226865
40,40,40,91620,48.6644390932
41,41,41,92805,35.8207082086
42,42,42,91945,183.113688566
43,43,43,93564,66.8087652772
44,44,44,92893,151.749674747
45,45,45,88371,41.5067852161
46,46,46,89560,175.751906352
47,47,47,89022,401.854098945
48,48,48,90592,244.768712705
49,49,49,86581,72.6483475208
50,50,50,90865,96.2048457673
51,51,51,94324,318.575597924
52,52,52,86730,504.49475286
53,53,53,85792,20.064984618
54,54,54,85855,71.7522004692
55,55,55,86414,125.558620146
56,56,56,86675,363.350233131
57,57,57,94159,725.401066501
58,58,58,91936,1125.87974211
59,59,59,93735,916.492447011
60,60,60,93159,35.8101629311
61,61,61,93158,179.902713818
62,62,62,92474,288.226625731
63,63,63,92009,719.931937186
64,64,64,86288,289.139833597
65,65,65,93828,575.672786275
66,66,66,91935,696.852465246
67,67,67,93656,421.746743865
68,68,68,94139,31.1112738729
69,69,69,93100,107.409710624
70,70,70,87024,865.131387646
71,71,71,93624,472.500696571
72,72,72,93393,164.834762591
73,73,73,93827,237.497215105
74,74,74,91226,218.662369574
75,75,75,93802,17.1789845491
76,76,76,94238,28.0560087448
77,77,77,92442,61.0062669912
78,78,78,90905,496.716739036
79,79,79,85761,196.004337658
80,80,80,91868,733.917641748
81,81,81,85596,445.17217126
82,82,82,88319,662.533662551
83,83,83,88414,1003.7638643
84,84,84,88847,1651.74376141
85,85,85,93124,858.102223566
86,86,86,92271,393.132906904
87,87,87,94041,1015.36672345
88,88,88,87130,215.654607576
89,89,89,85375,247.502077525
90,90,90,91296,113.600954307
91,91,91,86460,410.413172468
92,92,92,85728,116.824342032
93,93,93,94176,1000.39639768
94,94,94,89913,331.51001443
95,95,95,87780,166.327279212
96,96,96,86595,200.143491051
97,97,97,85628,1782.65039822
98,98,98,85899,439.857295945
99,99,99,89217,912.921336526
100,100,100,86569,1980.70254608
101,101,101,92671,1789.98437256
102,102,102,85950,1394.16006086
103,103,103,92224,2860.77866362
104,104,104,86986,489.890812631
105,105,105,92098,2638.02606223
106,106,106,94220,3135.49293595
107,107,107,94062,3328.09096023
108,108,108,87266,3009.03513773
109,109,109,87465,4698.58525621
110,110,110,86997,6456.49341867
