OBJECTID,GEOID10,SqMiles,Acres,Parcel_Count,Total_Surveyed,PctSurveyed,StructureYes,Pct_StructureYes,StructureNo,Pct_StructureNo,Use_Commercial,PctParcels_Commercial,PctStructure_Commercial,Use_Industrial,PctParcels_Industrial,PctStructure_Industrial,Use_Institutional,PctParcels_Institutional,PctStructure_Institutional,Use_Mixed,PctParcels_Mixed,PctStructure_Mixed,Use_Private,PctParcels_Private,PctLots_Private,Use_Public,PctParcel_Public,PctLots_Public,Use_Residential,PctParcels_Residental,PctStructure_Residential,StructureNo_Unknown,PctParcelsNo_Unknown,PctLotsNo_Unknown,StructureYes_Unknown,PctParcelsYes_Unknown,PctStructureYes_Unknown,Condition_Good,Pct_ConditionGood,Condition_Fair,PctCondition_Fair,Condition_Poor,PctCondition_Poor,Condition_SuggestDemo,PctCondition_SuggestDemo,AvgConditionRating,ResStructs_Good,PctGood_ResStruct,ResStructs_Fair,PctFair_ResStruct,ResStruct_Poor,PctPoor_ResStruct,ResStruct_SugDemo,PctSugDemo_ResStruct,ResStruct_AvgConditionRating,Occupancy_Occupied,PctStructures_Occupied,Occupancy_Maybe,PctStructures_Maybe,Occupancy_Unoccupied,PctStructures_Unoccupied,ResStruct_Occupied,PctResStruct_Occupied,ResStruct_Maybe,PctResStruct_Maybe,ResStruct_Unoccupied,PctResStruct_Unoccupied,Boarding_Yes,PctStructures_NeedBoarding,Fire_Yes,PctStructures_Fire,ResStruct_NeedBoarding,PctResStruct_Boarding,ResStruct_FireDamage,PctResStruct_Fire,StructureNo_DumpingYes,PctLots_withDumping,StructureYes_DumpingYes,PctStructures_withDumping,TotalParcels_withDumping,PctTotalParcels_withDumping,ResMixUnits_0Units,PctResMixUnits_0Units,ResMixUnits_1Units,PctResMixUnits_1Units,ResMixUnits_2to3Units,PctResMixUnits_2to3Units,ResMixUnits_4Units,PctResMixUnits_4Units,EmptyLots_Improved,PctLots_Improved,EmptyLots_Unimproved,PctLots_Unimproved,EmptyLot_Maintained,PctLots_Maintained,EmptyLot_Unmaintained,PctLots_Unmaintained,Public_Use_Lots,EmptyLot_PublicUse_ParkGarden,PctLots_ParkGarden,PctPULots_ParkGarden,EmptyLot_PublicUse_ParkingLot,PctLots_ParkingLot,PctPULots_ParkingLot,EmptyLot_PublicUse_Other,PctLots_OtherPublicUse,PctPULots_OtherPU
1,26163524800,0.43178769,276.3441252,1672,1667.0,0.99700956937799,1297.0,0.778044391121776,370.0,0.221955608878224,15.0,0.008998200359928,0.0115651503469545,1.0,0.0005998800239952,0.0007710100231303,9.0,0.0053989202159568,0.0069390902081727,,0.0,0.0,135.0,0.0809838032393521,0.364864864864865,3.0,0.0017996400719856,0.0081081081081081,1267.0,0.76004799040192,0.976869699306091,232.0,0.139172165566887,0.627027027027027,5.0,0.002999400119976,0.0038550501156515,1173.0,0.904394757131843,111.0,0.0855821125674634,10.0,0.007710100231303,3.0,0.0023130300693909,1.10794140323824,1145.0,0.90370955011839,109.0,0.0860299921073402,10.0,0.0078926598263614,3.0,0.0023677979479084,1.10891870560379,1111.0,0.856592135697764,44.0,0.0339244410177332,112.0,0.0863531225905937,1111.0,0.876874506708761,44.0,0.0347277032359905,112.0,0.0883977900552486,62.0,0.0478026214340786,19.0,0.0146491904394757,62.0,0.0489344909234412,18.0,0.0142067876874507,13.0,0.0351351351351351,14.0,0.0107941403238242,27.0,0.0161967606478704,11,0.0086819258089976,1243.0,0.981057616416732,13.0,0.0102604577742699,0,0.0,134.0,0.362162162162162,236.0,0.637837837837838,247.0,0.667567567567568,123.0,0.332432432432432,3.0,,0.0,0.0,,0.0,0.0,2.0,0.0054054054054054,0.666666666666667
2,26163521900,0.65345821,418.21325496,1203,1201.0,0.99833748960931,541.0,0.450457951706911,660.0,0.549542048293089,38.0,0.0316402997502082,0.0702402957486137,12.0,0.0099916736053288,0.022181146025878,21.0,0.0174854288093256,0.0388170055452865,7.0,0.0058284762697751,0.0129390018484288,144.0,0.119900083263947,0.218181818181818,12.0,0.0099916736053288,0.0181818181818182,456.0,0.379683597002498,0.842883548983364,504.0,0.419650291423813,0.763636363636364,7.0,0.0058284762697751,0.0129390018484288,488.0,0.902033271719039,34.0,0.0628465804066543,14.0,0.0258780036968577,5.0,0.0092421441774491,1.14232902033272,414.0,0.907894736842105,25.0,0.0548245614035088,12.0,0.0263157894736842,5.0,0.0109649122807018,1.14035087719298,407.0,0.752310536044362,9.0,0.0166358595194085,39.0,0.0720887245841035,407.0,0.892543859649123,9.0,0.0197368421052632,39.0,0.0855263157894737,23.0,0.0425138632162662,5.0,0.0092421441774491,21.0,0.0460526315789474,5.0,0.0109649122807018,19.0,0.0287878787878788,4.0,0.0073937153419593,23.0,0.019150707743547,0,0.0,261.0,0.563714902807775,158.0,0.341252699784017,44,0.0950323974082073,174.0,0.263636363636364,486.0,0.736363636363636,235.0,0.356060606060606,425.0,0.643939393939394,12.0,7.0,0.0106060606060606,0.583333333333333,5.0,0.0075757575757575,0.416666666666667,,0.0,0.0
3,26163521800,0.08683707,55.57572992,36,36.0,1.0,26.0,0.722222222222222,10.0,0.277777777777778,2.0,0.0555555555555556,0.0769230769230769,,0.0,0.0,,0.0,0.0,,0.0,0.0,8.0,0.222222222222222,0.8,,,,24.0,0.666666666666667,0.923076923076923,2.0,0.0555555555555556,0.2,,0.0,0.0,26.0,1.0,,0.0,,0.0,,0.0,1.0,24.0,1.0,,0.0,,0.0,,0.0,1.0,24.0,0.923076923076923,,0.0,,0.0,24.0,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0,0.0,3.0,0.125,2.0,0.0833333333333333,19,0.791666666666667,8.0,0.8,2.0,0.2,10.0,1.0,,0.0,,,0.0,,,0.0,,,0.0,
4,26163521500,0.58221927,372.62033533,1343,1306.0,0.972449739389427,335.0,0.256508422664625,971.0,0.743491577335375,52.0,0.0398162327718224,0.155223880597015,10.0,0.007656967840735,0.0298507462686567,18.0,0.0137825421133231,0.0537313432835821,4.0,0.003062787136294,0.0119402985074627,214.0,0.16385911179173,0.220391349124614,27.0,0.0206738131699847,0.0278063851699279,249.0,0.190658499234303,0.743283582089552,730.0,0.55895865237366,0.751802265705458,1.0,0.0007656967840735,0.0029850746268656,269.0,0.802985074626866,50.0,0.149253731343284,10.0,0.0298507462686567,6.0,0.017910447761194,1.26268656716418,193.0,0.775100401606426,41.0,0.164658634538153,9.0,0.036144578313253,6.0,0.0240963855421687,1.30923694779116,200.0,0.597014925373134,12.0,0.0358208955223881,37.0,0.11044776119403,200.0,0.803212851405622,12.0,0.0481927710843374,37.0,0.14859437751004,28.0,0.0835820895522388,5.0,0.0149253731343284,26.0,0.104417670682731,5.0,0.0200803212851406,9.0,0.0092687950566426,3.0,0.008955223880597,12.0,0.009188361408882,3,0.0118577075098814,184.0,0.727272727272727,48.0,0.189723320158103,18,0.0711462450592885,242.0,0.249227600411946,729.0,0.750772399588054,364.0,0.374871266735324,607.0,0.625128733264676,27.0,13.0,0.0133882595262616,0.481481481481481,9.0,0.0092687950566426,0.333333333333333,5.0,0.0051493305870236,0.185185185185185
5,26163521400,0.50410501,322.62721017,718,690.0,0.96100278551532,365.0,0.528985507246377,325.0,0.471014492753623,80.0,0.115942028985507,0.219178082191781,10.0,0.0144927536231884,0.0273972602739726,10.0,0.0144927536231884,0.0273972602739726,8.0,0.0115942028985507,0.0219178082191781,108.0,0.156521739130435,0.332307692307692,83.0,0.120289855072464,0.255384615384615,241.0,0.349275362318841,0.66027397260274,134.0,0.194202898550725,0.412307692307692,16.0,0.0231884057971015,0.0438356164383562,348.0,0.953424657534247,16.0,0.0438356164383562,1.0,0.0027397260273972,,0.0,1.04931506849315,232.0,0.962655601659751,9.0,0.037344398340249,,0.0,,0.0,1.03734439834025,221.0,0.605479452054794,6.0,0.0164383561643836,14.0,0.0383561643835616,221.0,0.91701244813278,6.0,0.024896265560166,14.0,0.0580912863070539,10.0,0.0273972602739726,,0.0,5.0,0.020746887966805,,0.0,1.0,0.003076923076923,,0.0,1.0,0.0014492753623188,1,0.0040160642570281,181.0,0.726907630522088,52.0,0.208835341365462,13,0.0522088353413655,155.0,0.476923076923077,170.0,0.523076923076923,228.0,0.701538461538462,97.0,0.298461538461538,83.0,11.0,0.0338461538461538,0.132530120481928,59.0,0.181538461538462,0.710843373493976,12.0,0.0369230769230769,0.144578313253012
6,26163521300,0.37420171,239.48909894,1036,1003.0,0.968146718146718,366.0,0.364905284147557,637.0,0.635094715852443,34.0,0.0338983050847458,0.092896174863388,3.0,0.0029910269192422,0.0081967213114754,9.0,0.0089730807577268,0.0245901639344262,15.0,0.0149551345962114,0.040983606557377,105.0,0.10468594217348,0.164835164835165,26.0,0.0259222333000997,0.0408163265306122,301.0,0.300099700897308,0.822404371584699,506.0,0.504486540378863,0.794348508634223,4.0,0.003988035892323,0.0109289617486339,284.0,0.775956284153005,52.0,0.14207650273224,25.0,0.0683060109289618,5.0,0.0136612021857923,1.31967213114754,247.0,0.820598006644518,33.0,0.109634551495017,16.0,0.053156146179402,5.0,0.0166112956810631,1.26578073089701,233.0,0.636612021857924,17.0,0.046448087431694,51.0,0.139344262295082,233.0,0.774086378737541,17.0,0.0564784053156146,51.0,0.169435215946844,39.0,0.10655737704918,8.0,0.0218579234972678,30.0,0.0996677740863787,7.0,0.0232558139534884,17.0,0.0266875981161695,3.0,0.0081967213114754,20.0,0.0199401794616152,2,0.0063291139240506,276.0,0.873417721518987,34.0,0.107594936708861,4,0.0126582278481013,111.0,0.17425431711146,526.0,0.82574568288854,115.0,0.180533751962323,522.0,0.819466248037677,26.0,6.0,0.0094191522762951,0.230769230769231,12.0,0.0188383045525903,0.461538461538462,7.0,0.010989010989011,0.269230769230769
7,26163521100,0.61777542,395.37626986,959,917.0,0.956204379562044,469.0,0.511450381679389,448.0,0.488549618320611,51.0,0.0556161395856052,0.108742004264392,9.0,0.0098146128680479,0.0191897654584222,23.0,0.0250817884405671,0.0490405117270789,4.0,0.0043620501635768,0.0085287846481876,194.0,0.211559432933479,0.433035714285714,123.0,0.134133042529989,0.274553571428571,379.0,0.413304252998909,0.808102345415778,130.0,0.141766630316249,0.290178571428571,3.0,0.0032715376226826,0.0063965884861407,352.0,0.750533049040512,107.0,0.228144989339019,10.0,0.0213219616204691,,0.0,1.27078891257996,280.0,0.738786279683377,91.0,0.240105540897098,8.0,0.0211081794195251,,0.0,1.28232189973615,345.0,0.735607675906183,18.0,0.0383795309168444,16.0,0.0341151385927505,345.0,0.910290237467018,18.0,0.0474934036939314,16.0,0.0422163588390501,14.0,0.0298507462686567,,0.0,12.0,0.0316622691292876,,0.0,6.0,0.0133928571428571,2.0,0.0042643923240938,8.0,0.0087241003271537,2,0.0052219321148825,303.0,0.7911227154047,59.0,0.154046997389034,19,0.0496083550913838,234.0,0.522321428571429,214.0,0.477678571428571,346.0,0.772321428571429,102.0,0.227678571428571,123.0,36.0,0.0803571428571429,0.292682926829268,29.0,0.0647321428571429,0.235772357723577,47.0,0.104910714285714,0.382113821138211
8,26163985300,0.42678612,273.1431221,162,159.0,0.981481481481482,80.0,0.50314465408805,79.0,0.49685534591195,44.0,0.276729559748428,0.55,19.0,0.119496855345912,0.2375,8.0,0.050314465408805,0.1,1.0,0.0062893081761006,0.0125,39.0,0.245283018867925,0.493670886075949,6.0,0.0377358490566038,0.0759493670886076,1.0,0.0062893081761006,0.0125,34.0,0.213836477987421,0.430379746835443,7.0,0.0440251572327044,0.0875,64.0,0.8,9.0,0.1125,5.0,0.0625,2.0,0.025,1.3125,,0.0,1.0,1.0,,0.0,,0.0,2.0,1.0,0.0125,,0.0,,0.0,1.0,1.0,,0.0,,0.0,10.0,0.125,2.0,0.025,,0.0,,0.0,2.0,0.0253164556962025,1.0,0.0125,3.0,0.0188679245283019,0,0.0,0.0,0.0,0.0,0.0,2,1.0,48.0,0.607594936708861,30.0,0.379746835443038,37.0,0.468354430379747,41.0,0.518987341772152,6.0,1.0,0.0126582278481013,0.166666666666667,4.0,0.0506329113924051,0.666666666666667,,0.0,0.0
9,26163520800,0.52057922,333.17070257,192,127.0,0.661458333333333,81.0,0.637795275590551,46.0,0.362204724409449,61.0,0.480314960629921,0.753086419753086,2.0,0.015748031496063,0.0246913580246914,7.0,0.0551181102362205,0.0864197530864197,4.0,0.031496062992126,0.0493827160493827,34.0,0.267716535433071,0.739130434782609,7.0,0.0551181102362205,0.152173913043478,3.0,0.0236220472440945,0.037037037037037,5.0,0.0393700787401575,0.108695652173913,4.0,0.031496062992126,0.0493827160493827,81.0,1.0,,0.0,,0.0,,0.0,1.0,3.0,1.0,,0.0,,0.0,,0.0,1.0,2.0,0.0246913580246914,,0.0,1.0,0.0123456790123457,2.0,0.666666666666667,,0.0,1.0,0.333333333333333,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0,0.0,0.0,0.0,1.0,0.142857142857143,4,0.571428571428571,43.0,0.934782608695652,1.0,0.0217391304347826,41.0,0.891304347826087,3.0,0.0652173913043478,7.0,1.0,0.0217391304347826,0.142857142857143,4.0,0.0869565217391304,0.571428571428571,,0.0,0.0
10,26163520700,0.2963056,189.63558833,241,219.0,0.908713692946058,107.0,0.488584474885845,112.0,0.511415525114155,58.0,0.264840182648402,0.542056074766355,,0.0,0.0,6.0,0.0273972602739726,0.0560747663551402,33.0,0.150684931506849,0.308411214953271,53.0,0.242009132420091,0.473214285714286,45.0,0.205479452054795,0.401785714285714,7.0,0.0319634703196347,0.0654205607476635,14.0,0.0639269406392694,0.125,3.0,0.0136986301369863,0.0280373831775701,102.0,0.953271028037383,4.0,0.0373831775700935,1.0,0.0093457943925233,,0.0,1.05607476635514,7.0,1.0,,0.0,,0.0,,0.0,1.0,6.0,0.0560747663551402,,0.0,1.0,0.0093457943925233,6.0,0.857142857142857,,0.0,1.0,0.142857142857143,3.0,0.0280373831775701,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,39,0.975,85.0,0.758928571428571,27.0,0.241071428571429,81.0,0.723214285714286,31.0,0.276785714285714,45.0,2.0,0.0178571428571429,0.0444444444444444,40.0,0.357142857142857,0.888888888888889,,0.0,0.0
