OBJECTID,AV_LEGEND,IMS_LEGEND,COASTP_COD,COAST_POLY,NAMEDP_COD,NAMED_POLY,SCALELEVEL,STREAM_NO,STREAM,LAKE_NO,LAKE,BAY_NO,BAY,HARBOR_NO,HARBOR,SOUND_NO,SOUND,ACREAGE,Shape__Area,Shape__Length
5543,Water,Water,1,Inland Polygons,2,Named Waterbody,3,939,Konkapot River,0, ,0, ,0, ,0, ,15.57409954,678409.213317871,25839.1759914559
5544,Water,Water,1,Inland Polygons,2,Named Waterbody,6,0, ,1056,Grassland Pond,0, ,0, ,0, ,1.55878996,67900.7972412109,1242.91302619123
5545,Water,Water,1,Inland Polygons,2,Named Waterbody,4,1912,Whiting River,3046,Whiting River Dam,0, ,0, ,0, ,3.17126011,138140.13885498,2864.87473729786
5546,Water,Water,1,Inland Polygons,2,Named Waterbody,6,0, ,911,Fisher Pond No 2,0, ,0, ,0, ,3.35703992,146232.624450684,2447.27034062435
5547,Water,Water,1,Inland Polygons,2,Named Waterbody,5,0, ,910,Fisher Pond,0, ,0, ,0, ,45.3810997,1976799.89477539,7947.89623323128
5548,Water,Water,1,Inland Polygons,2,Named Waterbody,3,0, ,3409,Washining Lake,0, ,0, ,0, ,565.30401611,24624630.208374,27835.2335083078
5549,Water,Water,1,Inland Polygons,2,Named Waterbody,1,1866,West Branch Farmington River,568,Colebrook River Lake,0, ,0, ,0, ,675.68499755,29432836.2478027,42608.4456956472
5550,Water,Water,1,Inland Polygons,2,Named Waterbody,5,1953,Wood Creek,3556,Wood Creek Pond,0, ,0, ,0, ,147.62199401,6430425.21435547,17293.9750804533
5551,Water,Water,1,Inland Polygons,2,Named Waterbody,6,0, ,845,Emmons Pond,0, ,0, ,0, ,0.37651199,16400.7903442383,486.027765802292
5552,Water,Water,1,Inland Polygons,2,Named Waterbody,3,149,Blackberry River,0, ,0, ,0, ,0, ,9.35480022,407495.18170166,14277.9521256415
5553,Water,Water,1,Inland Polygons,2,Named Waterbody,3,1528,Schenob Brook,0, ,0, ,0, ,0, ,0.45880401,19985.4353027344,814.713355601639
5554,Water,Water,1,Inland Polygons,2,Named Waterbody,3,1528,Schenob Brook,2556,Scovills Pond,0, ,0, ,0, ,9.06284046,394777.406188965,5788.55204451117
5555,Water,Water,1,Inland Polygons,2,Named Waterbody,5,0, ,2691,Spears Pond,0, ,0, ,0, ,5.16922998,225171.398498535,2789.9957905837
5556,Water,Water,1,Inland Polygons,2,Named Waterbody,4,0, ,3403,Washinee Lake,0, ,0, ,0, ,271.33099365,11819191.7511597,24683.6342126871
5557,Water,Water,1,Inland Polygons,2,Named Waterbody,2,827,Hubbard Brook,0, ,0, ,0, ,0, ,0.42494699,18510.6210327148,689.128578170955
5558,Water,Water,1,Inland Polygons,2,Named Waterbody,6,0, ,1629,Lime Pond,0, ,0, ,0, ,0.35160401,15315.9436035156,612.17439808493
5559,Water,Water,1,Inland Polygons,2,Named Waterbody,5,0, ,2575,Shaker Pond,0, ,0, ,0, ,23.31839942,1015748.37957764,10282.5126366517
5560,Water,Water,1,Inland Polygons,2,Named Waterbody,2,1526,Scantic River,0, ,0, ,0, ,0, ,0.18008999,7844.69604492188,388.356254658735
5561,Water,Water,1,Inland Polygons,2,Named Waterbody,1,1403,Quinebaug River,1136,Hamilton Reservoir,0, ,0, ,0, ,17.46220016,760652.124511719,6921.59919418019
5562,Water,Water,1,Inland Polygons,2,Named Waterbody,2,511,East Branch Farmington River,118,Barkhamsted Reservoir,0, ,0, ,0, ,2240.45996093,97594486.7037354,156339.318272094
5563,Water,Water,1,Inland Polygons,2,Named Waterbody,3,131,Bigelow Brook,1779,Mashapaug Pond,0, ,0, ,0, ,297.91799926,12977307.6345825,38090.164008467
5564,Water,Water,1,Inland Polygons,2,Named Waterbody,5,610,Fourmile Brook,0, ,0, ,0, ,0, ,0.39215999,17082.4797973633,776.525891101112
5565,Water,Water,1,Inland Polygons,2,Named Waterbody,5,0, ,641,Crescent Lake,0, ,0, ,0, ,33.22430038,1447252.32727051,8816.25915447804
5566,Water,Water,1,Inland Polygons,2,Named Waterbody,5,1224,North Brook,0, ,0, ,0, ,0, ,0.46953898,20453.1245117188,928.46798715747
5567,Water,Water,1,Inland Polygons,2,Named Waterbody,5,0, ,301,Breakneck Pond,0, ,0, ,0, ,87.58509826,3815208.94610596,23566.7455130731
5568,Water,Water,1,Inland Polygons,2,Named Waterbody,4,960,Leadmine Brook,0, ,0, ,0, ,0, ,21.59020042,940468.114013672,8909.74251407795
5569,Water,Water,1,Inland Polygons,2,Named Waterbody,5,614,Fox Brook,0, ,0, ,0, ,0, ,0.23599599,10279.9764404297,431.864884485615
5570,Water,Water,1,Inland Polygons,2,Named Waterbody,5,1126,Monument Brook,2421,Riga Lake,0, ,0, ,0, ,155.05099487,6754009.61523438,18628.276308322
5571,Water,Water,1,Inland Polygons,2,Named Waterbody,5,0, ,1174,Hatchet Pond,0, ,0, ,0, ,37.28480148,1624124.69055176,7705.8897528867
5572,Water,Water,1,Inland Polygons,2,Named Waterbody,5,0, ,1559,Lamanquis Pond,0, ,0, ,0, ,23.18470001,1009926.81420898,6536.53042898905
5573,Water,Water,1,Inland Polygons,2,Named Waterbody,5,1224,North Brook,0, ,0, ,0, ,0, ,2.60805988,113607.122924805,1618.02027502014
5574,Water,Water,1,Inland Polygons,2,Named Waterbody,5,0, ,1942,Muddy Pond,0, ,0, ,0, ,38.32360076,1669375.15246582,7804.58783164765
5575,Water,Water,1,Inland Polygons,2,Named Waterbody,5,614,Fox Brook,0, ,0, ,0, ,0, ,0.25520798,11116.8369750977,395.807077365236
5576,Water,Water,1,Inland Polygons,2,Named Waterbody,1,1403,Quinebaug River,0, ,0, ,0, ,0, ,10.87320041,473638.371459961,11317.7808340929
5577,Water,Water,1,Inland Polygons,2,Named Waterbody,5,1516,Sawmill Brook,2737,State Line Pond,0, ,0, ,0, ,74.65809631,3252106.85668945,16895.2893786143
5578,Water,Water,1,Inland Polygons,2,Named Waterbody,2,1526,Scantic River,0, ,0, ,0, ,0, ,0.229072,9978.37225341797,445.344441915182
5579,Water,Water,1,Inland Polygons,2,Named Waterbody,5,610,Fourmile Brook,0, ,0, ,0, ,0, ,1.51666998,66066.2332763672,1718.45623663548
5580,Water,Water,1,Inland Polygons,2,Named Waterbody,6,0, ,2857,Taylor Pond,0, ,0, ,0, ,1.20088005,52310.453918457,1076.07660642095
5581,Water,Water,1,Inland Polygons,2,Named Waterbody,5,1224,North Brook,1540,Lake Triangle,0, ,0, ,0, ,49.18799972,2142627.73461914,11433.1542178446
5582,Water,Water,1,Inland Polygons,2,Named Waterbody,5,1668,Still Brook,0, ,0, ,0, ,0, ,2.0975399,91368.8506469727,1511.22650456225
5583,Water,Water,1,Inland Polygons,2,Named Waterbody,6,0, ,1021,Glaziers Pond,0, ,0, ,0, ,2.30763006,100520.59765625,1465.0565190922
