region,region_code,period,pct_hospitals_cehrt,pct_hospitals_cehrt_2015,pct_hospitals_find_clinical_info,pct_hospitals_send_clinical_info,pct_hospitals_receive_clinical_info,pct_hospitals_integrate_scr,pct_hospitals_send_receive_find_integrate,pct_hospitals_clinical_out,pct_hospitals_phi_out,pct_hospitals_hie_participate,pct_hospitals_netwk,pct_hospitals_api,pct_hospitals_integrate_pdmp,pct_hospitals_integrate_data_pdmp,pct_hospitals_epcs,pct_hospitals_patients_view,pct_hospitals_patients_download,pct_hospitals_patients_transmit,pct_hospitals_patients_vdt,pct_hospitals_basic_ehr_notes,pct_rural_hospitals_basic_ehr_notes,pct_small_hospitals_basic_ehr_notes,pct_critical_access_hospitals_basic_ehr_notes,pct_hospitals_basic_ehr_no_notes,pct_rural_hospitals_basic_ehr_no_notes,pct_small_hospitals_basic_ehr_no_notes,pct_critical_access_hospitals_basic_ehr_no_notes,pct_small_rural_hospitals_cehrt,pct_cah_hospitals_cehrt,pct_hospitals_share_labs_any_outside_provs,pct_hospitals_share_labs_any_outside_hospitals,pct_hospitals_share_labs_any_outside_ambu_provs,pct_hospitals_patients_ecopy_ehr,pct_hospitals_patients_ecopy_discharge_instr,pct_hospitals_share_care_summaries_any_outside_provs,pct_hospitals_share_care_summaries_any_outside_hospitals,pct_hospitals_share_care_summaries_any_outside_ambu_provs,pct_hospitals_patients_secure_message,pct_hospitals_integrate_any_clinical_info
National,US,2020,0.9375,0.8699,0.8038,0.9107,0.8466,0.7389,0.6235,0.6499,0.735,0.7565,0.6376,0.717,,,0.9576,0.9835,0.9478,0.7426,0.7307,,,,,,,,,,,,,,,,,,,,
Alaska,AK,2020,1.0,0.8459,1.0,1.0,1.0,0.8459,0.8459,0.7779,1.0,0.6381,1.0,0.388,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
Alabama,AL,2020,0.9404,0.8718,0.6924,0.967,0.836,0.5294,0.4571,0.4693,0.5533,0.5931,0.6237,0.6869,,,0.8615,1.0,0.7943,0.6478,0.6094,,,,,,,,,,,,,,,,,,,,
Arkansas,AR,2020,0.9186,0.8869,0.663,0.9279,0.746,0.6732,0.4916,0.5041,0.5689,0.8885,0.7092,0.8252,,,0.8892,0.9669,0.9669,0.7294,0.7294,,,,,,,,,,,,,,,,,,,,
Arizona,AZ,2020,0.9149,0.9149,0.7638,0.9649,0.9406,0.8307,0.7395,0.7045,0.8802,0.9379,0.6833,0.7309,,,1.0,1.0,0.9243,0.7812,0.7812,,,,,,,,,,,,,,,,,,,,
California,CA,2020,0.9003,0.864,0.7705,0.8902,0.815,0.743,0.5864,0.6269,0.6386,0.7675,0.6258,0.7743,,,0.9385,0.9799,0.9447,0.7254,0.6999,,,,,,,,,,,,,,,,,,,,
Colorado,CO,2020,0.9039,0.9039,0.8381,0.8923,0.8229,0.8154,0.7061,0.6037,0.8627,0.9473,0.6811,0.715,,,0.9519,1.0,0.9078,0.8482,0.8175,,,,,,,,,,,,,,,,,,,,
Connecticut,CT,2020,1.0,0.7195,0.9362,1.0,0.9362,1.0,0.9362,0.7195,0.7834,0.7172,0.9362,0.8472,,,1.0,1.0,1.0,0.6269,0.6269,,,,,,,,,,,,,,,,,,,,
District Of Columbia,DC,2020,1.0,1.0,1.0,1.0,0.8341,0.8341,0.8341,0.8197,0.8341,1.0,1.0,0.8018,,,1.0,0.8341,0.8341,0.8018,0.8018,,,,,,,,,,,,,,,,,,,,
Delaware,DE,2020,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7392,1.0,1.0,0.7392,,,1.0,1.0,1.0,0.4725,0.4725,,,,,,,,,,,,,,,,,,,,
Florida,FL,2020,0.9935,0.9354,0.8964,0.9497,0.9209,0.8792,0.8368,0.7287,0.8128,0.7536,0.5219,0.4906,,,0.987,1.0,0.9776,0.8753,0.87,,,,,,,,,,,,,,,,,,,,
Georgia,GA,2020,0.9119,0.7317,0.7853,0.9327,0.85,0.8181,0.7017,0.7265,0.7264,0.4658,0.5186,0.5044,,,0.925,1.0,0.9837,0.839,0.8227,,,,,,,,,,,,,,,,,,,,
Hawaii,HI,2020,0.7423,0.6674,0.5939,0.6683,0.6926,0.2491,0.1632,0.4632,0.6136,0.9293,0.6142,0.4125,,,1.0,1.0,0.7743,0.4318,0.4318,,,,,,,,,,,,,,,,,,,,
Iowa,IA,2020,0.9168,0.8687,0.7418,0.8684,0.8444,0.615,0.535,0.568,0.7203,0.8068,0.7303,0.7869,,,1.0,1.0,1.0,0.6409,0.6409,,,,,,,,,,,,,,,,,,,,
Idaho,ID,2020,1.0,0.8913,0.8184,0.8913,0.8913,0.7403,0.523,0.4477,0.816,0.6978,0.6528,0.8064,,,1.0,1.0,1.0,0.7097,0.7097,,,,,,,,,,,,,,,,,,,,
Illinois,IL,2020,0.9547,0.8814,0.8138,0.9131,0.8743,0.7421,0.6044,0.7364,0.8015,0.4945,0.7597,0.8223,,,0.9445,1.0,1.0,0.813,0.813,,,,,,,,,,,,,,,,,,,,
Indiana,IN,2020,0.9796,0.9438,0.8927,0.9605,0.904,0.8086,0.6937,0.8799,0.8807,0.9617,0.6585,0.8189,,,1.0,1.0,0.9833,0.8941,0.8941,,,,,,,,,,,,,,,,,,,,
Kansas,KS,2020,0.8727,0.83,0.6917,0.8259,0.7136,0.5957,0.4504,0.3779,0.4722,0.9129,0.4089,0.629,,,0.8975,0.9008,0.8814,0.5904,0.5458,,,,,,,,,,,,,,,,,,,,
Kentucky,KY,2020,0.9707,0.9707,0.7754,0.9499,0.5712,0.7145,0.3375,0.4754,0.4953,0.9292,0.4101,0.5131,,,0.9707,0.9707,0.9707,0.5086,0.5086,,,,,,,,,,,,,,,,,,,,
Louisiana,LA,2020,0.8452,0.8452,0.5137,0.7604,0.7225,0.5117,0.2947,0.4201,0.6105,0.8496,0.6146,0.6978,,,0.8441,1.0,0.8418,0.7239,0.6839,,,,,,,,,,,,,,,,,,,,
Massachusetts,MA,2020,1.0,1.0,0.8838,1.0,0.9164,0.6869,0.6277,0.6924,0.6867,1.0,0.6794,0.915,,,1.0,1.0,1.0,0.8306,0.8306,,,,,,,,,,,,,,,,,,,,
Maryland,MD,2020,1.0,1.0,0.9098,1.0,0.9694,0.7594,0.6386,0.9721,0.7302,1.0,0.9015,0.9675,,,1.0,1.0,1.0,0.6696,0.6696,,,,,,,,,,,,,,,,,,,,
Maine,ME,2020,0.8988,0.8556,0.8574,0.9141,0.9141,0.3303,0.295,0.8766,0.8966,1.0,0.3517,0.8562,,,1.0,1.0,1.0,0.3996,0.3996,,,,,,,,,,,,,,,,,,,,
Michigan,MI,2020,0.949,0.9157,0.8921,0.949,0.9311,0.8568,0.8203,0.6711,0.7806,0.942,0.8587,0.9186,,,0.9507,1.0,0.9607,0.7904,0.7512,,,,,,,,,,,,,,,,,,,,
Minnesota,MN,2020,0.9807,0.9149,0.8787,0.9807,0.9667,0.843,0.782,0.7727,0.8129,0.5564,0.8897,0.8104,,,0.9607,0.9736,0.9891,0.7724,0.7567,,,,,,,,,,,,,,,,,,,,
Missouri,MO,2020,0.9344,0.8759,0.7751,0.8925,0.8675,0.873,0.6508,0.8803,0.7177,0.7195,0.6208,0.9156,,,1.0,1.0,1.0,0.9728,0.9722,,,,,,,,,,,,,,,,,,,,
Mississippi,MS,2020,0.7413,0.6419,0.6363,0.8576,0.6206,0.6613,0.4178,0.4006,0.4549,0.3795,0.4473,0.6206,,,0.7765,1.0,0.8503,0.5922,0.5201,,,,,,,,,,,,,,,,,,,,
Montana,MT,2020,0.7547,0.6923,0.7097,0.7642,0.7097,0.552,0.4862,0.4268,0.4935,0.1299,0.4547,0.5967,,,0.9342,0.9298,0.8716,0.5398,0.5398,,,,,,,,,,,,,,,,,,,,
North Carolina,NC,2020,1.0,0.9864,0.8926,0.9783,0.879,0.8152,0.6615,0.7739,0.8075,0.9745,0.8234,0.5748,,,0.9783,1.0,0.9774,0.8413,0.8187,,,,,,,,,,,,,,,,,,,,
North Dakota,ND,2020,1.0,0.9275,0.8157,0.7482,0.9078,0.4315,0.4315,0.8157,0.9078,1.0,0.8354,0.5835,,,1.0,1.0,0.9275,0.7432,0.7432,,,,,,,,,,,,,,,,,,,,
Nebraska,NE,2020,0.976,0.847,0.8015,0.9754,0.7869,0.6262,0.4817,0.4624,0.6551,0.883,0.6533,0.8457,,,1.0,0.9678,0.9678,0.4206,0.4206,,,,,,,,,,,,,,,,,,,,
New Hampshire,NH,2020,0.9323,0.9323,0.8934,0.9323,0.9323,0.7553,0.6947,0.6676,0.9125,0.2885,0.4848,0.5186,,,0.9296,1.0,0.9539,0.7987,0.7987,,,,,,,,,,,,,,,,,,,,
