OBJECTID,BOUNDARY,DATA_SRC,SHAPE_Length
1,County,ME,292480.879461791
2,County,ME,76290.3481725584
3,County,ME,278334.550157848
4,County,ME,330719.074950713
5,County,ME,324585.473527186
6,Shoreline,ME,3372.57930955098
7,Shoreline,ME,4383.92093044219
8,Shoreline,ME,4803.21379596819
9,Shoreline,ME,4461.72026994879
10,Shoreline,ME,4648.04105830178
11,Shoreline,ME,4286.41428316169
12,Shoreline,ME,5996.214947821
13,Shoreline,ME,927.743960218196
14,Shoreline,ME,5906.63689223967
15,Shoreline,ME,781.627186083973
16,Shoreline,ME,5221.60171506573
17,Shoreline,ME,5836.78681058458
18,Shoreline,ME,5691.51764081
19,Shoreline,ME,5934.4234967705
20,Shoreline,ME,5234.9708220199
21,Shoreline,ME,6066.01139612878
22,Shoreline,ME,22369.4854379738
23,Shoreline,ME,6338.99139816206
24,Shoreline,ME,6216.28282452149
25,Shoreline,ME,5861.83177475808
26,Shoreline,ME,5592.27610424331
27,Shoreline,ME,18921.6308509263
28,Shoreline,ME,5216.36596320263
29,Shoreline,ME,5118.49860526998
30,Shoreline,ME,6352.68378000183
31,Shoreline,ME,3162.59603570293
32,Shoreline,ME,6283.95248036548
33,Shoreline,ME,12091.8505314513
34,Shoreline,ME,11910.3183262854
35,Shoreline,ME,10573.4309008452
36,Shoreline,ME,6112.58829881211
37,Shoreline,ME,3128.4374853493
38,Shoreline,ME,19139.4370135255
39,Shoreline,ME,9306.77602976615
40,Shoreline,ME,5383.65411123174
41,Shoreline,ME,10994.7143147053
42,Shoreline,ME,2291.10108864254
43,Shoreline,ME,3639.52197668233
44,Shoreline,ME,4227.35301220856
45,Shoreline,ME,21944.5630820703
46,Shoreline,ME,7260.73698855286
47,Shoreline,ME,6219.46556132427
48,Shoreline,ME,8899.34316404668
49,Shoreline,ME,5761.08663864087
50,County,ME,72744.5167682613
51,Shoreline,ME,6997.36272024596
52,Shoreline,ME,3700.59610008127
53,Shoreline,ME,5440.68687313542
54,Shoreline,ME,2977.87609482816
55,Shoreline,ME,27631.8785994356
