region,region_code,period,students_trained_period,students_trained_cumul,students_trained_target,students_enroll,students_enroll_trained
National,US,2010-09,0.0,0.0,10500.0,2015.0,1225.0
National,US,2010-12,93.0,93.0,10500.0,1640.0,894.0
National,US,2011-03,1098.0,1191.0,10500.0,4275.0,2478.0
National,US,2011-06,1936.0,3127.0,10500.0,3874.0,2197.0
National,US,2011-09,2108.0,5235.0,10500.0,6373.0,3959.0
National,US,2011-12,3367.0,8602.0,10500.0,3103.0,2000.0
National,US,2012-03,3545.0,12147.0,10500.0,4255.0,2813.0
National,US,2012-06,1889.0,14036.0,10500.0,1882.0,1099.0
National,US,2012-09,1508.0,15544.0,10500.0,2299.0,1240.0
National,US,2012-12,1326.0,16870.0,10500.0,1515.0,908.0
National,US,2013-03,1962.0,18832.0,10500.0,638.0,442.0
National,US,2013-06,180.0,19012.0,10500.0,628.0,417.0
National,US,2013-09,721.0,19733.0,10500.0,101.0,61.0
Alaska,AK,2010-09,0.0,0.0,0.0,0.0,0.0
Alaska,AK,2010-12,0.0,0.0,0.0,1.0,0.0
Alaska,AK,2011-03,0.0,0.0,0.0,0.0,0.0
Alaska,AK,2011-06,0.0,0.0,0.0,1.0,1.0
Alaska,AK,2011-09,67.0,67.0,0.0,72.0,72.0
Alaska,AK,2011-12,5.0,72.0,0.0,0.0,0.0
Alaska,AK,2012-03,52.0,124.0,0.0,52.0,51.0
Alaska,AK,2012-06,0.0,124.0,0.0,1.0,0.0
Alaska,AK,2012-09,0.0,124.0,0.0,1.0,0.0
Alaska,AK,2012-12,0.0,124.0,0.0,0.0,0.0
Alaska,AK,2013-03,0.0,124.0,0.0,0.0,0.0
Alaska,AK,2013-06,0.0,124.0,0.0,0.0,0.0
Alaska,AK,2013-09,0.0,124.0,0.0,0.0,0.0
Alabama,AL,2010-09,0.0,0.0,0.0,0.0,0.0
Alabama,AL,2010-12,0.0,0.0,0.0,4.0,3.0
Alabama,AL,2011-03,0.0,0.0,0.0,1.0,0.0
Alabama,AL,2011-06,3.0,3.0,0.0,4.0,3.0
Alabama,AL,2011-09,0.0,3.0,0.0,28.0,15.0
Alabama,AL,2011-12,12.0,15.0,0.0,11.0,3.0
Alabama,AL,2012-03,14.0,29.0,0.0,15.0,10.0
Alabama,AL,2012-06,2.0,31.0,0.0,10.0,4.0
Alabama,AL,2012-09,4.0,35.0,0.0,40.0,18.0
Alabama,AL,2012-12,5.0,40.0,0.0,33.0,19.0
Alabama,AL,2013-03,33.0,73.0,0.0,2.0,1.0
Alabama,AL,2013-06,0.0,73.0,0.0,3.0,1.0
Alabama,AL,2013-09,4.0,77.0,0.0,0.0,0.0
Arkansas,AR,2010-09,0.0,0.0,0.0,15.0,11.0
Arkansas,AR,2010-12,0.0,0.0,0.0,2.0,0.0
Arkansas,AR,2011-03,11.0,11.0,0.0,17.0,11.0
Arkansas,AR,2011-06,7.0,18.0,0.0,14.0,6.0
Arkansas,AR,2011-09,3.0,21.0,0.0,20.0,10.0
Arkansas,AR,2011-12,13.0,34.0,0.0,27.0,8.0
Arkansas,AR,2012-03,16.0,50.0,0.0,17.0,8.0
Arkansas,AR,2012-06,2.0,52.0,0.0,4.0,1.0
Arkansas,AR,2012-09,5.0,57.0,0.0,23.0,15.0
Arkansas,AR,2012-12,12.0,69.0,0.0,9.0,5.0
Arkansas,AR,2013-03,9.0,78.0,0.0,6.0,3.0
Arkansas,AR,2013-06,0.0,78.0,0.0,1.0,0.0
Arkansas,AR,2013-09,0.0,78.0,0.0,0.0,0.0
Arizona,AZ,2010-09,0.0,0.0,0.0,48.0,27.0
Arizona,AZ,2010-12,18.0,18.0,0.0,109.0,25.0
Arizona,AZ,2011-03,37.0,55.0,0.0,112.0,75.0
Arizona,AZ,2011-06,55.0,110.0,0.0,46.0,21.0
Arizona,AZ,2011-09,23.0,133.0,0.0,210.0,107.0
Arizona,AZ,2011-12,99.0,232.0,0.0,73.0,18.0
Arizona,AZ,2012-03,52.0,284.0,0.0,163.0,60.0
Arizona,AZ,2012-06,36.0,320.0,0.0,9.0,5.0
Arizona,AZ,2012-09,14.0,334.0,0.0,9.0,5.0
Arizona,AZ,2012-12,11.0,345.0,0.0,9.0,5.0
Arizona,AZ,2013-03,3.0,348.0,0.0,1.0,1.0
Arizona,AZ,2013-06,1.0,349.0,0.0,47.0,39.0
Arizona,AZ,2013-09,39.0,388.0,0.0,0.0,0.0
California,CA,2010-09,0.0,0.0,0.0,238.0,143.0
California,CA,2010-12,4.0,4.0,0.0,156.0,77.0
California,CA,2011-03,196.0,200.0,0.0,520.0,314.0
California,CA,2011-06,135.0,335.0,0.0,240.0,111.0
California,CA,2011-09,358.0,693.0,0.0,660.0,497.0
California,CA,2011-12,310.0,1003.0,0.0,230.0,126.0
California,CA,2012-03,200.0,1203.0,0.0,647.0,436.0
California,CA,2012-06,280.0,1483.0,0.0,195.0,135.0
California,CA,2012-09,236.0,1719.0,0.0,89.0,40.0
California,CA,2012-12,136.0,1855.0,0.0,76.0,63.0
California,CA,2013-03,104.0,1959.0,0.0,143.0,116.0
California,CA,2013-06,40.0,1999.0,0.0,4.0,0.0
California,CA,2013-09,59.0,2058.0,0.0,0.0,0.0
Colorado,CO,2010-09,0.0,0.0,0.0,11.0,7.0
Colorado,CO,2010-12,0.0,0.0,0.0,13.0,8.0
Colorado,CO,2011-03,6.0,6.0,0.0,42.0,24.0
Colorado,CO,2011-06,124.0,130.0,0.0,116.0,113.0
Colorado,CO,2011-09,44.0,174.0,0.0,77.0,67.0
Colorado,CO,2011-12,60.0,234.0,0.0,27.0,23.0
Colorado,CO,2012-03,97.0,331.0,0.0,98.0,94.0
Colorado,CO,2012-06,2.0,333.0,0.0,0.0,0.0
Colorado,CO,2012-09,3.0,336.0,0.0,1.0,0.0
Colorado,CO,2012-12,0.0,336.0,0.0,1.0,1.0
Colorado,CO,2013-03,1.0,337.0,0.0,1.0,0.0
Colorado,CO,2013-06,0.0,337.0,0.0,0.0,0.0
Colorado,CO,2013-09,0.0,337.0,0.0,0.0,0.0
Connecticut,CT,2010-09,0.0,0.0,0.0,1.0,0.0
Connecticut,CT,2010-12,0.0,0.0,0.0,47.0,33.0
Connecticut,CT,2011-03,0.0,0.0,0.0,0.0,0.0
Connecticut,CT,2011-06,31.0,31.0,0.0,75.0,65.0
Connecticut,CT,2011-09,0.0,31.0,0.0,8.0,5.0
Connecticut,CT,2011-12,23.0,54.0,0.0,52.0,47.0
Connecticut,CT,2012-03,52.0,106.0,0.0,4.0,4.0
Connecticut,CT,2012-06,47.0,153.0,0.0,36.0,31.0
Connecticut,CT,2012-09,2.0,155.0,0.0,5.0,3.0
Connecticut,CT,2012-12,18.0,173.0,0.0,66.0,51.0
Connecticut,CT,2013-03,139.0,312.0,0.0,91.0,75.0
Connecticut,CT,2013-06,2.0,314.0,0.0,0.0,0.0
Connecticut,CT,2013-09,0.0,314.0,0.0,0.0,0.0
District Of Columbia,DC,2010-09,0.0,0.0,0.0,1.0,1.0
District Of Columbia,DC,2010-12,0.0,0.0,0.0,1.0,0.0
District Of Columbia,DC,2011-03,2.0,2.0,0.0,32.0,15.0
District Of Columbia,DC,2011-06,0.0,2.0,0.0,0.0,0.0
District Of Columbia,DC,2011-09,14.0,16.0,0.0,33.0,16.0
District Of Columbia,DC,2011-12,2.0,18.0,0.0,1.0,0.0
District Of Columbia,DC,2012-03,3.0,21.0,0.0,4.0,3.0
District Of Columbia,DC,2012-06,14.0,35.0,0.0,31.0,20.0
District Of Columbia,DC,2012-09,20.0,55.0,0.0,3.0,2.0
District Of Columbia,DC,2012-12,0.0,55.0,0.0,25.0,11.0
District Of Columbia,DC,2013-03,13.0,68.0,0.0,0.0,0.0
District Of Columbia,DC,2013-06,0.0,68.0,0.0,2.0,1.0
District Of Columbia,DC,2013-09,1.0,69.0,0.0,0.0,0.0
Delaware,DE,2010-09,0.0,0.0,0.0,0.0,0.0
Delaware,DE,2010-12,0.0,0.0,0.0,1.0,0.0
Delaware,DE,2011-03,0.0,0.0,0.0,2.0,1.0
Delaware,DE,2011-06,0.0,0.0,0.0,0.0,0.0
Delaware,DE,2011-09,0.0,0.0,0.0,3.0,1.0
Delaware,DE,2011-12,1.0,1.0,0.0,1.0,1.0
Delaware,DE,2012-03,3.0,4.0,0.0,1.0,1.0
Delaware,DE,2012-06,0.0,4.0,0.0,2.0,2.0
Delaware,DE,2012-09,0.0,4.0,0.0,1.0,0.0
Delaware,DE,2012-12,2.0,6.0,0.0,0.0,0.0
Delaware,DE,2013-03,0.0,6.0,0.0,0.0,0.0
Delaware,DE,2013-06,0.0,6.0,0.0,0.0,0.0
Delaware,DE,2013-09,0.0,6.0,0.0,0.0,0.0
Florida,FL,2010-09,0.0,0.0,0.0,81.0,46.0
Florida,FL,2010-12,1.0,1.0,0.0,54.0,30.0
Florida,FL,2011-03,28.0,29.0,0.0,244.0,121.0
Florida,FL,2011-06,57.0,86.0,0.0,142.0,63.0
Florida,FL,2011-09,97.0,183.0,0.0,552.0,282.0
Florida,FL,2011-12,133.0,316.0,0.0,70.0,33.0
Florida,FL,2012-03,216.0,532.0,0.0,199.0,109.0
Florida,FL,2012-06,34.0,566.0,0.0,148.0,65.0
Florida,FL,2012-09,85.0,651.0,0.0,300.0,144.0
Florida,FL,2012-12,73.0,724.0,0.0,144.0,79.0
Florida,FL,2013-03,181.0,905.0,0.0,69.0,46.0
Florida,FL,2013-06,66.0,971.0,0.0,183.0,111.0
Florida,FL,2013-09,160.0,1131.0,0.0,4.0,2.0
Georgia,GA,2010-09,0.0,0.0,0.0,11.0,0.0
Georgia,GA,2010-12,0.0,0.0,0.0,5.0,2.0
Georgia,GA,2011-03,0.0,0.0,0.0,238.0,60.0
Georgia,GA,2011-06,6.0,6.0,0.0,166.0,46.0
Georgia,GA,2011-09,31.0,37.0,0.0,324.0,94.0
Georgia,GA,2011-12,45.0,82.0,0.0,142.0,26.0
Georgia,GA,2012-03,78.0,160.0,0.0,185.0,50.0
Georgia,GA,2012-06,38.0,198.0,0.0,89.0,21.0
Georgia,GA,2012-09,40.0,238.0,0.0,173.0,86.0
Georgia,GA,2012-12,48.0,286.0,0.0,105.0,32.0
Georgia,GA,2013-03,122.0,408.0,0.0,49.0,28.0
Georgia,GA,2013-06,18.0,426.0,0.0,27.0,17.0
Georgia,GA,2013-09,39.0,465.0,0.0,4.0,3.0
Hawaii,HI,2010-09,0.0,0.0,0.0,47.0,2.0
Hawaii,HI,2010-12,0.0,0.0,0.0,0.0,0.0
Hawaii,HI,2011-03,0.0,0.0,0.0,39.0,14.0
Hawaii,HI,2011-06,3.0,3.0,0.0,39.0,17.0
Hawaii,HI,2011-09,0.0,3.0,0.0,2.0,2.0
Hawaii,HI,2011-12,30.0,33.0,0.0,77.0,34.0
Hawaii,HI,2012-03,4.0,37.0,0.0,3.0,2.0
Hawaii,HI,2012-06,33.0,70.0,0.0,0.0,0.0
Hawaii,HI,2012-09,0.0,70.0,0.0,101.0,27.0
Hawaii,HI,2012-12,0.0,70.0,0.0,0.0,0.0
Hawaii,HI,2013-03,13.0,83.0,0.0,0.0,0.0
Hawaii,HI,2013-06,10.0,93.0,0.0,0.0,0.0
Hawaii,HI,2013-09,5.0,98.0,0.0,0.0,0.0
Iowa,IA,2010-09,0.0,0.0,0.0,27.0,9.0
Iowa,IA,2010-12,0.0,0.0,0.0,35.0,24.0
Iowa,IA,2011-03,1.0,1.0,0.0,62.0,18.0
Iowa,IA,2011-06,28.0,29.0,0.0,25.0,11.0
Iowa,IA,2011-09,12.0,41.0,0.0,100.0,71.0
Iowa,IA,2011-12,30.0,71.0,0.0,30.0,22.0
Iowa,IA,2012-03,48.0,119.0,0.0,27.0,19.0
Iowa,IA,2012-06,29.0,148.0,0.0,41.0,20.0
Iowa,IA,2012-09,23.0,171.0,0.0,19.0,8.0
Iowa,IA,2012-12,24.0,195.0,0.0,3.0,2.0
Iowa,IA,2013-03,6.0,201.0,0.0,0.0,0.0
Iowa,IA,2013-06,0.0,201.0,0.0,0.0,0.0
Iowa,IA,2013-09,3.0,204.0,0.0,0.0,0.0
Idaho,ID,2010-09,0.0,0.0,0.0,26.0,22.0
Idaho,ID,2010-12,12.0,12.0,0.0,2.0,1.0
Idaho,ID,2011-03,3.0,15.0,0.0,38.0,32.0
Idaho,ID,2011-06,23.0,38.0,0.0,82.0,57.0
Idaho,ID,2011-09,17.0,55.0,0.0,92.0,76.0
Idaho,ID,2011-12,111.0,166.0,0.0,56.0,50.0
Idaho,ID,2012-03,85.0,251.0,0.0,15.0,14.0
Idaho,ID,2012-06,0.0,251.0,0.0,4.0,3.0
Idaho,ID,2012-09,0.0,251.0,0.0,0.0,0.0
Idaho,ID,2012-12,4.0,255.0,0.0,1.0,1.0
Idaho,ID,2013-03,0.0,255.0,0.0,0.0,0.0
Idaho,ID,2013-06,0.0,255.0,0.0,0.0,0.0
Idaho,ID,2013-09,1.0,256.0,0.0,0.0,0.0
