County,District,School_Name,Program,Application_Number,Applicant,Preliminary_Grant_Application,Full_Grant_Application,Site_and_Design_Application,Site_Only_Application,Design_Only_Application,Environmental_Hardship_Application,Reduced_to_Costs_Incurred,Number_of_Elementary_School_Pupil_Grants_Requested,Number_of_Middle_School_Pupil_Grants_Requested,Number_of_High_School_Pupil_Grants_Requested,Number_of_Non_Severe_School_Pupil_Grants_Requested,Number_of_Severe_School_Pupil_Grants_Requested,Grade_Level_of_Project,State_Share_of_Funding,Site_Acquisition,Financial_Hardship,CSFA_Lease_Amount,CTEFP_Loan_Amount,Type_of_Joint_Use_Facility,Type_of_Joint_Use_Partner,Industry_Sector,Portables_Replaced,Last_SAB_Date,Status
Amador,Amador County Office Of Education,Amador County Community,New Construction,50/10033-00-001,,,1885002.0,,,126458.0,,,,25.0,20.0,,,MI,1905756.0,105704.0,2011460.0,,,,,,,7/25/2007,Closed
Amador,Amador County Office Of Education,Jackson Junior High,New Construction,50/10033-00-002,,,3628527.0,,,191261.0,,,,,,,18.0,MI,3819788.0,,3819788.0,,,,,,,4/24/2019,100% Completed
Amador,Amador County Office Of Education,Argonaut High,New Construction,50/10033-00-003,,,2263714.0,,,280386.0,,,,,,,18.0,HI,2544100.0,,2544100.0,,,,,,,10/24/2018,100% Completed
Amador,Amador County Office Of Education,Plymouth Elementary,New Construction,50/10033-00-004,,,1179788.0,,,184756.0,,,,,,26.0,,EL,1364544.0,,1364544.0,,,,,,,10/24/2018,100% Completed
Amador,Amador County Office Of Education,County Community School,New Construction,50/10033-00-005,,,,,,549547.0,,RCI,,,108.0,,,HI,59071.0,,59071.0,,,,,,,12/9/2019,Funds Released
Butte,Butte County Office Of Education,South County Educational Facility,New Construction,50/10041-98-001,,,1646890.0,,,,,,,,,,18.0,HI,3292040.0,,3292044.0,,,,,,,5/27/2015,Closed
Butte,Butte County Office Of Education,South County Educational Facility,New Construction,50/10041-99-001,,,3280632.0,432414.0,,416978.0,,,,27.0,81.0,,,HI,13274807.0,1172661.0,14447475.0,,,,,,,5/27/2015,Closed
Calaveras,Calaveras County Office Of Education,Mountain Ranch Community/independent Study,New Construction,50/10058-00-001,,,5650541.0,1010000.0,,1654639.0,,,,70.0,156.0,,,HI,40243824.0,7276032.0,47519880.0,,,,,,,4/20/2016,Closed
Calaveras,Calaveras County Office Of Education,Mountain Oaks,New Construction,50/10058-00-002,,,6659622.0,,,,,,143.0,27.0,108.0,,,EL,6659622.0,,6659622.0,,,,,,,12/15/2010,Closed
Colusa,Colusa County Office Of Education,Special Education,New Construction,50/10066-00-004,,,12541016.0,3527174.0,,863966.0,,,5.0,27.0,49.0,,63.0,HI,33512455.0,8847155.0,42273420.0,,,,,,,8/15/2018,Closed
Colusa,Colusa County Office Of Education,Pierce High,New Construction,50/10066-00-005,,,,,,165804.0,,RCI,,,,,18.0,HI,96992.0,,82050.0,,,,,,,11/25/2014,56% Completed
Contra Costa,Contra Costa County Office Of Education,Diablo Vista Elementary,New Construction,50/10074-98-001,,,1291424.0,,,,,,,,,,30.0,EL,1840161.0,,2034111.0,,,,,,,6/27/2001,Closed
Contra Costa,Contra Costa County Office Of Education,Krey Elementary,New Construction,50/10074-98-002,,,990794.0,,,215712.0,,,,,,,27.0,EL,2413012.0,,2413012.0,,,,,,,12/18/2002,Closed
Contra Costa,Contra Costa County Office Of Education,Heritage High,New Construction,50/10074-98-004,,,2318304.01,,,459421.0,,,,,,,36.0,HI,5982660.0,,5128240.04,,,,,,,11/3/2010,Closed
Contra Costa,Contra Costa County Office Of Education,Special Education Center,New Construction,50/10074-98-005,,,,,,353520.0,,RCI,,,,,36.0,HI,234832.36,,234832.38,,,,,,,9/26/2018,10% Completed
Contra Costa,Contra Costa County Office Of Education,Alternative Education Center East,New Construction,50/10074-99-001,,,2620524.0,372354.0,550000.0,,,,,,108.0,,,HI,8876028.0,1752606.0,10628634.0,,,,,,,12/15/2010,Closed
Contra Costa,Contra Costa County Office Of Education,Alternative Education Center Pal,New Construction,50/10074-99-003,,,,,,439269.0,,RCI,,,101.0,,,HI,2000.0,,2000.0,,,,,,,3/10/2010,Funds Released
Contra Costa,Contra Costa County Office Of Education,Alternative Education Center Pittsburg,New Construction,50/10074-99-004,,,,,,142805.0,,RCI,,,101.0,,,HI,142805.0,,142805.0,,,,,,,5/25/2011,10% Completed
Contra Costa,Contra Costa County Office Of Education,Community - East,New Construction,50/10074-99-005,,,2546412.0,,,474983.0,,,,,101.0,,,HI,15102920.0,,15102920.0,,,,,,,10/26/2022,Closed
Del Norte,Del Norte County Office Of Education,County Alternative Education Center,New Construction,50/10082-00-001,,,4795428.0,676600.0,,772049.0,,,,11.0,203.0,,,HI,127904760.0,15223500.0,137855205.0,,,,,,,10/27/2011,Closed
El Dorado,El Dorado County Office Of Education,Charter Comm. & Ext. Day,New Construction,50/10090-99-001,,,5523156.0,,,1054232.0,,,,19.0,127.0,,,HI,44638365.0,,44638365.0,,,,,,,10/26/2022,Closed
El Dorado,El Dorado County Office Of Education,Melendez School,New Construction,50/10090-99-002,,,,,,7918.24,,RCI,,153.0,56.0,,,MI,7918.24,,7918.24,,,,,,,1/25/2017,Funds Released
Fresno,Fresno County Office Of Education,Ramacher Educational Complex,New Construction,50/10108-00-001,,,2278871.5,,,362815.0,,RCI,,,54.0,,27.0,HI,6350467.5,253750.0,5013885.0,,,,,,,3/20/2013,Closed
Fresno,Fresno County Office Of Education,Kermit Koontz Education Complex,New Construction,50/10108-00-002,,,7955786.0,,,916212.0,,,,,54.0,52.0,54.0,HI,31613616.0,,31613624.0,,,,,,,2/24/2015,Closed
Fresno,Fresno County Office Of Education,Sanger High,New Construction,50/10108-00-003,,,383942.0,,,77670.0,,RCI,,,,,7.0,HI,923224.0,,405632.0,,,,,,,3/20/2013,Closed
