CHAMBER OF COMMERCE,ADDRESS,CITY,STATE,ZIP,PHONE,LONGITUDE,LATITUDE,Location
CHAMBER OF COMMERCE OF MIAMI,111 N MAIN ST,MIAMI,OK,74354,(918) 542-4481,-94.877684,36.876491,"(36.876491, -94.877684)"
CHELSEA AREA CHAMBER OF COMMERCE,618 PINE ST,CHELSEA,OK,74016,(918) 789-2220,-95.431685,36.535873,"(36.535873, -95.431685)"
CHAMBER OF COMMERCE,PO BOX 1006,NEWCASTLE,OK,73065,(405) 387-3232,-97.613379,35.24742,"(35.24742, -97.613379)"
BRISTOW CHAMBER OF COMMERCE,1 RAILROAD PL,BRISTOW,OK,74010,(918) 367-5151,-96.390923,35.833432,"(35.833432, -96.390923)"
PRAGUE CHAMBER OF COMMERCE,823 N JIM THORPE BLVD,PRAGUE,OK,74864,(405) 567-2616,-96.685657,35.49389,"(35.49389, -96.685657)"
CHAMBER OF COMMERCE,1016 AIRPORT INDUSTRIAL RD,ELK CITY,OK,73644,(580) 225-0207,-99.389429,35.42265,"(35.42265, -99.389429)"
TUTTLE AREA CHAMBER OF COMMERCE,2422 E HIGHWAY 37,TUTTLE,OK,73089,(405) 381-4600,-97.770171,35.290705,"(35.290705, -97.770171)"
BROKEN BOW CHAMBER OF COMMERCE,113 W DR MARTIN LUTHER KING DR,BROKEN BOW,OK,74728,(580) 584-3393,-94.737285,34.026219,"(34.026219, -94.737285)"
CHAMBER OF COMMERCE,624 N MAIN ST,FAIRVIEW,OK,73737,(580) 227-2527,-98.479714,36.274464,"(36.274464, -98.479714)"
WAGONER AREA CHAMBER OF COMMERCE,301 S GRANT AVE,WAGONER,OK,74467,(918) 485-3414,-95.392449,35.958257,"(35.958257, -95.392449)"
WAURIKA CHAMBER OF COMMERCE,120 W BROADWAY AVE,WAURIKA,OK,73573,(580) 228-2081,-98.001826,34.16405,"(34.16405, -98.001826)"
WATONGA CHAMBER OF COMMERCE,PO BOX 537,WATONGA,OK,73772,(580) 623-5444,-98.408184,35.84602,"(35.84602, -98.408184)"
TAHLEQUAH AREA CHAMBER OF COMMERCE & TOURISM COUNCIL,123 E DELAWARE ST,TAHLEQUAH,OK,74464,(918) 456-3742,-94.970462,35.913393,"(35.913393, -94.970462)"
POTEAU CHAMBER OF COMMERCE,201 S BROADWAY ST,POTEAU,OK,74953,(918) 647-9178,-94.625009,35.052713,"(35.052713, -94.625009)"
HUGO AREA CHAMBER OF COMMERCE,200 S BROADWAY ST,HUGO,OK,74743,(580) 326-7511,-95.513009,34.008764,"(34.008764, -95.513009)"
THOMAS CHAMBER OF COMMERCE,PO BOX 250,THOMAS,OK,73669,(580) 661-3685,-98.741379,35.739755,"(35.739755, -98.741379)"
